,sentences
0,맵 목록 -PARKING A--SAIHEM FOREST--NAVARO BASE A--SAN PALEZZO--PARKING B--MILTON DRIVE--WILSON RACE--HOWARD FIELDS--NAVARO BASE B--SPRINGSTONE --KAMI ROAD--CASTLE ROAD--L .A. BLOCK- 차량은 실제 차량을 모티브로 만들어 졌다.
1,라이센스를 따지 않아서 이름이 실제 차와 다르다.Panther
2,M5 실제 차량 : 마쓰다
3,MX-5Panther XW 실제 차량 : 마쓰다
4,MX-5 차량 설명 : 기존 Panther M5 와 동 일한 차지만 데 칼이 있다.Hachi-Roku
5,실제 차량 : 토 요타 86Horizon GT4 실제 차량 : 닛 산 스카이라인 Samurai 실제 차량 : 도 요타 마크 II (X90 )Hakosuka 실제 차량 : 닛 산 스카이라인 (KPGC10 )Warrior 실제 차량 : 포드 팔 콘 쿠페 (1973 년 형 )Horizon GT4 실제 차량 : 닛 산 스카이라인 GTR (BNR34 )DTM 46 실제 차량 : BMW M3 (e46 )Magnum RT 실제 차량 : 3 세대 후기 형 닷지 챌린저 SRTImperior 실제 차량 : 벤츠 190EWellington ( 비프 웰링턴) 실제 차량 : 닛 산 실비아 (S13 )General VX 실제 차량 : 4 세대 홀 덴 코모도 어 SS-V (VF )Sorrow 실제 차량 : 3 세대 도요 타 소아라
6,Falcon RZ ( 캐쉬 템) 실제 차량 : 마 쯔다
7,RX7 (FD3S Type-R)Fujin SX ( 캐쉬 템) 실제 차량 : 닛 산 실비아 (S14 )Carrot II ( 뭔 가 당근같이 생기긴 했다) ( 캐쉬 템) 실제 차량 : 도 요타 마크 II (X100 )Cargo ( 이벤트 때만 받을 수 있다) 실제차량 : 프 레 잇 라이너 카스 카다 파이 크피크스 경주차량 Spector RS 실제 차량 : 닛 산 실비아 S15Eva MR 실제 차량 : 9 세대 미쓰 비시 렌서 에 볼루 션 MRPiranha X 실제 차량 : 닛 산 350ZZismo ( 이벤트 때만 받을 수 있다) 실제 차량 : 닛 산 370ZApollo 실제 차량 : BMW M3 (e36 )Eva X 실제 차량 : 10 세대 미쓰 비시 렌서 에 볼루 션 Shark GT 실제 차량 : BMW M5 (e60 )Raven RV8 ( 캐쉬 템) 실제 차량 : 홀 덴 말루 HSV R8Syberia SWI ( 캐쉬 템) 실제 차량 : 2 세대 스바루 임프 레자 WRX (GDBII )Wanderer L30 ( 캐쉬 템) 실제 차량 : 4 세대 도요 타 수프라
8,RZUDM 3 ( 캐쉬 템) 실제 차량 : BMW M3 (e92 )Syberia WDC 실제 차량 : 3 세대 스바루 임프 레자 WRX stiLoki 4M 실제 차량 : BMW M4Atlas GT 실제 차량 : 닛 산 GTR R35Cobra GT530 실제 차량 : 쉘 비 GT350Spark ZR ( 이벤트 때만 받을 수 있는 차량이다) 실제 차량 : 6 세대 쉐보 레 콜 벳 ZR1 Spacenight ( 캐쉬 템) 실제 차량 : 렉 서스 LFABlack jack X22 ( 캐쉬 템) 실제 차량 : 포드 머 스탱 후 니콘이 등급의 차량들은 전부 특수 데 칼이 씌워 진 상태로 출고된다
9,Wild runner 실제 차량 : 67년 형 쉘 비 GT500Asura M1 실제 차량 : 도 요타 GT86Razor ZX 실제 차량 : 7 세대 쉐보 레 콜 벳 ZR1Black jack X22 (C5에 있는 차량과 차이점은 데 칼의 유무) 실제 차량 : 포드 머 스탱 후 니콘 Flanker F ( 고인물들이 주로 애용하는 차량이다) 실제 차량 : zenvo ts1 GTBlack jack F150 실제 차량 : 포드 F150 후니 트럭 Rolla ZR ( 실 차는 무려 1000 마력이 넘는 괴물이다 후륜 구동으로 구동계를 바꾼 건 덤) 실제 차량 : 도요 타 코 롤 라 해치백 (Formula drift car)
