,sentences
0,한국의 게임 제작 및 배급사. [2] 창업주 이자 CEO는 김 택진이다.
1,"[3] NC의 의미는 처음에는 'Next Company'( 미래를 이끄는 회사) 로 시작했는데 사실 회사 이름을 정하지 못해서 이렇게 된 것이라 하고, 이후 'Next Cinema'( 영화를 뛰어넘는 게임을 만들자 )를 쓰다가, 현재는 'Never ending Change'( 끊임없이 변화하는 회사가 되자 )를 사용하고 있다."
2,한편 야구단에서는 'New Changwon' 의 약자로 쓰고 있다.
3,"한마디로, NC의 의미를 확실하게 정해 둔 건 없다는 뜻이다."
4,"대표작으로 MMORPG 장르인 리 니지, 리 니지 2, 길드 워 시리즈, 아이온, 블레이드 앤 소 울 등이 있으며, 미국, 일본 등의 해외로도 진출하여 자회사를 만들었다."
5,[4] 창업 당시인 1997~1999 년까지만 해도 온라인 게임 전문이 아닌 인터넷을 기반한 기업용 소프트웨어 개발 회사였다.
6,NC HTML 에디터 등의 소프트웨어나 기업 납품용 그룹 웨어를 만들던 회사였다.
7,"마이크로 소프트와 제휴하여 그룹 웨어를 만들어 여러 회사에 구축하기도 했고, 한때를 풍미한 PC 통신 넷츠고도 이 회사에서 구축한 것. 이 때문에 초창기의 엔씨 소프트 광고를 보면 리 니지 와 기업용 소프트웨어의 광고가 나란히 걸려 있었다."
8,"그러다 김 택진의 대학교 후배 이자 넥슨에서 바람의 나라를 개발했고 당시 아이 네트에서 한 게임을 개발 중이 던 송 재경의 팀을 인수해 엔씨 소프트에서 개발을 완료하였는데, 이 게임이 바로 리 니지 다. 당시는 IMF 외환위기로 투자 받기가 어려워 서비스 시작까지 난항을 겪었으나, 게임이 성공하고 PC 방 열풍까지 겹쳐 대박이 났다."
9,2002년 옛 기사에서 당시 35 살의 김 택진이 이끌던 직원 평균 연령 28세 엔씨 소프트의 자유분방한 기업문화를 엿볼 수 있다.
10,"# 한편 2006년, 웹 2.0이 뜨자 엔씨 소프트도 웹으로의 진출을 시도한 적이 있다."
11,"오픈 마루 스튜디오를 세우고 여러 가지 웹 서비스를 런 칭 시켰는데, 상당히 독특한 것이었다."
12,"오픈 ID 서비스인 myID에 개인 위 키위 키인 스프링 노트, 개인 리스트 업 서비스인 롤링 리스트, 블 로그에다 형광펜 긋듯이 중요부분을 그어 놓을 수 있는 레몬 펜 등의 서비스였다."
13,특히 레몬 펜은 설치형이나 가입 형 블 로그 사용자들이 많이 달았을 정도로 인기가 있었다.
14,"그러나 수익모델을 찾는 것에는 실패했고, myID와 스프링 노트를 제외하고는 모두 서비스가 중지되었다."
15,뒤이어 2009년 오픈 마루 스튜디오 자체가 사라지면서 엔씨 소프트는 웹 시장 진출을 포기하게 되었다.
16,"아무튼 지금은 엔씨를 게임 회 사지, 소프트웨어 개발 사나 웹 개발 사라고 보는 사람은 거의 없을 정도가 되었다."
17,구 로고 PlayNC 라는 사이트를 런 칭하여 자사의 게임을 서비스하기 시작했다.
18,"처음에는 의욕적으로 여러 국가별 PlayNC 사이트를 만들었고 다른 제작사의 캐주얼 게임 등 여러 장르를 퍼 블 리 싱 하였는데 [5] 거진 다 말아먹었고(…) 현재 Play NC는 한국, 일본, 대만 세 곳만 남아 있으며 [6] MMORPG 장르에만 주력하고 있다."
19,이는 넥슨이 캐주얼 게임에 강세인 것과 대조적. 그러다 2008년 아이온이 국내에서 크게 흥행하면서 숨통이 트였다.
20,"하지만 야심 차게 진행했던 북미, 유럽에서의 성적은 매우 실망스러운 수준이라 결국 내수용 게임 수준에서 그치고 말았다."
21,"[7] 이후 블레이드 앤 소 울을 통해 중화권에서 꾸준히 상당한 분기 수익을 올렸으며, [8] 북미 자회사인 아레나 넷을 통해 런 칭한 길드 워 시리즈가 성공하면서 서구권에서도 상당한 영향력을 가진 회사로 발전할 기회를 잡을 뻔 했으나, 북미 서버 리 니지 1의 실패와 길드 워 2의 매출 부진 [9] 을 겪으면서 현재 북미시장에서의 평가는 높지 않다."
22,[10] 그러나 모바일 게임으로 진출하면서 상황이 변하게 된다.
23,"리 니지 2 레볼루션과 리 니지 M이 ( 비록 전형적인 린저씨들을 위한 엔씨 식 운영으로 욕을 쳐 먹지만) 놀라운 매출을 기록하였고, 블 소 신작들을 전부 모바일로 내겠다고"
24,발표하면서 최고 전성기를 맞이하고 있다.
25,"[11 ]NC 는 소규모 게임회사를 집어 삼키는 식으로 운영하는 넥슨과는 달리, 대부분의 게임을 자사에서 직접 프로젝트 형식으로 개발한다."
26,개발 마인드는 블 리 자드 엔터테인먼트와 흡사 하게 새로운 방식보다는 기존의 성공한 게임으로 인증된 게임성에 자사의 테 이스트를 첨가하는 느낌으로 개발하기 때문에 이런 점에서 욕을 먹기도 한다.
27,엔씨아이 티에스 : 2015년에 ( 주) 엔씨 아이티 에스로 법인 명 변경했다.
28,엔트 리브 : 온라인 게임 서비스 공급 넥스트 플레이 : 캐주얼 게임 전문 개발 사. 2010년 엔씨 소프트에 인수되었으며 지분 65%를 확보했다.
29,#NC 다이 노스 : 정식 명칭은 ' 주식회사 엔 씨 다이 노스 프로 야구단' 이다.NC
30,MCN : 루시아를 영입했었다.NC
31,"West Holdings : 북미 법인으로 아레나 넷, 히든 패스 엔터테인먼트, 디 스게 임 스튜디오를 자회사로 가지고 있다."
32,"아레나 넷 NC Japan / NC Taiwan / NC Europe : 현지 온라인 게임 서비스 공급을 위한 일본, 대만, 영국에 위치한 해외법인. 현재 베트남 현지법인 설립을 추진하고 있다."
