,sentences
0,"대한민국의 前 리그 오브 레 전드 프로 게이 머 개그맨, 前 트위치 스트 리머, 현재 아프리카 TV BJ 이자 유 튜버 .KT 롤 스터 B의 탑 예능을 맡고 있었고 이후 Xenics Storm 소속 탑으로도 뛴 정 신라 간 프로 게이 머. 은퇴 이후에는 프리 엔터테인먼트 소속으로 트위치에서 스트리머로 활동했고 현재는 Charon eSports & Entertainment 소속으로 아프리카 TV에서 BJ로 활약 중이다."
1,유 튜버 활동 역시 병행하고 있다.
2,가끔 액 시스 마이 콜 방송에 약을 팔러 나온다.
3,고등학교 때 성우 지망생이었지만 게임이 좋아서 프로 게이 머가 되었다고
4,한다.
5,요즘은 앰비션과 함께 약밥 듀오로 자주 활동한다.
6,유쾌한 평상시 텐션과는 별개로 멘 탈이나 감정 기복이 꽤 심한 편. 잘생겼다는 말을 좋아하지 않는다.
7,올 라프 장인으로 유명하며 블라 디 미르 또한 잘 쓰는 선수. 주 챔피언이 올라프인 만큼 상당히 공격적인 스타일로 유명하다.
8,OLYMPUS Champions Winter 2012-2013 11월 15일 경기에서 국내 최강 팀 중 하나 인 Azubu Blaze를 상대로 올라 프로 미친 패기를 보여주며 팀을 캐리하는 모습을 보여주었다.
9,다만 올라프 이외에 챔피언 사용능력에 대한 평가는 애매하다.
10,"OLYMPUS Champions Winter 2012-2013 나 진 소드와의 경기에서 모든 경기에서 올라프가 밴 당 해서 이 렐 리아, 레 넥 톤, 엘리스 등을 사용했는데, 모든 경기에서 막 눈에게 밀렸다."
11,"특히나 이 렐 리 아를 플레이 한 경기에서는 이렇다 할 존재감조차 드러내지 못하면서 막 눈의 메뚜기 쇼를 지켜봐야만 했고, 라인 전 패왕 급인 엘리스를 픽 하고도 쉔 에게 솔로 킬 을 헌납하며 멘 붕. 올 라프 이외의 챔피언을 연습해야 한다는 지적을 받았었다."
12,"가장 좋아하는 챔피언들은 역관광에 능한 챔피언들, 혹은 대기만 성형 챔피언들이며 반대로 싫어하는 챔피언은 질 리 언과 트위스티드 페이트라고 한다."
13,"질 리 언은 자신이 못 다루는 탓에 싫어하고, 트페는 적으로 만날 때 싫어하는데 교전 억제력이 너무 뛰어 나서 그렇다고"
14,한다.
15,라 간하면 떠오르는 신지 드만이 할 수 있는 전설의 3 라인 파 밍. 23분 30초에 시작한다.
16,"당시 이런 짓을 하게 된 이유가 개인 방송 중 다른 롤 BJ 인 메도 우이 헌 터, 훈과 헤 르 메스와의 팀 랭 대화에서 "" 이유야 별거 없고... 신지 드가 이때 당시 강인함도 붙어 있었던"
17,"OP 였고, 재밌을 것 같아서 즉흥적으로 해봤어요."
18,"""라고 밝혔다."
19,그리고 이 3 라인 파밍은 2년 뒤 시즌 4 롤 드컵 8 강 전에서 루 퍼가 신지드를 꺼 내들어서 상황이 유리 해지자 3 라인 파 밍 하는 거 아니냐고 김동 준 해설위원이 언급했다.
20,이전에는 PSW Ares에 있었으나 동료들과 호흡이 맞지 않아 8월 중순에 나와 KT 롤스터에 들어왔다고
21,한다.
22,# PSW Ares 시절의 아이디는 PSW Blood. PSW Area 시절에 했던 인터뷰 .LOL 클럽 마스터즈에서는 Ssumday의 화려한 데뷔에 묻혀 거의 출전하지 못하고 딱 한 경기 나왔다.
23,역대 급 신인 등장이라는 이슈에 묻히긴 하지만 이것이 라 간의 차기 챔 피 언스 출전을 불투명하게 되지 않을까
24,하는 팬들의 걱정이 나오고 있다.
25,결국 2013년 2월 27일에 KT에서 나오게 되었다.
26,[7] 이틀 뒤인 3월 1일 이지 훈 감독의 소개로 Xenics Storm의 탑 라이너로 입단하였다.
27,# 그러나 팀의 부진과 함께 본인도 기대 만큼의 모습을 보여 주진 못했다.
28,섬 머 시즌을 끝낸 2013년 7월 30일 Xenics에서 나왔으며 8월 5일 입대한다고 한다.
29,# [8] 다만 이후에 귀가 조치 받았으며 거의 면제라고 말했는데 한쪽 귀 달팽이 관이 나 가버린 데 다가 라 간 본인의 집안사정 때문에 공익에서도 방출당했다고
30,본인이 말했다.
31,(...) 라 간 스스로가 분할 복무를 명령 받았다고
32,하는데 분할 복무는 공익 맞다... 집 안 사정으로 인한 병역 면제 신청을 처리 중이라는 듯. 결국 2015년 하반기에 전역했다고
33,한다.
34,따 불 루루루루루~ 킬. 은퇴 후 얼마 있다가 2013년 12월부터 개인방송을 시작했다.
35,본래는 아프리카에서 방송하려고 했는데 방송장비의 문제 등으로 다음 TV 팟에서 방송하기로 했다.
36,하지만 이후에 다시 장비 문제가 해결되면서 아프리카에서 방송을 재개하였다.
37,개인방송에서의 모습은 시청자들 과의 소통을 잘하는지는 모르겠으나 유쾌하고 4 차원적인 모습. 랭겜은 운 빨이라는 이론을 여지없이 보여준다.
38,"아무리 라인 전에서 이득을 거둬도 팀원들이 앞장 서서 던지거나 망하기 때문에 다이아 1 96점까지 올랐던 점수가 순식간에 30점대로 추락 하기까지 보여주며 멘 붕 하는 일도 나날이 늘어난다 ...2014 년 4 월말부터 꾸준히 유명한 BJ 들을 저격하는 것이 새로운 컨텐츠가 되었는데, 그 이유는 자신이 6번이나 아프리카 베스트 BJ를 신청하였지만 계속 실패하였고, 결국 유명한 BJ 들과 같이 큐를 잡아서 시청자 수를 올리려는 것이 그 이유 .2014 년 5월부터 는 자기 부캐로 시청자들이랑 같이 랭겜 듀오 방송을 하고 있다.2014"
