,sentences
0,중년 게이 머 김실장은 각종 게임에 대한 정보를 다루는 유 튜브 채널이다.
1,디스 이즈게임에서 운영하는 채널로 디스 이즈게임의 미디어실장인 김실장과 PD[6] 가 대화하며 김실장이 게임을 설명하는 컨셉으로 진행된다.2020
2,년 5월 22일 첫 영상이 업 로드되었다.
3,유 튜브 채널 링크 게이 머 층이 지금 되게 많이 분화돼 있어요.
4,"콘솔 패키지 게임 유저, 온라인 게임 유저, 모바일 게임 유저, 퍼즐 게임 유저 ... 그래서 유저들이 생각하는 의식들도 되게 많이 차이가 나요."
5,"그런 것 들을 조금이나마 설명을 통해서 "" 다른 사람들은 저런 이유로 저 게임을 하는 구나"" ... 이런 식으로 서로 이해를 할 수 있는, 그런 식으로 이 채널이 작동하면 좋겠습니다.Q"
6,"&A 에서디스이즈게임에 소속된 "" 김실장"" 이 각종 게임들을 분석하는 게 채널의 주 컨텐츠이다."
7,"일반적인 다른 유 튜브 게임 리뷰 채널이 게임 플레이를 주로 다룬다면, 해당 채널은 "" 왜 사람들이 이 게임을 좋아하는 가?"", "" 개발 사의 의도가 무엇일까?"
8,""" 같은 게임 기획, 설계, 운영, 특히 BM( 비즈니스 모델 =과 금 구조) 부분에 중점을 두고 자세하게 게임을 분석한다."
9,"이런 점에서는 김성 회의 G 식 백과 채널과 일정 부분 유사한 면이 있지만, 개발자 출신이라서 그런지 도가 지나친 가 챠 시스템을 강력하게 비판하는 G 식 백과와는 달리 주로 온라인 게임의 운영자, 커뮤니티 전문가 이자 과 금 전사의 시선에서 그 시스템이 도가 지나침을 부정하지는 않지만 게임의 세일즈 포인트, 과 금 만족도 등 게이 머, 게임 회사를 넘나들며 게임이 유지되는 방식을 주로 설명하고 있다."
10,"영상은 김실장의 게임 분석이 주가 되지만, 정확히는 김실장 앞에 있는 모습을 보이지 않는 여성 PD[7] 가 질문이나 추임새/ 감탄 사/ 개인 의견 등을 한마디씩 넣으며 서로 이야기를 주고 받는 형태로 구성되어 있다."
11,김실장이 반말로 진행하는 이유도 이 콘텐츠가 PD에게 본인이 설명하는 걸 영상으로 담아내는 게 콘셉트이기 때문이다.
12,QnA 등 청자가 PD가 아닐 경우 존대 말을 한다.
13,"현재는 채널 이름대로 한국의 30대 이상 게이 머들이 관심을 가질 만한, 주제의 영상 위주로 채널이 채워져 있다."
14,"엔씨 소프트의 게임, 리 니지 2M에 대한 분석 영상을 통해 본격적으로 유명 해졌다."
15,"게임의 시스템과 불합리함 들을 명쾌하게 설명해 주는 해당 채널의 영상들이 김실장과 비슷한 중년 게이 머들이 많은 MMORPG 위주의 게임 커뮤니티에서 인기를 끈 것. 그리고 과 금 유도 +과 몰입 유도가 심한 하드 코어 MMORPG 들을 하기엔 부담이 커서 이런 류 게임을 하지 않는 비교적 어린 세대의 게이 머들이 모인 커뮤니티에서도, 제대로 플레이 해보지 않아서 알기 힘들었던 리 니지의 상상을 초월하는 영악한 과 금 유도에 대한 영상들이 짤 방으로 편집되어 퍼지기도 하였다."
16,"채널의 시작부터 김실장 본인의 바람대로, MMORPG를 즐기는 게이 머 층에 대한 다른 게이 머들의 이해를 이끌어냈다는 점이 주목할 만하다."
17,"특히 가장 서로에 대한 거부감이 크고 행동을 이해할 수 없기에 일방적인 비난만 주고받는 관계인, 하드 코어 리 니지 유저와 리 니지를 해본 적도 없고 해볼 생각도 없는 유저 사이에 자리잡고 설명하여 리니 지란 게임의 실상( 정확히는 과 금 모델 구조) 을 잘 모르는 외부 자들에게 린저씨와 게임 운영 사의 심리를 나름 객관적으로 해설해 주는 점에서 의미가 있다."
18,"게임기획 자가 목표라면 반드시 구독해 두고 봐야 할 채널. [8] 이런 식으로 게임의 요소나 구성, 원리 등을 자세하게 설명해 주는 경우가 매우 드물다."
19,"[9] 전반적으로 단순 게임에 대한 주제 뿐 아니라, 업계의 BM이나 개발 의도를 분석하는 등 게임 업계 전반적인 주제를 다룬다."
20,"채널 개설 초반인 현재는 이해하기 쉬운 영상, 즉 퀄리티 유지를 위해 채널에 영상의 업 로드를 자주 하기는 힘들다고"
21,밝혔다.Q
22,"&A에서 나온 정보에 따르면 PD는 10년 정도 데리고 다니고 있는 부사수 [31] [32 ]라고. 영상의 편집을 담당하기도 하는데 처음에는 채널이 급속도로 커 가는 게 재미있어서 신나서 편집하다가, 생각보다 점점 힘들어 져서 페이스를 조절 중이라고 한다."
23,[33 ]2020 년 8월 19일 라이브 방송에서 나온 정보에 따르면 유 튜브 초기에 나오던 남성 PD는 현재 건강 상의 문제로 휴직 중이라고 한다.
24,"컨셉 상 녹화방송은 반말로 진행되지만, 실시간에서 시청자와 같이 하게 되면 높임말을 쓴다."
25,오히려 본 성격은 낯을 가리는 편이라 이쪽이라고 한다.
26,용돈을 자유롭게 현질하는데 쓴다.
27,용돈으로 리 니지를 할 수 있을 정도로 많이 받는 가에 대해서는 노 코멘트. 가족들 간의 게임 플레이에 대한 취향이나 스타일이 달라서 같이 하는 경우는 드물다고
28,한다.
29,"다만 가족들과 함께 하는 시간은 게임 시간 외에 따로 가진다고. 폴로 셔츠를 자주 입는데, 보통 아저씨들처럼 많이 있는 옷이라 집는 대로 입는 것. 패션에는 별 관심이 없다고 한다."
30,PD 왈 마이크 설치하기 편해서 폴로 셔츠를 입고 오는 게 좋다고
31,한다.MMORPG를
32,"접지 못하는 이유를 설명할 때, 게임에 들인 매몰비용에 대한 설명이 너무나 강렬해서 인지 영상 댓 글에는 매몰을 소재로 한 드립이 성행하고 있으며, 김실장의 또 다른 별명도 매몰 킴으로 통하고 있다."
33,다만 경제학에서 쓰이는 매몰비용이라는 개념과는 정확히 반대되는 개념으로 용어를 사용 임을 유의하자 일반 게이 머들 뿐 아니라 개발자를 목표로 하는 사람들에게도 호평을 받기도 한다.
34,특정 브라우저 또는 모바일로 볼 때 ' 중년 게이 머 김실장' 의 뒷부분이 잘려서 ' 중년 게이' 까지 보이는 경우가 있다고
35,한다.
36,그래서 중년 게이 드립이 나오기도 했다.
37,이에 대해 채널 제목을 바꾸면 여러모로 귀찮은 일이 많아서 바꾸기 힘들다고
38,언급했다.
39,"가족도 있고, 어머니가 보고 계신다는 것 때문인지 이 드립은 빠르게 묻혔다."
40,"본인이 과거에 플레이해서 장단점 파악이 끝난 에 픽 세 븐 의 경우 광고가 실패했고, 전혀 해본 적이 없는 명일 방주의 경우 특유의 분석력으로 게임을 최대한 분석하긴 했지만 초보( 뉴 비) 의 모습을 벗지 못하고 좌충우돌 적응 기를 보여주며 성공했다."
41,"김실장이 덜 해본 게임을 앞 광고로 넣어야 한다 회사에서의 포지션은 행 보관 내지는 주임 원사 쯤 되는 모양. 오랜 시간 실무를 보다 보니 컴퓨터나 인터넷 수리, NAS 설치 등 전산 잡무부터 책상, 의자 등 비품 관 리라 던지 이런저런 잡일도 떠맡아 하는 경우가 있는 듯. 보기와는 달리 키가 186cm으로 상당한 장신이다."
42,"술은 꽤 하는 편이지만 요즘은 그렇게 까지 먹지 않는 편이고 [34], 흡연은 하지 않는다고"
43,한다.
44,[35 ]11 월 21 일 커뮤니티에 트위터에 자신에 대한 유언비어가 올라왔다며 경고문을 올렸다.
