,sentences
0,"스타 크래프트 1 개인 리그 우승, 준우승 상금 총합 : 2억 1천 100만원 + $ 30,000 + CNY 80,000 StarCraftProLeague 역대 다 승 TOP 10 [ 펼치기 · 접기 ] 스타 크래프트: 브루드 워 프로리그 [1] 순위 이름 승패 승률 종족 1Jaedong 이제 동 22710069.4%2FlaSh이 영호 2187474.7%3Bisu 김 택용 1928469.6%4Stork 송병 구 17911660.7%5Sea 염 보성 16910960.8%6Light 이재호 15411557.2%7GooJila 김구현 15212954.1%8Calm 김 윤환 15012554.5%9Leta 신상 문 1458962.0%10Free 윤 용태 14311555.4% [1] 기준 : 프로리그 예선 (2003 KTF EVER 예선, 2003 Neowiz Pmang 예선) 및 포스트 시즌 제외, 팀 플레이 포함. 스타리그 역대 우승자 [ 펼치기 · 접기 ] 2002 KPGA 투어 1차 리그 Reebok 배 KPGA 투어 2차 리그 Pepsi Twist 배 KPGA 투어 3차 리그 Stout/Baskin Robbins 배 KPGA 투어 4차 리그 BoxeR 임요 환 NaDa 이윤 열 NaDa 이윤 열 NaDa 이윤 열 Stout MSL TG 삼보 MSL 하나 포스 센 게임 MSL Spris MSL Nal_rA 강 민 iloveoov 최연성 iloveoov 최연성 iloveoov 최연성 당신은 골프 왕 MSL 우주 닷컴 MSL CYON MSL 프 링 글스 MSL 시즌 1 GoRush 박태 민 기록 말소 [1] ChoJJA 조용 호 기록 말소 [1] 프 링 글스 MSL 시즌 2 곰 TV MSL 시즌 1 곰 TV MSL 시즌 2 곰 TV MSL 시즌 3 기록 말소 [1] Bisu 김 택용 Bisu 김 택용 Mind 박성균 곰 TV MSL 시즌 4 Arena MSL 2008 Clubday Online MSL 2008 로스트 사가 MSL 2009 n.Die _Jaedong 이제 동 Never_V_ 박지수 Bisu 김 택용 기록 말소 [2] 아 발론 MSL 2009 NATE MSL 하나 대 투증권 MSL 빅 파일 MSL Calm 김 윤환 n.Die _Jaedong 이제 동 FlaSh이 영호 FlaSh이 영호 피디 팝 MSL ABC 마트 MSL MSL 폐지 hydra 신동원 FlaSh이 영호 [1] 마 재 윤 (sAviOr) 의 스타 크래프트 승부조작 사건 가담으로 인해 영구 제명으로 인한 기록 말소. [2] 박찬 수 (Practice) 의 스타 크래프트 승부조작 사건 가담으로 인해 영구 제명으로 인한 기록 말소. 스타리그 역대 준우 승자 [ 펼치기 · 접기 ] 2002 KPGA 투어 1차 리그 Reebok 배 KPGA 투어 2차 리그 Pepsi Twist 배 KPGA 투어 3차 리그 Stout/Baskin Robbins 배 KPGA 투어 4차 리그 YellOw 홍진 호 YellOw 홍진 호 Reach 박정석 ChoJJa 조용 호 Stout MSL TG 삼보 MSL 하나 포스 센 게임 MSL Spris MSL NaDa 이윤 열 YellOw 홍진 호 NaDa 이윤 열 Kingdom 박용 욱 당신은 골프 왕 MSL 우주 닷컴 MSL CYON MSL 프 링 글스 MSL 시즌 1 NaDa 이윤 열 Reach 박 정석기록 말소 [1 ]Nal _rA 강 민 프 링 글스 MSL 시즌 2 곰 TV MSL 시즌 1 곰 TV MSL 시즌 2 곰 TV MSL 시즌 3 SiLvEr 심 소명 기록 말소 [1 ]Stork 송병구 Bisu 김 택용 곰 TV MSL 시즌 4 Arena MSL 2008 Clubday Online MSL 2008 로스트 사가 MSL 2009 GooJila 김구현 n.Die _Jaedong 이제 동 Jangbi 허영 무 Jangbi 허영 무 아 발론 MSL 2009 NATE MSL 하나 대 투증권 MSL 빅 파일 MSL Kwanro 한 상봉 FlaSh이 영호 n.Die _Jaedong 이제 동 n.Die _Jaedong 이제 동 피디 팝 MSL ABC 마트 MSL MSL 폐지 Great 차명 환 Zero 김 명운 [1] 마 재 윤 (sAviOr) 의 스타 크래프트 승부조작 사건 가담으로 인해 영구 제명으로 인한 기록 말소. AfreecaTV StarCraft League 역대 준우 승자 [ 펼치기 · 접기 ] VANT36.5 대 국민 스타리그 아프리카 TV 스타리그 시즌 1 아프리카 TV 스타리그 시즌 2 아프리카 TV 스타리그 시즌 3 아프리카 TV 스타리그 시즌 4 Bisu 김 택용 Sharp 조기 석 Sea 염 보성 Shine이 영한 herO 조일 장 아프리카 TV 스타리그 시즌 5 아프리카 TV 스타리그 시즌 6 아프리카 TV 스타리그 시즌 7 아프리카 TV 스타리그 시즌 8 아프리카 TV 스타리그 시즌 9 SnOw 장 윤철 FlaSh이 영호 Mini 변 현제 Snow 장 윤철 Light 이재 호 아프리카 TV 스타리그 시즌 10 Soma 박상 현 스타리그 역대 4 강 진출자 [ 펼치기 · 접기 ] 99 프로 게이 머 코리아 오픈 2000 하나로 통신 배 투니 버스 스타리그 2000 프리 챌 배 온 게임 넷 스타리그 2001 한빛 소프트 배 온 게임 넷 스타리그 SSamjang이 기석 (3 위 )Feel _LOVE 김 태 목 (4 위 )ChRh 최인 규 (3 위 )byun 변성 철 (4 위 )BaNulDoDuk 박찬 문 (3 위 )S .E .S 김 상훈 (4 위 )Grrr.... 기욤 패 트리 (3 위 )Kingdom 박용 욱 (4 위 )2001 코카콜라 배 온 게임 넷 스타리그 2001 SKY 배 온 게임 넷 스타리그 2002 NATE 배 온 게임 넷 스타리그 2002 SKY 배 온 게임 넷 스타리그 VGundam 조정 현 (3 위 )Isaac 이근택 (4 위 )TheMarine 김 정민 (3 위 )YellOw 홍진 호 (4 위 )ChRh 최인 규 (3 위 )oddysay 한 웅렬 (4 위 )YellOw 홍진 호 (3 위 )Elky 베르트랑 그로 스펠 리에 (4 위 )2002 Panasonic 배 온 게임 넷 스타리그 2003 Olympus 배 온 게임 넷 스타리그 2003 Mycube 배 온 게임 넷 스타리그 NHN 한 게임 배 온 게임 넷 스타리그 03~04YellOw 홍진 호 (3 위 )Junwi 박 경락 (4 위 )BoxeR 임요 환 (3 위 )Junwi 박 경락 (4 위 )Junwi 박 경락 (3 위 )Reach 박 정석 (4 위 )Silent _Control 나도 현 (3 위 )JJu 변은 종 (4 위 )Gillette 스타리그 2004EVER 스타리그 2004IOPS 스타리그 04~05EVER 스타리그 2005iloveoov 최연성 (3 위 )Silent _Control 나도 현 (4 위 )Reach 박 정석 (3 위 )YellOw 홍진 호 (4 위 )GoRush 박태 민 (3 위 )GoodFriend 이병 민 (4 위 )XellOs 서지 훈 (3 위 )GoRush 박태 민 (4 위 )So1 스타리그 2005 신한 은행 스타리그 2005 신한 은행 스타리그 2006 시즌 1 신한 은행 스타리그 2006 시즌 2iloveoov 최연성 (3 위 )PuSan 박지호 (4 위 )PuSan 박지호 (3 위 )Casy 한동 욱 (4 위 )YellOw 홍진 호 (3 위 )JJu 변은 종 (4 위 )Midas 전상 욱 (3 위 )GoodFriend 이병 민 (4 위) 신한 은행 스타리그 2006 시즌 3Daum 스타리그 2007EVER 스타리그 2007 박카스 스타리그 2008[2 ]Iris 변형태 (3 위 )Casy 한동 욱 (4 위 )Stork 송병 구 (3 위 )FlaSh이 영호 (4 위 )Bisu 김 택용 (3 위) 기록 말소 [1] (4 위 )Bisu 김 택용기록 말소 [3 ]EVER 스타리그 2008 인크 루트 스타리그 2008BATOO 스타리그 08~09 박카스 스타리그 2009BackHo 손 찬 웅기록 말 소 [3 ]Best도 재 욱 GGplay 김 준영 herO 조일 장 Bisu 김 택용 FanTaSy 정 명훈기록 말소 [4 ]EVER 스타리그 2009대한 항공 스타리그 2010 시즌 1대한 항공 스타리그 2010 시즌 2 박카스 스타리그 2010Calm 김 윤환 Shine이 영한 GooJila 김구현 Pure 박세 정 Free 윤 용태 Stork 송병구 Calm 김 윤환 Modesty 김현 우진에 어 스타리그 2011tving 스타리그 2012 옥 션 올 킬 스타리그 2012[5] 옥 션 올 킬 스타리그 2013[6 ]soO 어 윤수 hydra 신동원 Zero 김 명운 FlaSh이 영호 WhyManMC 장 민 철 (3 위 )Last 김성 현 (4 위 )INnoVation이 신형 Bomber 최지성 OSL 폐지 [1] 신희 승 (UpMagiC) 의 스타 크래프트 승부조작 사건 가담으로 인해 영구 제명으로 인한 기록 말소. [2] 이 대회부터 3,4 위 전 폐지로 공동 3위 처리. [3] 박찬 수 (Practice) 의 스타 크래프트 승부조작 사건 가담으로 인해 영구 제명으로 인한 기록 말소. [4] 문 성진 (TypE-B) 의 스타 크래프트 승부조작 사건 가담으로 인해 영구 제명으로 인한 기록 말소. [5] 이 대회부터 다시 3,4 위 전 재개. [6] 이 대회부터 다시 3,4 위 전 폐지로 공동 3위 처리. AfreecaTV StarCraft League 역대 4 강진 출자 [ 펼치기 · 접기 ] VANT36.5 대 국민 스타리그 아프리카 TV 스타리그 시즌 1 아프리카 TV 스타리그 시즌 2 아프리카 TV 스타리그 시즌 3 아프리카 TV 스타리그 시즌 4 Sharp 조기 석 (3 위 )Zero 김 명운 (4 위) noinsung 염 보성 Last 김성 현 Best도 재 욱 n.Die _Jaedong 이제 동 Bisu 김 택용 (3 위 )Soulkey 김 민 철 (4 위) Bisu 김 택용 (3 위 )Larva 임 홍규 (4 위) 아프리카 TV 스타리그 시즌 5 아프리카 TV 스타리그 시즌 6 아프리카 TV 스타리그 시즌 7 아프리카 TV 스타리그 시즌 8 아프리카 TV 스타리그 시즌 9 herO 조일 장 (3 위 )Mini 변 현제 (4 위) Last 김성 현 (3 위 )Shuttle 김윤중 (4 위) Effort 김 정우 (3 위 )Rain 정윤종 (4 위) Rain 정윤종 (3 위 )Action 김성대 (4 위) FlaSh이 영호 (3 위 )ChosimZerg 박상 현 (4 위) 아프리카 TV 스타리그 시즌 10 FlaSh이 영호 (3 위 )Larva 임 홍규 (4 위) World Cyber GamesStarcraft 부문 동메달 리스트 [ 펼치기 · 접기 ] 1회 2회 3회 4회 5회 WCGC 2000NTT 앤 테 르 야 콥 샤른 WCG 2001GoRush 박태 민 WCG 2002Blackman 아 투 르 미 샬락 WCG 2003Grrr.... 기욤 패트리 WCG 2004Christian 크리스 티 안 드렉 슬러 6회 7회 8회 9회 10회 WCG 2005Androide 안 드레이 쿠 치 아니 체 WCG 2006Midas 전상 욱 WCG 2007Mondragon 크리 스토프 셈케 WCG 2008Strelok 유진 오 파라 이쉐프 WCG 2009Bisu 김 택용 11회 12회 13회 14회 15회 WCG 2010n .Die _Jaedong 이제 동 WCG 2011Kas 가이다 미하일로 [1] WCG 2012MacSed 후 시 앙 WCG 2013PartinG 원 이삭 WCG 2019Neeb 알 렉스 선 더 하프트 [2] [1] 스타 크래프트 2로 종목 변경 [2] 정식 종목이 아닌 초청 종목이다 선수 경력 [ 펼치기 / 접기] 기타 입상 기록 [ 펼치기 / 접기] 우승 기록 스타 크래프트: 브루드 워 TG 삼보- 인텔 클래식 시즌 2 우 승자 (vs 허영 무 3:1)( 우승 상금 : 4,000만원 )TG 삼보- 인텔 클래식 시즌 1 이제 동→ 김 택용 →TG 삼보- 인텔 클래식 시즌 3 이 영호 Blizzard World Wide Invitational 2007 우 승자( vs 마 재 윤 2:1)( 우승 상금: $ 10,000 )WWI 2006 강 민→ 김 택용 →WWI 2008 송병 구 2007 International e-Sports Festival 우승자( vs 마 재 윤 2:0)( 우승 상금: $ 10,000 )2006 IEF 이윤 열→ 김 택용 →2008 IEF 김 택용 2008 International e-Sports Festival 우승자( vs 송병 구 2:1)( 우승 상금: CN ¥ 80,000 )2007 IEF 김 택용→ 김 택용 →2009 IEF 송병 구 2010 International e-Sports Festival 우승자( vs 송병 구 2:1)( 우승 상금: $ 10,000 )2009 IEF 송병 구→ 김 택용 →2011 IEF 김 택용 2011 International e-Sports Festival 우승자( vs 송병 구 3:2)( 우승 상금: $ 10,000 )2010 IEF 김 택용→ 김 택용→ 대 회 폐지제 9차 픽스 소 닉 스타리그 우승자( vs 조일 장 3:2)( 우승 상금 : 600만원 ) 제 8차 아이템 베이 소 닉 스타리그 박 준 오→ 김 택용→ 제 10차 스베 누 스타리그 최 호선 준우승 기록 스타 크래프트: 브루드 워 곰 TV MSL 시즌 3 준 우승자( vs 박성균, 1:3 )( 준우승 상금 : 2,000만 원 ) 곰 TV MSL 시즌 2 송병 구→ 김 택용→ 곰 TV MSL 시즌 4 김 구현제 11차 스베 누 스타리그 시즌 2 준 우승자( vs 조일 장, 0:3 )( 준우승 상금 : 1,000만 원 ) 제 10차 스베 누 스타리그 김성 현→ 김 택용→ 대 회 폐지 VANT36.5 대 국민 스타리그 준우승자( vs 김 정우, 1:3 )( 준우승 상금 : 500만 원 ) 대회 창설→ 김 택용→ 아프리카 TV 스타리그 조기 석스타 1 개인리그 주요 성적 [ 펼치기 / 접기 ]2006 년 신한 은행 스타리그 2006 시즌 1 추가 선발전 (VS 김 동건 1:2 )2006 년 신한 은행 스타리그 2006 시즌 2 16 강 (VS 이병 민 1:2) 2007년 곰 TV MSL 시즌 1 우승 (Vs 마 재 윤 3:0) [7]( 우승 상금 : 3,000만원 ) [8] 2007년 Blizzard WWI 2007 우승 ( vs 마 재 윤 2:1.) ( 우승 상금 : $ 10,000 )2007 년 Daum 스타리그 2007 8 강 (VS이 영호 0:2) 2007년 곰 TV MSL 시즌 2 우승 (Vs 송병 구 3:2) [9] ( 우승 상금 : 5,000만원 )2007 년 IEF 2007 우승 (Vs 마 재 윤 2:0.) ( 우승 상금 : $ 10,000 )2007 년 WCG 2007 국가 대표 선발전 16 강 (Vs 이재호 0:2) 2007년 곰 TV MSL 시즌 3 준우승 (Vs 박성균 1:3) ( 준우승 상금 : 2,000만원 )2007 년 EVER 스타리그 2007 3위 (Vs 신희 승 3:2) [10 ]2007 년 곰 TV MSL 시즌 4 32 강 2008년 곰 TV 스타 인 비테 이셔 널 8 강 (Vs 변형태 0:2 )2008 년 박카스 스타리그 2008 4 강 (Vs 이 영호 1:3 )2008 년 MBC GAME 올스타 스킨스 매치 (Vs 오 영종 3:4 )2008 년 Arena MSL 2008 32 강 2008년 EVER 스타리그 2008 16 강 2008년 WCG 2008 한국 대표 선발전 16 강 (Vs 박지수 0:2 )2008 년 인크 루트 스타리그 2008 8 강 (Vs 송병 구 1:2) 2008년 Clubday Online MSL 2008 우승 (Vs 허영 무 3:1) [11] ( 우승 상금 : 5,000만원 ) [12] 2008년 IEF 2008 우승 (Vs 송병 구 2:1) ( 우승 상금 : CN ¥ 80,000 )2009 년 로스트 사가 MSL 2009 32 강 [13] 2009년 곰 TV 클래식 시즌 2 우승 (Vs 허영 무 3:1) ( 우승 상금 : 4,000만원 )2009 년 곰 TV 클래식 스페셜 매치 (Vs 이제 동 2:3) ( 참가 상금 : 100만원 ) [14] 2009년 BATOO 스타리그 2008 4 강 (Vs 정 명훈 0:3) [15 ]2009 년 박카스 스타리그 2009 16 강 2009년 아 발론 MSL 2009 8 강 (Vs 변형태 2:3 )2009 년 WCG 2009 한국 대표 선발전 1위 (Vs 송병 구 2:0 )2009 년 EVER 스타리그 2009 36 강 2차 전 (Vs 이 영한 1:2 )2009 년 IEF 2009 29 강 풀 리그 2009년 WCG 2009 브루드워 부문 3위 (Vs Anton Emmerich) [16 ]2009 년 NATE MSL 32 강 2010년 대한 항공 스타리그 2010 시즌 1 36 강 2차 전 (Vs 김 창희 1:2 )2010 년 하나 대 투증권 MSL 32 강 2010년 빅 파일 MSL 16 강 (Vs 염 보성 0:2 )2010 년 대한 항공 스타리그 2010 시즌 2 16 강 2010년 WCG 2010 한국 대표 선발전 8 강 (Vs 김구현 0:2 )2010 년 IEF 2010 우승 (Vs 송병 구 2:1) ( 우승 상금 : $ 10,000 )2010 년 박카스 스타리그 2010 36 강 1차 전 (Vs 이 영한 0:2 )2010 년 피디 팝 MSL 16 강 (Vs 송병 구 1:2 )2011 년 ABC 마트 MSL 32 강 2011년 IEF 2011 우승 (Vs 송병 구 3:2) ( 우승 상금 : $ 10,000 )2014 년 제 9차 픽스 소 닉 스타리그 우승 (Vs 조일 장 3:2) ( 우승 상금 : 600만원 )2015 년 헝 그리 앱 스타 즈 리그 with 콩두 8 강 (Vs 박성균 0:2 )2015 년 제 11차 스베 누 스타리그 시즌 2 준우승 (Vs 조일 장 0:3) ( 준우승 상금 : 1,000만원 )2016 년 VANT36.5 대 국민 스타리그 준우승( Vs 김 정우 1:3) ( 준우승 상금 : 500만원 ) [17 ]2016 년 아프리카 TV 스타리그 시즌 2 8 강 (Vs 염 보성 0:3 )2017 년 아프리카 TV 스타리그 시즌 3 3위 (Vs 4 강 이 영한 1:3 / 3, 4위 전 김 민 철 3:1) 2017년 아프리카 TV 스타리그 시즌 4 3위 (Vs 4 강 이 영호 1:3 / 3, 4위 전 임 홍규 3:1) 2017년 BlizzCon Ultimate Title Fight 이벤트 매치 (VS 이제 동 3:2) ( 승리 상금 $ 25,000) [18] 2020년 아프리카 TV 스타리그 시즌 9 8 강 (VS 박상 현 2:3) 5위 [19 ]2020 년 아프리카 TV 스타리그 시즌 10 24 강 [20] 스타 2 개인리그 주요 성적 [ 펼치기 / 접기] 스타 크래프트 2: 자유의 날개 2012년 The Anaheim MLG Pro: KeSPA 초청 이벤트 매치 준우승 (VS 이 영호 0:2) [21] 2012년 2012 HOT6 GSL Season 4 코드 B (VS 김성 현 1:2) 2012년 옥 션 올 킬 스타리그 2012 예선 탈락 (VS 윤지용 1:2) 2012년 배틀 넷 월드 챔피언십 시리즈 SC2 2012 한국대표 선발전 예선 탈락 (VS 장재호 0:2) 2012년 WCG2012 국가 대표 선발전 예선 탈락 (VS 백동 준 0:2) 2012년 2012 HOT6 GSL Season 5 코드 B (VS 천 희수 1:2) 2013년 2013 HOT6 GSL Season 1 코드 B (VS 도 유현 0:2) 스타 크래프트 2: 군 단의 심장 2013년 2013 WCS Korea Season 1, MANGOSIX GSL Challenger League 예선 탈락 (VS 박 남 규 1:2) 2013년 2013 WCS Korea Season 2, 옥 션 올 킬 스타리그 2013 예선 탈락 (VS 강태 훈 1:2) 2013년 WCG2013 국가 대표 선발전 예선 탈락 (VS 신 동원 1:2) 2013년 2013 WCS Korea Season 2/Challenger League 예선 탈락 (VS 최 성일 0:2) 팀 단위 리그 주요 성적 [ 펼치기 / 접기 ]SKY 프로리그 2006 전기 리그 준우승 (MBC GAME HERO)SKY 프로리그 2006 후기 리그 우승 (MBC GAME HERO)SKY 프로리그 2006 통합 챔피언 전 우승 (MBC GAME HERO) 제 2회 KeSPA Cup 우승 (MBC GAME HERO) 신한 은행 프로리그 2008 3위 (SKT T1) 신한 은행 위 너스 리그 08-09 4위 (SKT T1) 신한 은행 프로리그 08-09 결승전 우승 (SKT T1) 신한 은행 프로리그 08-09 정규 시즌 MVP( 이제 동과 공동 수상) 신한 은행 프로리그 09-10 준우승 (SKT T1) 신한 은행 위 너스 리그 10-11 결승전 우승 (SKT T1) 신한 은행 프로리그 10-11 정규 시즌 다 승 왕 &MVP 신한 은행 프로리그 10-11 준우승 (SKT T1 )SK 플래닛 스타 크래프트 프로리그 시즌 1 우승 (SKT T1 )SK 플래닛 스타 크래프트 프로리그 시즌 1 결 승전 MVP 경남 -STX 컵 마스터 즈 2007 준우승, 2009, 2010, 2011 우승 2019년 멸망 전 스타 크래프트 2019 시즌 2 우승 2020년 아프리카 TV 팀리그 시즌 1 조별 리그 탈락 2020년 멸망 전 스타 크래프트 2020 시즌 2 우승 각 종족별 공식전 전적 [ 펼치기 / 접기] 테란 전 전적 [ 펼치기 / 접기] 테란 김 택용 10vs4 진 영수 김 택용 9vs6 변형태 김 택용 9vs6 이재 호 김 택용 7vs2 이 성은 김 택용 7vs3 박성균 김 택용 6vs1 전 태양 김 택용 6vs12이 영호 김 택용 5vs1 서지 훈김 택용 5vs2 염 보성 김 택용 4vs0 박상 우 김 택용 4vs3 신상문 김 택용 4vs3 신희 승 김 택용 3vs2 구성 훈김 택용 3vs3 김 동건 김 택용 2vs0 김성 현 김 택용 2vs0 고 인 규 김 택용 2vs0 임진 묵 김 택용 2vs0 이윤 열김 택용 2vs0 오 민 규 김 택용 2vs0 조병세 김 택용 2vs2이 신형 김 택용 2vs3 정 명훈 김 택용 2vs2 전상 욱 김 택용 2vs1 김성기 김 택용 1vs0 김 기현 김 택용 1vs0 김 준 엽 김 택용 1vs0 박 대호 김 택용 1vs0 오충 훈김 택용 1vs0 조 기석 김 택용 1vs0 장 용석 김 택용 1vs0 차 재 욱 김 택용 1vs0 최 연성 김 택용 1vs0 한승 엽 김 택용 1vs1 노 준규 김 택용 1vs1 손주 흥김 택용 1vs1 임요 환 김 택용 1vs2 박지수 김 택용 1vs2 이 병 민 김 택용 0vs1 최인 규 김 택용 117승 vs63 패 테란( 출처 와이 고수)# [22 ]이 영호과 정 명훈을 제외한 대부분 테란에게 상대 전적이 앞서지만, 가끔 용택이의 전투력 때문에 패배하는 것을 보여준다."
1,그리고 위에 취소 선 그어 져 있는 승부 조작 범들은 케스파에서 영구 제명되면서 동시에 기록도 모두 삭제되었기 때문에 사실상 전적이 없다.
2,"프로 토스 전 전적 [ 펼치기 / 접기] 프로 토스 김 택용 8vs4 박 영 민 김 택용 8vs8 윤 용태 김 택용 7vs3 허영 무 김 택용 7vs15 송병 구김 택용 6vs5 김 구현 김 택용 5vs0 박 세정 김 택용 5vs0 장 윤 철 김 택용 5vs2 진 영화 김 택용 4vs0 김 태 균 김 택용 4vs1 강 민 김 택용 3vs0 김 재훈김 택용 3vs0도 재 욱 김 택용 3vs0 박 정석 김 택용 3vs1 주성 욱 김 택용 3vs3 오 영종 김 택용 2vs0 신 상호 김 택용 2vs0 신 정민 김 택용 2vs0 안 기효 김 택용 4vs4 김 대 엽 김 택용 2vs0 손 석희 김 택용 3vs1 김윤중 김 택용 2vs1 박지호 김 택용 2vs1 손 찬 웅 김 택용 2vs1 이경 민 김 택용 1vs0 김 유진 김 택용 1vs0 신 재 욱 김 택용 1vs0 유대 현 김 택용 1vs0 조성 호 김 택용 1vs1 박수 범 김 택용 1vs1 조재 걸 김 택용 1vs2 김 승현 김 택용 1vs2 우 정호 김 택용 0vs1 이승훈 김 택용 0vs1 김학수 김 택용 0vs1 박재 영 김 택용 101승 vs57 패프로 토스( 출처 와이 고수) 케스 파 비 공식전까지 합치면 송 병구와 거의 대등하지만, 공식전에서는 송 병구가 더블 스코어 이상으로 크게 앞선다."
3,"윤 용태, 김구 현, 오 영종과는 대등한 전적을 갖고 있으며 송 병구, 김 대 엽 이외의 대다수 프로 토스들에게 상대전적이 우위에 있으며 승률은 테란 전과 비슷하다."
4,"저 그전 전적 [ 펼치기 / 접기] 저그 김 택용 9vs5 이제 동 김 택용 7vs1 신노 열김 택용 7vs2 김 윤환 김 택용 6vs0 신대 근 김 택용 6vs2 김성대 김 택용 6vs2 마 재 윤 김 택용 5vs1 박태 민 김 택용 5vs1 차 명환 김 택용 5vs5이 영한 김 택용 4vs1 김 남기 김 택용 4vs1 김 정우 김 택용 4vs1 박명수 김 택용 3vs0 배 병 우 김 택용 3vs0 임 정현 김 택용 3vs1 한 상봉 김 택용 3vs3 박 성 준 김 택용 3vs3 조일 장 김 택용 3vs4 김 명운 김 택용 2vs0 고석현 김 택용 2vs0 김 경모 김 택용 2vs0 문 성진 김 택용 2vs0 박 영 훈김 택용 2vs0 임동 혁 김 택용 2vs1 김 민 철 김 택용 2vs1 김 정 환 김 택용 2vs1이 주영 김 택용 2vs2 김 상 욱 김 택용 2vs4 박찬 수 김 택용 1vs1 신 동원 김 택용 1vs1 박 준 오 김 택용 1vs1 조용 호 김 택용 1vs1 홍진 호 김 택용 1vs0 김 준영 김 택용 1vs0 김 태 훈김 택용 1vs0 권수현 김 택용 1vs0 박 경락 김 택용 1vs0 박 문기 김 택용 1vs0 서 경종 김 택용 1vs0 송영진 김 택용 1vs0 이재황 김 택용 1vs0 조 용성 김 택용 1vs0 주 영달 김 택용 0vs1 고 강 민 김 택용 0vs1 유 준희 김 택용 0vs2 심 소명 김 택용 120승 vs50 패 저그( 출처 와이 고수) 김 택용의 상징이 자 주특기인 저 그전. 테란, 프로 토스 전 승률도 높은데 이보다 더 높은 승률을 보여준다."
5,"테란 의 이 영호, 프로 토스의 송병 구와 같이 공식전에서 김 택용을 크게 앞서는 저그 게이 머들은 없었으며 이 영한, 조일 장, 김 명운 등이 동률 혹은 1-2 경기 앞서는 정도로 대등한 관계만 존재할 뿐이다."
6,이제 동은 공식 전에서는 크게 앞서 있는데 비공식 전을 포함하면 거의 대등하게 된다.
7,송병 구와의 전적과 딱 정반대 양상. 그리고 위에 취소 선 그어 져 있는 승부조작 범 들은 케 스파에서 영구 제명되면서 동시에 기록도 모두 삭제되었기 때문에 사실상 전적이 없다.
8,"대한민국의 前 스타 크래프트, 스타 크래프트 2 프로 게이 머. 역대 최강의 브루드 워 프로 토스 선수로 평가 받는다."
9,"신예 시절부터 두각을 나타냈으며 [23] MSL 로열로 더 출신으로, 스타 크래프트: 브루드 워 양대 개인 리그 (OSL, MSL) 총합 3회 우승, 1회 준우승 [24] 을 기록하였고, MSL 금 배지를 보유한 유일 무이의 프로 토스 게이 머였다."
