,sentences
0,"한국의 전직 게임 개발자 이자, 현직 게임 관련 방송인. 온 게임 넷의 더 테스터, 게임 플러스, 켠 김에 왕까지 등에 출연했고, 게임썰에 고정 출연하며 개발자 당시 직무는 기획으로 스마일 게이트, 넷 마블 등에서 일했다."
1,현재 전업 게임 방송인으로 유 튜버 활동과 각종 행사와 강연을 뛰고 있다.
2,"온라인 리듬 액션 게임 아 스트로 레인저, 온라인 프리러닝 게임 프리 잭의 기획자였다."
3,"이미 역사의 뒤안길로 사라졌지만 프리 잭이나 아 스트로 레인저 등을 포함한, 자신이 개발에 참여한 게임에서 유난히 스스로 성우로 참여하는 경우가 많았다."
4,"아 스트로 레인저에 선 텔 미, 어쩌다 마주친 그대를 직접 불러 UCC로 삽입했다."
5,# 레 나의 블 로그에 간간히 올라오는 영상이나 아 스트로 레인저에서의 몇몇 곡을 살펴보면 노래에 소질이 있어 더 테스터 공인 가수(...) 란 별명으로 불리기도 했다.
6,결혼식에서 축가를 부른 적도 있었다.
7,# 개발한 게임 중 딱히 히트 작이 없다는 점이 방송 중 개그 소재로 활용되기도 했다.
8,"대표적인 것이 개인 방송 배 너에도 삽입한 문구인 내가 만든 게임은 노 잼, 하지만 내가 플레이 하는 게임은 꿀 잼! [3] 아는 사람이 적지만 스마일 게이트에서 파이팅스타를 만들다 1차 클 베 후 기획이 엎어졌다.2015"
9,"년 11월, 모 게임 개발 사의 러브 콜을 받고 취업했다."
10,사명은 사규 상 공개가 불가능하다고
11,"하며, 재직 중 개인방송은 더 이상 지속이 힘들지만 OGN과 게임 썰 출연은 가능 하다고 밝혔다."
12,김 성회 개발자가 애청자들에게 남긴 마지막 공지. 나중에 알려 졌지만 당시 넷 마블에서 기획팀장을 맡았다고
13,한다.2016
14,년 4월 1일 G-Tester 방송을 통해 모바일 RPG 게임 KON의 개발자로 나오면서 어떤 게임을 개발하는 지에 대한 의문이 풀렸다.
15,"#2018 년 11월 기준 후 술된 것처럼 아프리카 tv 개인방송은 중단했고, 온 게임 넷 출연과 유튜버로서 게임 관련 방송 활동을 이어 가고 있다."
16,특히 게임 개발자로 일했던 경험을 살려 핫한 게임 관련 이슈들을 쉽고 명료하게 설명해 주는 컨텐츠로 유명하다.
17,게임 관련 업계에서 오래 있던 사람답게 설명을 잘 해 놓았지만 엄연히 따지면 추측에 불과하므로 과 몰입하지 말고 가볍게 보는 게 좋다.
18,"김성 회의 G 식 백과 활동 시작 일 2018년 9월 12일 유 튜브 구독자 수 55만 명[ 기준]( 실시간) 총 조 회수 80,222,301회 [ 기준] 소속 / 그게 아니죠!"
19,업계 인이 털어 주는 GAME의 잡지식 백과사전좋댓구로 응원해 주세요.
20,"좋댓구는 좋아요,"
