,sentences
0,"전 아프리카 TV의 BJ, 전 KOO TV MC 현 트위치 스트 리머. 본명은 방치 영이다.BJ를"
1,하기 전에는 기수와 프로 게이 머를 꿈꿨다고
2,한다.
3,메도 우이 헌 터는 기수 후보생 시절 애착이 가는 말의 이름이라고 한다.2013
4,롤 챔스 윈 터 LEO Rook 라는 팀에 소속되어 최종 예선까지 진출하기도 했다.
5,"이때 멤버 중 유명한 사람으로는 스트 리머 씨 커, 프로 게이 머 오뀨가 있다."
6,최종 예선에서 아쉽게 탈락 후 프로 게이 머의 꿈을 접고 BJ로 전향한 듯. 시즌 2 737판이나 한 가렌의 어머니로 불리던
7,가 렌 장인이었으나... 가렌의 리메이크 이후 가렌을 버렸다.
8,방송에서는 시청자들의 요청으로 어쩔 수 없이 가렌을 종종 픽 하거나 부캐로 즐겜모드로 플레이했다.
9,"이후 모 스트 1은 신지 드로, 신지드를 픽 했을 때 가장 준수한 성적을 보였다."
10,그러나 신지 드가 비주류 탑캐가 되며 역시 버리고 이제는 모 스트 2였던 블라 디 미르를 파서 시즌 4 모 스트 1로 마무리지었다.
11,나 르가 나온 이후로는 나 르도 꾸준히 하는 모습을 보이기도. 플레이 스타일은 기본에 충실하며 매우 안정적이다.
12,"유명 탑 라이너 BJ로 어깨를 나란히 하는 cvMax과 비교하자면 씨 맥이 플 레 임과라면 메도 우이는 샤이과다. 가렌의 어머니답게 부쉬 운용은 모든 캐릭터에 있어 수준급. 와드 성애 자로, 아이템 칸에 빈칸만 있으면 와드를 서포터 수준으로 사들 고 다닌다."
13,정작 자신의 입으로는 와드를 해도 맵리
14,가 안돼서 갱을 당한다고 한다.
15,보통 다이아 1 티어를 유지하고 시즌 5 전 세기말 마스터 티어를 찍기도 했다.
16,"말버릇으로 "" 아니 무슨..."" [1], "" 참 쉽죠?"
17,""", "" 이건 이렇게 무빙으로 피해 주세요."
18,가 안되네요
19,""", "" 야 이 자식아!"" "" 경거 망동하지 마세요."
20,""" , "" 킬 딸!!"" 어 딜 도망 가? "" 어떻게 템을 가야 잘 갔다고"
21,소문이 날까?
22,"[2]"" 등이 있다."
23,"각종 찰진 드립과 좋은 멘 탈, 뛰어난 실력 등으로 인해 광속으로 인기 BJ가 되었다."
24,"볼드처리된 챔프들은 자주하는 챔프들이고, 지금까지 메 도가 했던 거의 모든 탑을 적어 놓았다."
25,게이 기질이 있다(...) 남자 BJ 들은 같이 있으면 자꾸 뒤로 가서 서 있는다고
26,무서워(?) 한다.
27,그리고 이를 무서워하지 않는 인터넷 방송인으로 머 독이 있다 게이 기 믹 외에는 졸렬한 컨셉이 있다.
28,유 튜브에다 아예 졸렬 보이라는 제목의 동영상을 여러 개 찍기도 했다.
29,한 때는 사이 퍼즈에서 축 포의 엘리를 플레이하며 페도 인증을 하기도 했었다.
30,지스타에서 얼굴이 공개되었는데 생각보다 잘 생겨서 기만 자 소리를 듣는 중(...) 메도 우이 헌 터 방송의 매니저가 방송 1주년 기념으로 대정령 방송에서 직접 1주년 축하를 해 달라고 말했다.
31,매니저의 말로는 메도 우이 헌 터가 대정령 방송의 팬이라고. 그 영향인지 방송 중 말투를 보면 많이 따라한 모습이 보인다.
32,동시에 아프리카 BJ 랭킹이 1위가 되어 캠 방을 하기도 했다.
33,골드 탈론 유저 와의 미러 전을 지고 멘 탈 붕괴 후 사과 몽이랑 skt 전화 사로 바꾸라며 음성 톤을 바꿔 유괴범 상황 극을 했을 때 반응이 은근 좋았다.
34,#2014 년 12월 24일 키가 168에서 170 사이라고 말했다.
35,페이스 북으로 견자희와 다리 길이를 비교한 적이 있었다.
36,더 가늘다
37,GE 방송에서 롤선생이 피아노를 치고 메도 우이 가 노래를 부르는데 준수한 실력을 보여줬다.
38,# 드럼도 꽤 친다.
39,BJ 은퇴 후 길거리 연주를 한다고 한다... 다른 1 세대 가 렌 장인인 느조스와는 부부와 같은 사이로 통한다.
40,"어머니, 아버지... 이제 그만 아들을 놓아주세요..."
41,- 롤 스토리를 어느 정도 알고 있는지 데마시 아 에는 왜 OP가 없냐고 한탄한다.
42,자 르 반이 있잖아
43,네 가 쓰면 가렌도 OP야 베 인도 있는데 ??GE에서 가장 잘생긴 남자 BJ 이다.
44,취소 선 처리가 되어 있지 않은 이유는 실제로 유 튜브에서 투표를 했는데 1위를 했다... 여 친이 있었다.
45,여자친구도 BJ 인 듯... 연아 루라고 본명은 연 지희. 노래도 냈다.
46,메도 팬들이 여자친구 페이스 북 글마다 댓 글로 메도 상황을 물어서 학생은 댓 글 달지 말아 달라는 글을 올렸었다.
47,롤선생과 이상 호가 페이스 북으로 검색까지 하며 추리를 하는 방송이 화제가 됐다.
48,지금은 솔로다.
49,#2015 년 4월 27일 GE 소속 BJ 전체가 6 정을 당했다.
50,아프리카 TV 참조 .KOO TV로 온 뒤 올 챔 탑방송을 하고 있었다.
51,탑 드븐이나 탑 나미까지 플레이하는 모습을 보였다.
52,본격 팀 캐리 받는 방송 당연하게도 일반에서만 한다.
53,[5] 텔 포 대신 점화를 들어 운영 대신 강력한 라인 전을 한다.
54,롤을 할 때 개인마다 다르겠지만 거의 모든 스킬을 스마트 키로 하지 않고 사용한다.
