,sentences
0,"恐龍 / Dinosaur[1] [2] 공룡은 용 궁 강 (Sauropsida, 석 형류) 이궁 아강 (Diapsid) 가운데 조 반목 (Ornithischia) 과 용 반목 (Saurischia )에 해당하는 동물 군 [3] 을 총칭한다."
1,"익룡, 어룡, 장경 룡( 수 장 룡) 같은 다른 석 형류 동물 군은 엄밀히 말하면 공룡에 포함되지 않는다 [4]. 지금으로부터 2억 5천만 년 전인 중생대 트라이 아스기 초에 등장하여 6600만 년 전 백악기 말기, K-Pg 멸종으로 인하여 단 한 부류만 제외하고 지구상에서 모습을 감추었다."
2,"이 대 멸종에서 살아남은 유일한 공룡들은 튼튼한 날개 뼈와 작은 체구를 갖추어 약 2억 년 전에 진화한 개체들이며, 현재 조류로 분화되었다."
3,육상을 거닐었던 동물들 중 가장 거대한 동물 군이다.
4,"공룡보다 거대한 동물들은 이전에도 없었고, 지금도 존재하지 않는다."
5,즉 신체적으로 볼 때 공룡을 앞설 만큼의 육상동물은 지금껏 없었다.
6,한 예시로 트리케라톱스가 현재 육상에서 제일 큰 포유류인 아프리카 코끼리보다도 훨씬 거대하고 무거웠으나 정작 트리케 라 톱 스는 평범한 중형 급 공룡에 불과했다.
7,"중생대 이전 까지도 단 궁류처럼 지구를 상당히 지배한 생물은 있었으나, 공룡 수준의 무궁무진한 크기와 다양함을 지닌 생물은 흔하지 않았다."
8,"현생 동물들과 차별화되는 공룡의 특이 함과 다양성으로 인해서 대중들에게 가장 잘 알려 진 고생물로, 현대에도 많은 인기를 누리며 각종 매체와 창작물에서 자주 등장하곤 한다."
9,"티라 노 사우 루스와 트리케라톱스같은 경우, 공룡에 큰 관심이 없는 일반 대중들도 알고 있을 정도다."
10,"공룡을 다루는 매체는 굉장히 많았지만, 이러한 공룡의 대중화에 있어서는, 1993년에 개봉한 쥬라기 공원이 큰 역할을 하기도 했다."
11,"보통 파충류로 분류하나, 이는 고 생물학 분류가 완전하지 못했던 시절의 분류 체계이다."
12,"과거 파충류는 지상에 완전히 [5] 적응한 척추동물 중 무궁 류와 이궁류의 일부, 즉 거북, 뱀, 도마뱀, 악어와 공룡 등을 모두 포함해서 이르는 말로서 쓰였다."
13,하지만 거듭 된 연구 결과로 조류가 공룡의 하위 분류로 속해 있음이 드러나면서 계통 분류가 완전히 꼬여 버렸다.
14,때문에 ' 파 충류' 의 정의와 이러한 문제점을 해결하기 위해 파충류와 조류를 통합하는 석 형류라는 분류 군이 새로 제시되어 쓰이기도 한다.
15,"다만 대부분의 사람들이 이러한 계통학 분류에 대한 상식이 많지 않기 때문에, 보통 그냥 파충류라고 분류하는 경우가 많다."
16,공룡이라는 부류가 정의되게 된 계기는 1822년 어떤 거대 파충류 화석의 등장까지 타고 올라간다.
17,이것을 발견한 멘 텔 부부는 이를 보고 이구아나의 이빨이라는 뜻에서 이 파충류의 이름을 이구 아노 돈이라 이름 지었다.
18,"[6] 이후 영국의 생물학자 리처드 오언이 1841년 화석으로 발견되는 파충류를 공룡 (dinosauria, 대충 해석하면 무서운 도마뱀 정도) 이라는 부류로 정의했다."
19,참고로 이렇게 정의되기 전까지 이들의 화석은 용의 시체나 용의 뼈쯤으로 취급되어 약재 등으로 사용되었다고
20,한다.
21,' 공룡' 이라는 한자어를 누가 가장 먼저 번역하고 사용했는 지에 대해서는 알려 진 바가 없지만 1894년 지질학자 요코 야마 지로가 쓴 책에 이미 恐竜( 쿄 우류 우) 라는 어휘가 사용된 것을 보면 그 이전부터 존재한 단어 임을 알 수 있다.
22,"과학, 철학, 민족 등의 단어도 서양의 단어를 개화기 일본에서 가장 먼저 한자어 화한 것이기 때문에 공룡이라는 단어도 일본에서 유래되었을 가능성이 높다."
23,"트라이 아스기 말에는 3 ~ 4m 정도의 공룡이 나타나기 시작했으며, 쥐라기와 백악기 등으로 계속 나아가면 육식 공룡과 초식 공룡은 모두 거대 해진다."
24,이 때문에 크고 강한 것을 좋아하는 아이들 사이에서는 매우 인기가 많다.
25,또 한 용 반목 공룡들의 폐는 포유류보다 월등히 효율성이 높다.
26,그 이유는 폐의 양 옆에 관이 하나가 더 있어서 숨을 들이킬 때 폐의 본체로 들어간 뒤에 다시 한번 이 관을 통과한 뒤 밖으로 빠져나오기 때문이다.
27,그 결과 한 번 들이킬 때의 흡수하는 산소의 양은 조류가 포 유류보다 훨씬 높으며 따라서 고도의 비행이 가능한 것이다.
28,그리고 덩치가 작은 공룡도 제법 있었다.
29,"대표적인 예는 콤프 소 그나 투스라는 속으로, 대략 100cm 정도. 그리고 공식적으로 가장 작은 비조류 공룡은 25cm 의 에 피 덱 시 프 테 릭스. 조류까지 합치면 현존하는 벌새 (5 ~15cm) 가 가장 작다."
30,"더욱 자세한 것은 이것을 참고. 무엇보다 공룡도 종류가 다양했던 만큼 크기도 제각각이었으며, 대중의 이목을 크는 초대형 종은 수많은 공룡들 중 일부에 불과 하다. 수각류 중 코일 루로 사우 루스류는 조류의 조상으로 거의 확정적으로 추정되며, 21 세기 들어 속속 새로이 발견되는 화석들과 새로운 연구결과들을 통해 사실상 코 일루로 사우 루스류와 아 베스( 현생 조류) 와의 구분이 극히 모호 해졌다."
31,거대한 공룡이 등장한 이유가 지구 온난화 때문이라는 설이 나오고 있다.
32,# 화가 루돌프 잘 링거가 1947년에 완성한 벽화 <The Age of Reptiles>( 파충류의 시대). 가로 34m 세로 4.9m에 달하는 큰 그림이다.
33,공룡을 포함한 파충류의 역사 [7] [8 ]를 한 폭에 담아 내었 고 공룡에 대한 사람들의 관심 역시 폭발적으로 늘어났다.
34,이 그림은 현재 미국 예 일대학교 피바디 자연사박물관에 전시되고 있다.
35,하마와 비슷한 종인 히 포 포 타 무스는 1928년 독일 과학자 오토 디 트리 히에 의해 묘사되기도 하였다.
36,"화석 발굴의 이미지가 대부분 공룡으로 연결되는 등, 일반인에게도 인식이 깊게 박혀 있다."
37,그도 그럴 만한 것이 판게아가 갈라지는 시기부터 존재했으므로 베게 너의 대륙 이동설을 뒷받침하는 근거가 되기도 했고 공룡 같이 지구 역사상 이렇게 다양한 형태의 동물들이 번성했던 시기도 드물기 때문이다.
38,수많은 괴물/ 괴수 영화나 기타 매체에서 직접 공룡이 혹은 영향을 받은 것이 등장한다.
39,"특히 여러 문화권에 존재하는 용, 드래곤의 전설과 닮았다는 점도 한몫 했다."
40,아무튼 고대의 화석 동물들 중에서도 인간에게 가장 사랑받는 존재라고 해도 과언이 아니다.
41,"미취학에서 초등학교 저학년 연령 대의 아이들이 열광하는 대상이 기도 하다. 비록 지금은 과거에 비해 덩치가 매우 작아졌지만 한때 지구를 주름잡았던, ' 강력하고 거대한 존재' [9] 라는 점이 크게 어필하는 것으로 해석된다."
42,서점에 진열된 공룡 관련 서적을 찾아보면 어린이 중심의 서적들이 큰 비중을 차지하는 것을 알 수 있다.
43,"이 때문인지 공룡이라는 동물이 한국이나 일본을 비롯해서 공룡 화석 산지로 유명한 미국이나 캐나다, 몽 골, 중국, 독일, 영국, 스페인, 프랑스, 모로코, 이집트, 아 르 헨 티나 같은 나라들에서도 그저 유소년, 유 소녀층의 어린이와 고생물학자들의 전유물 정도로 치부되고 있는 측면이 없지는 않다."
44,한편 조류의 조상이라는 깃털 달린 모습은 철저히 외면 받고 있다.
45,애초에 일반인에게 잘 알려 지지 않은 점도 있지만 깃털 달린 모습이 멋이 없다는 인식이 많은 탓이다.
46,단순히 익숙하지 않다는 점도 한몫한다.
47,성인 중에서도 공룡을 좋아하는 사람은 꽤 있다.
48,애초에 성인이 전부 공룡에 관심이 없었다면 고 생물학이 이렇게 까지 발전할 수 없었을 것이다.
49,(...) 인식이 이렇다 보니 교과서나 어린이용 공룡 책에서 조 차 고생물 파충류나 단 궁류의 화석만 나와도 공룡이라 잘못 설명하는 경우까지 있다.
