,sentences
0,"지덥, 지난 이야기! [3] 머리 딱 대! [4] 지렸다 지렸어~ [5] 적의 숨통을 단수 메~ 종합게임 유 튜 버들 중 한명으로, 각종 게임 영상을 올리고 있다."
1,기존에 몬스터 헌 터: 월드 영상을 올릴 때는 구독자 수가 천명도 되지 않았다.
2,"하지만 ARK: Survival Evolved 1 화를 업 로드 후, 업 로드하는 영상마다 인기 급상승 동영상에 들어가며 엄청난 인기를 얻고 있다."
3,"[6 ]ARK 시리즈 1 화를 업 로드할 당시, 수백명 단위였던 구독자 수가 불과 3개월 만에 20만명을 넘어섰다."
4,이러한 인기로 인해 ARK 관련 컨텐츠를 업 로드하던 여러 유튜버들의 점차 지 덥의 스타일을 벤치마킹하는 현상도 일어났다.ARK
5,: Survival Evolved 을 플레이할 때 민서라는 친구 1명과 같이 플레이한다.
6,이후 갱스 유저 [8 ]를 영입해 3 명이 플레이를 한다.
7,"영상을 보면 알 수 있겠지만, 세 명의 아이디가 yakuza, mafia, gangster이며 집 털이를 자주 한다는 점에서 서버에 이름을 널리 알리고자 함을 알 수 있다."
8,"미국, 러시아, 일본 국제폭력조직 영상이 3일에 한번 올라온다."
9,그래서 그런지 영상이 올라오면 영상 길이를 조금 더 길게 해 달라는 댓 글이 많이 보인다.
10,질질 끄는 전개 때문에 말이 많던 시기가 있었다.
11,[9] [10] 마성의 매력이라도 있는지 우연히 보게 되었다가 끝까지 다 보았다는 사람들이 많다.
12,영상을 찍고 올리는데 3 달 정도 차이가 난다.
13,아크를 같이 플레이하는 민서와는 고등학생 1 학년 때 부터 군대도 동반 입대한 12년 지기 친구라한다.
14,"자칭 고인물이라고 소개를 했지만, 시청자들이 보기에 고인물 스러 운 부분과 이걸 모르네?"
15,하는 부분이 공존한다.
16,"[11] 한국 유저들을 봐주는 성격이 짙은데, 아무리 자신들을 죽이고 템을 빼앗아 갔다가 다시 돌려주더라도 "" 한국인이라 봐준다"" 식으로 끝낸다."
17,이것 때문에 지 덥에 팬들은 한국인이라도 봐주지 말자는 주장을 하고 있다.205
18,"화를 기준으로 영상 내에서 "" 봐 주지 말까... ""라고 하지만 끝끝내 털지 않고 돌아가는 게 다반사. 동물을 좋아한다고 한다 [12 ]79 화 기준으로 댓 글이 막혔다."
19,[13] 이것에 관해 커뮤니티에 글이 올라왔다 안녕하세요.
20,지 덥이에요!
21,최근 영상에 대해 여러 가지로 속상하신 마음 충분히 공감합니다.
22,올리는 저도 아쉬운 마음이 큰데 시청자 분들께 선 얼마나 속상하시겠어요.
23,"다만, "" 다음 시즌 영상을 열심히 준비하느라 전개가 느려 졌구나"
24,""" 정도로 이해 해 주시면 감사하겠습니다."
25,대신! 다음 시즌은 빠른 전개를 목표로 새로운 변화를 주려고 노력하고 있습니다.
26,"다음 시즌 시작 일은 8월로 예상하고 있으며, 알찬 영상을 만들 수 있도록 최선을 다하고 있습니다."
27,그전까지 저희 영상도 가끔 씩은 브이 로그 보듯 편한 마음으로도 봐주셨으면 좋겠어요~
28,"( 저희도 게임 유튜버잖아요.. ㅠㅠ) 그리고, 이전에 커뮤니티로 단순히 몸상태가 안 좋다고만 말씀 드렸는데 사실은 공황장애를 겪고 있습니다."
29,그래서 당분간 나아질 때까지 영상 작업에 집중할 수 있게 댓 글 창을 비공개로 설정할 예정입니다.
30,이 점 조금만 너그럽게 양해 부탁 드립니다.
31,"그럼 항상 재밌게 시청해 주시는 모든 분들께 감사 드리며, 더 발전하는 모습 보여드리도록 노력하겠습니다."
32,﻿100 화 겸 에어 팟 이벤트 영상부터 다시 댓 글이 뚫렸다
33,아마 본명은 ' 지섭' 일 것으로 보인다.
34,갱스형과 민 서가 ' 지 덥' 이 아닌 ' 지섭 '으로 부르는 모습을 많이 볼 수 있다.175
35,"화를 기준으로 테크를 향한 새로운 시즌이 시작되었고, 기존의 아일랜드 서버에서 발 게로 서버로 이사했다."
36,동물이나 공룡의 이름을 지을 때 자동차의 이름을 많이 사용한다.
37,[14] 제목 영상 한국 고인물 2명이 서 중국인들 정복하러 왔다!
38,[7 ]1 화원 피스처럼 해적선 만들기 !2 화 우리 집을 노리는 중국인 도둑 3 화 레벨 업 + 아르 젠 테 이밍 빠르게 하는 법 !4 화 일본인 인척 하고 중국인 괴롭히기 !5 화기가 노 토가 제발로 찾아왔다?!6
39,화 중국인들의 큰 그림 7 화 우연히 발견한 첫 번째 목표 8 화 중국인들의 와 이번 알을 훔쳐 라 !9 화 살아남고 싶다면 악마가 되어라!10
40,화 양들의 침묵 작전 개시 !11 화 중국인에게 감금된 동료를 구출하라 !12 화 중국인 멘 탈 박살 내기 !13 화 중국인 집을 부술 수 있는 무기? !14 화계 속되는 중국인들의 습격 !15 화 우연히 다시 만난 그 중국인들 !16 화 드디어 시작된 중국인 집 철거 !17 화제 1차 폭포 전쟁 종료 18 화 새로운 집터를 찾아라!19
41,화 중국인들이 못 오게 입구를 막아라!20
42,화 사람을 공격하는 X 종 씨앗을 심자 !21 화 드디어 확장공사 시작 !22 화고 생 끝에 집이 완성되었다!23
