,sentences
0,플 레 잉 카드의 A. 트럼프에서 조커를 제외하면 최강의 패다.
1,"근데 이게 미묘한 게, 에이 스는 최고 말고도 '1' 이라는 이미지를 갖고 있다."
2,족보로는 가장 높지만 숫자로는 가장 낮은 패이다.
3,화투에 오광이 있으면 플 레 잉 카드에는 에이스가 있다는 우스갯소리도 있다.
4,"한국의 5 인조 보이 그룹은 에이스( 아이 돌) 문서로 .1 번 항목에서 유래한 단어로, 어떤 집단 등 [1] 에서 최고의 실력을 가진 존재를 ' 에이스 '라고 칭하기도 한다."
5,이외에도 에이스 중에서 더욱 뛰어난 존재를 가리키는 슈퍼 에이스란 말도 있다.
6,말 그대로 혼자 적 팀을 다 죽인 것을 의미한다.
7,"대개 FPS 게임 중 한 라운드에 일정 인원이 제한되어 있고, 부활이 불가능한 시스템을 가진 게임에서 쓰인다."
8,"카운터 스트라이크 시리즈나 레인 보우 식스 시리즈, 발로 란트가 대표적이다."
9,부활이 가능한 게임에서는 [4] 모두 리스 폰 타임에 들어간 상태가 되어야 한다.
10,즉 상대 인원을 모두 죽여도 시간이 오래 걸려 중도에 1명이라도 리스 폰되면 에이스가 아니다.
11,"리그 오브 레 전 드는 조금 달라서, 한 명이 아닌 여럿에게 킬 이 분산되어도 적 팀이 모두 리스 폰 상태에 들어가면 에이스라고 뜬다."
12,[5] All Champions Eliminated의 약자라는 설이 있는데 맞다면 중의적인 의미로 붙인 이름인 듯하다.
13,FPS 계에서의 에이스와 일맥상통하는 개념은 펜타 킬 참고. 여담으로 에이스가 존재하는 게임에서는 3~4 킬 을 한 유저가 나머지 적군을 죽일 수 있도록 해당 유저가 요청하거나 해당 유저에게 양보하는 암묵의 룰이 있다.
14,그래도 다른 유저가 킬 을 먹어도 비 매너는 아니다.
15,뺏었 다면 해당 게임의 나머지 인원 모두에게 인성 문제 있냐
16,는 농담 반 진담 반을 듣게 된다 카더라.
17,뺏긴 사람한테 욕이나 안 들으면 다행이다.
18,에이스 침대 항목 참고. 자세한 내용은 에이스( 과자) 참조. 게임 Another Century's Episode 시리즈의 줄임말 무성 애자 (Asexuality )를 뜻하는 속어 ARMA2 와 ARMA3 의 게임 모드 Advanced Combat Environment 코 나미가 2016년 출시한 DanceDanceRevolution A의 A가 Ace 다 .ACE Test : ACE(Adobe Certified Expert) TestArmy Compartmented Elements : 통 칭 델타 포스로 불리는 미 육군 특수부대의 바뀐 공식 명칭. 그전에는 CAG(Combat Application Group) 이었다.
19,특수부대가 자주 노출되어서 좋을 게 없기 때문에 겉보기에 널리 알려 진 그 부대가 아닌 것처럼 자주 부대명을 바꾼다.
20,갈릴 ACE : IWI에서 설계 제작한 돌격 소총 메이저 리그 베이스볼의 야구팀 오 클 랜드 애슬 레 틱스의 별칭 A's. 에이스 시리즈 : 아디다스의 축구화 시리즈 특촬 물 울트라 맨 에이스 자일 대우버스 FX120 의 2017년 형 이후 명칭 안지 오 텐 신 전환 효소의 약자. 안지 오 텐 신 I을 안지 오 텐 신 II( 안지 오 텐 신) 로 전환시킨다.2005
21,"년 데뷔한 그룹 파란의 멤버 최성 욱의 예명 M9ACE : Armored Combat Earthmover. 미군과 대한민국 국군에서 운용 중인 기갑차량으로, 국군에서는 ' 장갑 전투도 저 '라고 부르며 흔히 ' 에이스 '라고 부르기도 한다."
22,다 윈즈 게임의 등장 단체( 클 랜). 항목 참조. 발로 란트에서 한명이 적 팀을 전멸 시키는 것을 에이스라고 한다.
23,"에이스( 전투 조종사) 문서로. 에이스( 야구) 문서로. 야구 뿐만 아니라, 기타 단체 스포츠 종목에서도 의미가 확장되면서 한 팀에서 가장 기량이 뛰어난 선수를 에이스라고 칭한다."
24,농구에서는 최고의 스코어 러 ( 점수를 많이 따내는 선수) 나 혹은 팀에서 가장 공헌도가 높은 선수를 말한다.
25,"다만 NBA에서는 팀 공격에서의 지분에 따라 ""n 옵션"" 으로 칭하는 경우가 많다."
26,"스타 크래프트의 5전 3선 승제 프로리그에서는 프로리그 경기에서 2대 2로 동률이 되었을 때, 사전에 공개되지 않는 5 번째 세트에 출전하는 선수를 에이스라고 부른다."
