,sentences
0,"Lee ""Wolf"" Jae-wan 대한민국의 前 리그 오브 레 전드 프로 게이 머. 前 NaJin White Shield, CTU, SK telecom T1, SuperMassive eSports의 서포터, 現 T1 소속의 인터넷 방송인이다."
1,또 한 2020 년 롤 드컵을 기준으로 MSI와 롤 드컵을 모두 우승해 본 유일한 서포터이다.
2,프로 데뷔 전에는 리그디스에서 활동하는 천상계 플레이어였다.
3,아마추어 시절에는 미드와 정글을 주로 플레이했다고
4,"하며, 당시 주 챔피언은 피 즈였다."
5,"[10] 아마추어 시절에는 미드와 정글 유저였지만 서포터로 데뷔한 이유는 가장 경쟁이 덜한 포지션이 여서. 초창기 블 리 츠 크랭크가 주 서포터 챔피언이었는데, 어째 선지 자기가 생각하는 메인 포지션인 미 드보다"
6,는 블 리 츠 크랭크로 더 유명했다고
7,한다.
8,하지만 프로 무대에 들어와서는 팀 내 듀오인 로 코도 코가 블 리 츠 크랭크를 싫어해서 잘 활용하지는 못했다.
9,"[11] 나 진 화이트 실드에 입단하면서 프로 무대에 데뷔했고, [12] 이후 CTU의 서포터로 활약 하다 2013년 10월 12일에 SK 텔레콤 T1 S에 입단했다."
10,"도깨비 팀으로 유명한 SKT T1 S에서 이지 훈과 함께 가장 꾸준한 모습을 보여줬던 멤버이며, 결국 이를 바탕으로 2015년부터 SKT 단일팀의 서포터 자리를 꿰차게 된다.2017"
11,"년, 파트너인 뱅과 함께 6년 차 봇 듀오에 접어들게 되면서 세계에서 가장 호흡을 길게 맞춘 봇 듀오라는 타이틀을 가지게 되었다."
12,"2012년 겨울에 NLB에서 맞춘 첫 호흡을 시작으로 이후 나 진 화이트 실드에서 나와 SKT에서 다시 만 나 2013년 겨울에 다시 짝이 되었으며, SKT가 지속 적인 리 빌딩을 거치는 과정에서도 이들은 서로 옆에 남아 LCK 4회 우승, 롤 드컵 2회 우승, MSI 2회 우승이라는 대기록을 달성했다."
13,"현재 어떤 서포터도 울프의 커리어를 넘어서지 못했고, 역대 최고의 서포터를 거론할 때 빠지지 않고 있다."
14,[13 ]2018 년에 팀 리 빌딩 과정에서 계약 종료로 정든 소속 팀을 떠나게 되었다.
15,뱅과도 헤어져 결국 7년 차까지 호흡을 맞추게 되었다.2019
16,년 11월 30일 인 벤 과의 인터뷰에서 은퇴를 선언했다.
