,sentences
0,2015년 3월 2일에 방송을 시작한 여자 롤 인터넷 방송인으로 어느 정도 입지를 보유하고 있다.
1,"예쁘고 귀여운 얼굴을 하고 있으나, 엄청난 욕설과 겉잡을 수 없는 인성도 함께 보유하고 있어 처음 방송을 본 사람들은 괴리감을 느끼고 놀라곤 한다."
2,"어느 정도 욕( 김 레인 기준) 과 인성이 필터링 된 유 튜브 동영상 댓 글은 대부분 예쁘고 롤을 잘한다는 칭찬이 주를 이루지만, 여과 없이 욕과 인성의 직격탄을 맞는 아프리카 시청자들은 대부분 "" 형"","" 상 남자"" 등으로 부르거나 예쁘다 보 단 "" 잘생겼다"" 라고 하며 여자 취급을 해 주지 않는다."
3,"방송에서는 그러한 김 레인의 욕설과 인성에도 예쁜 얼굴을 칭찬하거나 롤 실력을 칭찬하는 간신과 실력, 외모, 인성에 관해 직언을 날리고 바른말을 하는 충신으로 나뉜다."
4,방송은 대개 먹 방- 롤- 토크( 노가리) 로 이루어져 있고 평균 방송시간은 6시간 정도이다.
5,"방송 시간은 일어나는 시간에 맞춰 본인 마음대로. 안녕 하세요 연도 내용 주최 구분 2015 아프리카 TV Best BJ 아프리카 TV 선정 2015Mid-Season Invitational 아프리카 TV 중계 2015 엘 소드, 무한 포 텐 도전 아프리카 TV 진행 2015 천하 제패 멸망 전 2015 아프리카 TV 선수 2016Riot Viewing Party 라이 엇게임 즈 진행 2017 리그 오브 레 전드 레이 디스 배틀 2017 나이스게임 TV 선수 2017 아프리카 TV 파트너 BJ 아프리카 TV 선정 2021 마피아 42 랭 커 즈 리그 team 42 중계 서수 길만 걷자 팀 구성 포지션 이름 티 어탑 김 백백 다이 아몬드 정글 상연 다이 아몬드 미 드김 예 린 골드 원 딜 김 레인 실버 서포터 아 라미 누나 다이 아몬드방송 중 자주 언급되거나 질문이 쇄도하는 인물들을 다룬다."
6,자주 언급되는 시청자나 매니저들은 친목과 네 임 드화 될 우려가 있어 작성하지 않았다.
7,현재 닉네임 : 골 D 덕 부캐 닉네임 : CVR 덕배 과거 닉네임 목록 김 rain5 학년 3 반 김정치예산 피 바라기 응 넌 안돼 5 학년 3 반 턱이 커 5 학년 3 반 김 덕 배 아프리카 BJ Cuzz5 학년 3 반 갓 덕 배 김 레모 띠 실버 중독 김 레인 피 씨 팩토리 질척이지 마 골드 D 덕 배덕 멘 레인 직시 B 걸면 미 드달림 CVR 덕배 WVVVVWWVW 빻 덕중열아난안되겠니모쏠군필김덕배찡도날드덕 배 WWWVWVWWVW 괄약근 조절 실패 시부 레 인 dasiotjrlwSSG 김 덕배 심장의 색깔 블루아 라미 전 남친 뀨 뀨 꿀 뀰 꿀 실버 세계수 qwetaseaweasfd 금 덕 미드 불상만 24 스믈 여섯 짤 잔액 부족입니다
8,예산 피 바라기 IIlIllIlIIIlI 뽀표 덕 소해 예산 덕 짜 르 트 PC는 피씨 팩토리 18 세기 덕요 전령 아 미안해 파괴 왕 김 최강 뇌지 컬 김 대과 리 연어의 모험 요플레인 골 통령 수찬이 내 남자 플레스 티 지덕 이루탑은 정글 차 2 니 얼 덕 또 또 따 짱 친 BJ 와드 28년 산 배 즙 납작 단 살 구세 젤 귀 단비 곤 듀 예산 불주먹 김 덕배 뇌 없 섬 zl 존 미드 덕 짱 국밥 봇 승급하면 우 결 악어 눈물 신랑 더기 골 통령 즙 좀 짜 줄래
9,"32살 예비 곰 신코 스프 레 맛 집 제주도 허쉬 실버는 덕 튜브 실벌레인 개똥벌레인 올시즌 플 레 티 넘 엥 밑 덕 llllllllllll 플 레 못 간 플 레카드 곧 아홉수 Onesun Rain 따로 카테고리를 분류 하기 애매한 사건들이나 방송 근황, 정보 등에 대해 서술하는 항목입니다."
