,sentences
0,게임 채널 NICEGAMETV[2]　 처음에는 아프리카 BJ 고블린과 닥 말 오성 균이 워 3 중 계를 위해 세운 회사로 출발해 홀스 정진 호의 합류로 본격적인 인터넷 종합게임 방송국으로 노선을 전환해 지금에 이르고 있다.
1,AOS 게임 방송에 강점을 보이는 인터넷 방송국이며 [3] 2012년부터 맡아서 진행하고 있는 대표적인 대회는 롤챔스의 하부 리그 인 챌 린저스 코리아가 있다.
2,아 발론 온라인 리그를 진행하기도 했었고 NWL 등 한국 워크 래프트 3 리그도 진행하였다.
3,인기 하락과 조 작맵 등의 이유로 국내 양대 케이블 게임방송에서 워 3 리그 계보가 끊겼을 때부터 자체적으로 스폰을 구하고 해외 선수들과 접촉하여 게임리그를 열었었다.
4,당연하게 대부분의 대전은 온라인으로 진행되었고 이에 따른 에피소드가 있다.
5,애청자라면 볼만한 다큐멘터리 영상. 다각적 갱 킹 촬영 동영상이 비공개로 전환되어 볼 수 없다.
6,"현재는 실황 리얼아이 언과 외주제작, 홀스의 개인방송만 남아 종합 방송국이라고 보기 힘들어 졌다."
7,축소되는 정도가 아니라 거의 손을 놓고 있다고
8,봐도 좋은데 나이스게임 TV 유 투브 채널은 업 로드가 된지 3개월이 넘었고 실황 리얼아이 언을 제외한 자체 콘텐츠 제작도 없어 졌다.
9,정치 서브 채널인 시사건 건만 매일 올라오는 상황으로 게임을 보는 시청자들은 대부분 떠났고 홀스 개인을 좋아하는 사람만 남았다.2007
10,"년 KEC 리그 엠블럼나겜을 대표하는 가장 큰 리그는 바로 League of Legends Challengers Korea 와 17 차로 종료된 CCB."" 가나다 순"" 으로 기재. 직원들 [11] 이름 닉네임 기타 장 혜 미 꽃신 홀스의 부인. 나 겜 이사. 미모 때문에 시청자들에게 ' 갓 사님' 이라는 칭호가 붙었다.2016"
11,년 6월부터 아침마다 브론즈 5 랭크게임 개인방송을 시작했다.
12,나 겜에선 ' 갓 사님의 심해 탈출기' 라 붙여 주긴 했는데 방제는 자주 바뀌는 편. 7월에 브론즈 4로 승급했지만 다시 5로 강등 당했다.
13,"주 챔피언은 서포터 모 르가 나와 미드 직스, 남편에게 전수 받은 삼위 일체를 위시한 극 딜 정글 워윅이 있다."
14,롤에 맞들 렸 는 지 롤방송을 막 시작했을 땐 자식들을 유학 보내고 본인은 편하게 롤 방송을 하고 싶다고
15,밝히 기도 했다.
16,"(...) 명대사는 남편인 홀스에게 했던 "" 나는 널 밑바닥 인생에서 꺼 내줬으니까 어서 날 심해에서 꺼 내줘."" 가 있다."
17,시청자들 중에선 만년 다이아와 콜라 보하면 명방송이 나오지 않을까
