,sentences
0,"트위치에서 활동하는 인터넷 방송인. 고전 게임, 인 디 게임, 온라인 게임, 콘솔 게임, AAA 게임 등 다양한 게임을 하는 종합게임 방송 스트 리머이다."
1,"2012년 1월 17일에 아프리카 TV에서 방송을 시작했고, 2016년 10월 26일에 트위치로 이적하여 트위치에서 방송을 하고 있다."
2,"아프리카 TV에서 4년 넘게 방송하면서 애청자를 만 명 가량 모았지만, 트위치로 옮기고 1년 반만에 팔로 워 10만 명을 모으면서 크게 성장했다."
3,2020년 기준으로 유 튜브 구독자 수도 10만을 넘겼고 트위치 팔로 우 수는 20만을 넘긴 베테랑 9년 차 인터넷 방송인이다.
4,"정규 방송 시간은 보통 저녁 7시에서 8시 사이에 방송이 시작되어, 새벽 2시에서 4시 사이에 방송이 종료된다."
5,[11] 하루에 7~10 시간 정도의 방송을 한다.
6,"휴방일은 원래 정하지 않고 주 1회 쉬었으나, 현재는 목요일이 정규휴방일이 되었다."
7,"[12] 트위치로 이적하고 1년 간은 정규 방송 시간이 제대로 지켜 지지 않고, 기분에 따라 새벽이나 낮에 키는 경우가 있었지만, 어느 정도 자리를 잡은 이후에는 정규 방송 시간을 잘 지키고 있다."
8,"방송 구독자는 토템 [13 ]으로 칭하고 있으며, 장기 구독자도 서서히 나타나자 이들을 따로 장승이라 부르기도 한다."
9,"하지만 시청자가 늘고 게임과 라디오에서 화제가 된 밈을 이용해서 이모 티 콘이 만들어 지면서 쑥쑥 단, 호미 단, 엉덩이 단, 자벌레단 등 다양한 단체가 생겼다."
10,그중에서도 대표는 쑥쑥 단이다.
11,"시력이 좋지 않아서 평소에는 안경을 쓰고 다니지만, 방송에서는 예쁜 모습을 보이기 위해 렌즈를 착용하는데, 밝은 조명에서 방송을 해서 시력이 더 안 좋아진다고 한다."
12,그래서 눈을 많이 써야 하는 게임을 할 때면 눈이 아프다며 캠을 끄고 안경을 쓰고 방송하기도 한다.
13,렌즈를 껴도 눈이 안 좋아서 화면 글씨가 잘 안 보여서 채팅 창에서 누군가 나쁜 말을 해도 그냥 넘겨 버리고 나중에 시청자들이 알려준 뒤에야 밴하는 경우가 있다.
14,"방송 진행은 굉장히 순박한 편으로, 시청자들에게 휘둘리다시피 했다."
15,이런 이미지 때문에 악성 시청자들이 괴롭히는 채팅이나 이메일을 많이 보내서 스트레스를 많이 받았다고
16,한다.
17,"그러나 5년 이상 방송을 진행한 방송인답게 멘 탈 터지는 일을 많이 겪어서 웬만한 일은 넘겨 버리고, 시청자에게도 휘둘리지 않는 자신만의 방송을 하고 있다."
18,그리고 이런 순박한 스타일에서 나오는 바보 같은 이미지가 게임이나 라디오 중 터져 나오는 멘트와 드립이 생각보다 쏠쏠하다.
19,"방송을 보는 사람들은 그 어리숙함, 백치미, 의도치 않은 사망의 귀여움(?) 때문에 방송을 본다."
20,요약하면 바보. 그렇지만 때로는 과격한 액션 포함된 게임을 할 때 과 몰입하여 터프한(?) 모습을 보이기도 한다.
21,농담하는 상황이 아니면 본인을 여 캠이라고 지칭하지 않으며 게임스 트리 머로 말한다.
22,고정층인 토템들도 대다수는 똥게임 플레이나 연소리 하는 모습을 보러 오는 걸 좋아한다.
23,전업치고 돈에 집착하지 않는 편인데 [14] 그래도 도네 리액션이나 채팅 창 소통은 원활하게 하는 편이다.
24,그러나 하 술할 게임 실력으로 인해 일부러 수금 받으려고 토템들을 열받게 한다는 음모론을 제기하는 전통이 있다.
25,연두가 높은 확률로 실패할 미션에 토템들이 돈을 마구 투자하는 걸 안전자산이라고 하는데 이름 값을 해서 대부분 미션 실패로 끝난다.
26,"[15] 종합 게임 스트 리머 중에서도 고정층, 소위 충신이 많은 편에 속하는데 도 네이션도 꾸준히 하는 사람이 많으며 구독자 수도 충실하다."
27,방송을 했을 때 어떤 똥게임을 가져와도 게임 플레이 내내 시청자가 일정 선이 붕괴되는 경우가 거의 없고 유 튜브 조회 수도 구독자 수 대비 최저 조회 수가 높은 편이다.
28,남성 게임스 트리 머에 비해 여성 게임스 트리 머는 유 튜브 구독자도 적은 편이고 그에 따른 조 회수도 적은 편인데 연두는 꾸준한 방송활동과 본인 만의 스타일로 고정층을 확보한 편이라고 볼 수 있다.
29,"여담으로, 트게 더 가 연두의 팬 커뮤니티인데 일반적으로 방송에서 극 딜 하는 토템들조차 트게더에 오면 다같이 찬양하고 있는 모순적인 모습을 볼 수 있다(...). 방송 초기에는 캠 방을 하지 않고 간간히 기념일이나 뜬금 없을 때 켜곤 했었다."
30,사람들이 여성 캠 방에 부정적으로 인식하고 있어 캠을 켜는 것이 무서웠고 초기 시청자 중 일부가 진정한 게임 방송은 캠을 키지 않은 것이 좋다는 훈수 때문에 캠을 켜지 않았다.
31,그러나 트위치 넘어오면서 부터 캠 방을 제대로 시작했다.
32,"캠 방 초기에는 표정 관리를 해야 해서 말이 끊기고, 여기에 조명 때문에 눈이 아프고 화장도 답답해서 힘들었다고"
33,한다.
34,"하지만 1년을 넘게 캠 방을 하면서 표정도 자연스러워 지고, 자신을 내려놓은 모습도 보여준다."
35,[16] 캠 방을 하기 전에는 만나고 싶다는 식의 치근 덕대는 메일이 상당히 많이 왔었고 도대체 어떤 방법으로 알아냈는지는 모르겠지만 집 주소까지 알아 내서 손 편지를 보내는 스토커도 있었는데 본격적으로 캠을 켜고 방송하면서 부터 스토커도 사라지고 메일도 뚝 끊겼다고
36,한다.?
37,이러한 덕분에 외모 고민이 상당히 많으며 [17] 특히 본인은 코가 컴플렉스인지 코를 성형할까 하는 코크로를 가끔 돌린다.
38,이러한 말이 나오면 무조건 말리고 보는 토템 단이 백미다.
39,이외에도 본인 기준으로 팔뚝 살에 컴플렉스가 있는지 팔뚝 살을 없애주는 주사까지 맞았다고
40,하나 효과는 없는 듯 하다. 캠을 켠 이후로는 게임 말 고도 콘텐츠를 만들겠다고 간간이 코 스프 레를 하곤 한다.
41,트위치 시청자들의 특성상 이 악물고 안 어울린다고 장난으로 말하는데 가끔 진심을 담아서 분노하는 케이스도 있다.
42,혼모 노의 분노 [18] 물론 대부분 본판이 좋아서 어울리는데 가끔 역대 급 코 스프 레를 해 버리는 바람에 조롱거리 내지는 연민의 대상이 되어 버리기도 한다.
43,전자로 유명한 것은 의 문의 갤 주님 행과 록 맨 고인 능욕이고 후자로 유명한 것은 충격의 팅 글이다.
44,전자의 두 코 스프 레는 다들 웃고 즐기는 분위기로 장난치며 놀았지만 후자의 팅 글 코 스프 레는 연두 방의 도네 빌 런들조차 선 넘는 장난을 안치고 숙연 해져 버렸다.
45,그런 데 2020년 5월 5일 어린이날 스노우 시스터즈에 조커 변신으로 2 단 콤 보가 터져 버리는 레전드를 찍었다.
46,사실 원래는 한번 했던
47,도 날 드덕 룩이었는데 조커까지 변신해서 3 단 변신한 셈이다.
48,토템들이 스노우 브라더스 닮았다는 이야기를 하자 시작된 마 개조가 저렇게 까지 이어진 것이다.
49,[19] 방송 초기부터 2019년 3월까지 가족들과 같이 살았다 보니 의도치 않게 가족들이 방송에 참여하는 경우가 많은 편이다.
50,방송이 흥하면서 엄마를 시작으로 가족들이 방송을 물심 양면으로 도움을 주고 있다.
51,특히 수장님이라고 불리는 어머니가 연두의 매니저를 자청하며 가끔 씩 나오시거나 방송용 소품을 많이 만들어 주시는 등 [20] 여러 가지로 물심 양면으로 도와주신다.
52,"# 마리오 파티 때는 어머님이 썬 글라스+ 마스크를 쓰고 합방을 한 적이 있는데, 목소리만 나오셨지만 연두를 압살하며 재밌는 대화를 많이 만들어 내셨다."
53,그래서 연두 방송을 오래 보는 진성 팬들은 본격 어머님이 제일 재밌는 방송(...) 이라는 말에는 전부 동의하는 분위기. 폴 리브 릿 지 방송 중에는 어려움을 호소하며 아버지도 소환한 적도 있다.
54,"# 연두 아래로 두 명의 여동생이 있는데, 통 칭 둘째를 세 컨 두 라 하고 막내를 막 두라 한다."
55,"( 아예 방송 중에는 세 컨 두, 막 두라 고 가족들 끼리"
56,부르기도 한다.)
57,가끔 씩 게임 합방을 간혹 한다.
58,둘째는 게임방송을 6년이나 한 연두보다 게임을 잘해서 시청자들이 계속 용돈을 챙겨 주고 있다.
59,"이렇듯 3 녀 중 장 녀지만, 서열은 최하위이다."
60,[21] 영상 집에서 키우는 개도 아래로 본다고 한다.
61,소 닉 더 헤지 혹을 좋아한다.
62,그래서 인지 소 닉 포시 즈 PS4 판을 사기 위해 무려 5 시간이나 소모했다고
63,한다.
64,[22] 하지만 소 닉 포시즈가 워낙 망 겜인지라 게임을 다 깬 뒤 울었다.
65,"쓰레기 게임! 개 쓰레기!!! [23] 아무래도 소 닉 시리즈의 열렬한 팬이 자 기대했던 게임인지라 실망이 훨씬 더 컸던 듯 하며, 이 게임이 끝난 후엔 소 닉 매니아를 키면서 힐링하는 모습으로 마무리. 현재 후원 플랫폼으로 투배럭을 돌리는데 토크 시간에는 두 플랫폼을 사용하나 영상 도 네이션 때는 Twip으로만 받고, 투 네이션으로는 받지 않으며, 인 게임 중에는 방송 진행을 위해 어지간하면 투 네이션의 도네 음성 소리는 꺼 놓는 편. 비쥬얼 노 벨 형식으로 게임이 나오면 트윕 또한 꺼 놓는다."
66,"연두 방송 기록 2021년 2020년 2019년 2018년 플레이한 게임 메인 콘텐츠는 게임이고, 게임 시작 전후로 가벼운 라디오 방송도 한다."
67,"게임 이외에 요리를 가장한 연성 술, 풍선 아트와 같은 여러 가지 콘텐츠를 해보고 싶다고"
68,한다.
69,"과거에는 노래 방송도 했으나 최근에는 거의 안 하고, 가끔 늦은 새벽에 방종할 때 마음 내키면 방종 송을 부른다.2014"
70,년 11월부터 유 튜브에 영상을 올리기 시작했다.
71,[38] 그러나 긴 생방송 시간에 밀려 유 튜브에 올릴 영상을 편집할 노력을 들이기 힘들어 한동안 유 튜브는 거의 방치 상태였다.
72,한 때 편집자를 구해 같이 영상을 만들어서 유 튜브에 올리기도 했으나 저조한 조 회수로 인해 운영을 쉬었다가 말 다를 반복했다.
73,"그러다가 트위치 넘어오면서 방송이 커지고, 시청자들이 연두 관련 팬 영상을 제작하고 지속해서 유 튜브를 원하는 시청자가 많아 져서, 2017년 하반기부터 다시 유 튜브에 영상을 올리기 시작했다."
74,시청자들이 편집한 짧은 하이라이트 영상이나 팬 영상들 위주로 올라가고 있다.
75,"12월부터 편집자가 생겨서 자주 업 로드가 되어 조회 수도 많아 지고, 구독자도 빠르게 늘고 있다."
76,그러나 2018년 초순에 유 튜브를 안 할지도 모른다고 언급할 정도로 위기에 처했다.
77,실적이 부족한 것이 원인인 듯하다.
78,시청자들은 여러 가지 이유로 연두를 설득해서 유 튜브를 유지해 달라고 했다.
79,일단 한동안은 본인이 직접 유 튜브를 편집할 것이라고 밝혔다.
80,"2월 22일에 샌 드박스 MCN에 가입하고, 샌 드박스에 가서 교육도 받아 오는 등 유 튜브를 나름대로 잘 운영해 보려는 노력을 많이 기울였지만 바쁜 일 정과 본인의 건강 악화 등으로 업 로드를 멈춘 상태이다."
81,5월 6일부터 유 튜브를 다시 재가 동하기 시작했다.
82,"재가동 하면서 부터는 자막이 추가되거나 인트로까지 만드는 등, 영상 편집이 발전하는 모습을 보이고 있다."
83,그렇게 유 튜브 영상은 올라가다 말 다를 반복하다가 6월 달에 유 튜브 편집자를 조만간 뽑겠다고
84,"말했고, 7월에 유 튜브 편집자를 공고를 올리고 20일에 편집자를 채용했다."
85,"22일에 처음으로 편집자의 영상이 올라왔으며 이후 1년 간 활동 하다 2019년 7월 26일에 계약과 건강 상의 문제로 그만두었고, 8월 1일부터 새로운 편집자가 연 튜브를 운영하고 있다."
86,전 현직 편집자 모두 매번 높은 퀄리티의 영상으로 시청자들 로부터 호평 받고 있다.
87,"업 로드 일정은 2020년 6월 기준으로 매주 5회( 화, 수, 목, 토, 일) 이며 대개 오전 11시 전후에 업 로드 된다."
88,"이 중 일요일은 연두 톱 텐( 주간 핫 클립) 이 고정으로 올라오며, 사정에 따라서 연두 뱅크가 대신 올라오는 경우도 있다."
89,일정에 변동이 발생할 경우에는 유 튜브 커뮤니티에 안내 공지가 올라온다.
90,최근에는 편집자조차 스트 리머 따라 가는지 건강에 문제가 생겨 주 4회로 바뀌었다.
91,이에 연두는 외주로 하루 정도 올릴까 고민 중이라고 한다.
92,"연두 톱 텐: 일요일 오전 11시에 업 로드되는 주간 핫 클립 영상 코너. 일주일 동안 재밌었던 클립을 모으는 점은 다른 채널도 있지만, 여기는 순위제를 적용한 것이 특징이다."
93,[39] 돈 대신 버려 드립니다
94,": 소 닉 포시즈를 시발점으로 해서 만들어 진 컨텐츠로, 아무도 안 살 것 같은 게임 혹은 물건 등을 플레이 하거나 사용하는 리 뷰 컨텐츠이다."
95,"[40] 인트로가 쓰레기 게임, 개 쓰레기 게임을 외치는 연두의 목소리와 함께 샨 테와 해적의 저주 OST[41] 가 흘러나오는데 매우 강렬하다."
96,연두 뱅크: 연두 톱 텐 을 대신해서 가끔 특정한 주제를 가진 영상들 [42] 이 짧게 요약되어 있다.
97,영복 상회: 보통 수요일에 업 로드된다.
98,톱텐에마저 담지 못했던
99,IRL 토크 시간에 있었던 재 밌 있는 부분을 모아 놓았다.
100,영상 중간 중간 연두의 괴성과 애교(? )를 볼 수 있다.
101,"비키니 생존 프로젝트: 시작은 비키니를 입겠다는 포부에 시작했던 운동이나, 인 바디 검사 결과 너무 안 좋아서 생존으로 바뀐 프로젝트이다."
102,"매주 올라오긴 하나, 언제 끝날지 모른다."
103,2 주차 영상부터 마블을 패러디 해서 마블링이라는 인트로가 올라온다.
104,당뇨 때문에 단 음식을 못 먹기에 단 거 먹고 싶다고
105,징징대는 연두를 매번 볼 수 있다.
