,sentences
0,안녕하세요.
1,라우드 G는 게임을 소재로 한 웹드라마 / 예능 / 리얼리티 / 온라인 리그 등을 제작하는 웰 메 이드(?) 지향 채널입니다.
2,유 튜브 채널 설명 중 中SPOTV GAMES 제작 담당을 맡았던
3,舊 라우드 커뮤니케이션 즈의 공식 유 튜브가 새 단장을 하면서 출범한 게임 중심의 종합 웹 콘텐츠 채널이다.
4,"스틸에 잇이 舊 라우드 커뮤니케이션 즈를 인수하고, 사명을 라우드 커뮤니케이션 즈로 변경함에 따라 2020년 10월부터 는 새로운(?) 라우드 커뮤니케이션 즈가 채널을 관리하게 된다."
5,"방송국들의 웹 콘텐츠 시장이 확대된 오늘 날, 핵심 주제를 게임으로 하는 동시에, 대중적으로도 어필할 수 있는 콘텐츠들을 제작한다는 것이 특징. 이는 좋은 반응을 이끌어 내 어, 침체기를 겪던 게임 방송국들의 새로운 판로를 열었다고"
6,볼 수 있다.SPOTV
7,GAMES가 버라 이어 티 예능 프로그램 종합 채널인 STATV로 개편 [2] 됨에 따라 게임 관련 콘텐츠는 Loud G 중심으로 운영될 가능성이 점쳐 지고 있다.
8,실제로 Loud G의 출범이후 기존 SPOTV GAMES의 유 튜브 채널이었던 'ESportsTV' 또한 형제 채널 'LOUD CAST' 로 새 단장을 했다.
9,유 튜브 커뮤니티에 매주 방송 일정을 올리는데 추석 휴재 공지 이후 동영상은 올라오는데 공지가 없던 적도 있었다.
10,원래 라우드 G는 공 지를 페이스 북과 유 튜브 커뮤니티 양쪽에 올려 왔는데 아래의 사건 여파로 덧글이 적은 페이스 북에만 공지를 올렸기 때문이다.2020
11,"년 9월 2일, 스틸에 잇과 합병될 예정이라는 소식이 전 해져 많은 e 스포츠 팬들을 깜짝 놀래켰다."
12,# 그도 그럴 것이 2019년 대한민국 e 스포츠를 뒤흔든 그리핀 사건의 배후나 다름없는 스틸에 잇과 손을 잡는 소식에 대부분 부정적인 의견을 표하고 있으며 특히 과거 그리핀 사건을 비판했었던 김 하늘 PD의 거취를 궁금해하기도 하고 있다.
13,"결국 합병 발표문이 올라온 당일, 김 하늘 PD는 본인 유 튜브 채널 커뮤니티를 통해 사직서를 제출하게 되었다고"
14,전했다.
15,링크( 현재는 글이 수정되어 가려 짐) [3 ]9 월 17일 유 튜브 커뮤니티를 통해 라우드 커뮤니케이션 즈 대표 이재명이 직접 합병과 관련된 입장을 전했다.
16,"하지만 입장 문이 공개된 뒤 구독자들은 더 실망했다며, 합병 소식 때보다 훨씬 더 악수가 되어 가고 있다."
17,특히 e 스포츠 시장을 잘 이해하고 있는 15년 경력의 대표가 그리핀 사건에 큰 책임이 있는 스틸에 잇과 합병한다는 내용에 대부분 의아함을 느끼고 있다.
18,"입장 문 공개 후, 유 튜브 채널 구독자는 급격한 감소 추세를 보이고 있고, 왜냐 맨 종영이후 40만명 선이 붕괴되었다."
19,라우드 커뮤니케이션 즈 대표 이재명 입장 문 [ 펼치기 · 접기 ] 안녕하세요
20,라우드 커뮤니케이션 즈 대표 이재명입니다.
21,"최근 매체를 통해서도 릴리즈 되었고, 이제 많은 분들이 인지하는 당사 합병의 건에 대해서 말씀 드리고자 글을 쓰게 되었습니다.1."
22,글을 쓰기로 마음 먹은 것은 무엇보다 팬 분들에게 지금의 과정을 저희 목소리로 직접 말씀 드리는 것이 저희의 기본 자세이며 최소한의 예의 일 것 같다는 생각에서 입니다.2.
23,돌아보니 제가 e 스포츠 업을 한 것이 벌써 15년이라는 세월이 흘렀습니다.
24,"이 기간 동안 많은 변화가 있었는데, 제게 시장의 가장 큰 변화는 방송사 중심의 제작환경을 벗어난 것 아닌가 합니다."
25,이제 e 스포츠의 제작 및 송출 전반에 대한 것은 꼭 TV 향의 대형 방송사가 아니라도 가능한 시대가 되었습니다.
26,이런 환경변화는 저희에게도 많은 변화를 요구하였습니다.3.
27,"변화의 과정 속에 저희는 유저 (USER) FIRST, 재미 (FUN) FIRST, 디지털 (DIGITAL) FIRST 라는 세가지 기치 아래, 2019년 1월 LOUD G 라는 유 튜브 채널을 런 칭하였습니다."
28,"기존 방송체제에서 디지털로의 DNA 변화가 쉽지 않았지만, 선재적으로 무엇을 준비해야 하는지 치열하게 고민하였고, 내부 직원 분들의 노력이 더 해져 짧은 기간이지만 다양한 시도와 경험을 할 수 있었습니다."
29,그 결과 채널 개설 1년이라는 기간 동안 40만명이 넘는 구독자와 월간 순 이용자 (M .A .U) 가 200만명이 넘는 성과도 따라왔습니다.
30,모두 여러분의 넘치고 과분한 사랑 덕이였습니다.4.
31,"하지만 유 튜브의 수익은 아직 제작비에 비해 턱없이 부족한 게 현실이고, 저희가 추구하는 디지털 콘텐츠 산업이 성숙하기에는 아직 더 많은 투자가 수반 되어야 하는 실정입니다."
32,사랑하는 독자 여러분 이 과정에서 저희는 부득이하게 합병을 고려할 수밖에 없었습니다.
33,5. 합병의 과정에서 여러 기업을 만났습니다.
34,"저는 첫째로 우리 연출자들의 자유로운 제작 환경이 지켜 졌으면 하는 생각이 가장 컸고, 둘째로 주주의 이익 실현이 아닌, 지금 남은 저희 직원들이 대부분 고용이 보장되는 것을 원칙으로 삼았습니다."
35,좀 더 길게는 합병 이후 우리가 가고자 하는 방향성이 일치 되어야 함은 물론 일 것 입니다.
36,"어떠한 곳은 안정적 일수는 있으나 우리의 DNA을 지킬 수 없는 곳이었고, 또 어떤 곳은 핵심사업만을 양수하길 희망하여 고민이 컸던 것도 사실입니다."
37,왜 ‘ 스틸에 잇’ 이냐?
38,많은 분들의 우려 섞인 목소리를 들었습니다.
39,저는 사실 여러분의 모든 댓 글을 빠짐 없이 보는 성격입니다.
40,"충분히 독자 분들이 걱정하시는 마음을 알고 있고, 어떤 면에서 우려 하시는지 공감하고 있습니다."
41,"그럼에도 말씀 드릴 수 있는 건, 라우드 커뮤니케이션 즈의 아이덴티티를 지키며 서로가 보유한 역량이 시너지를 낼 수 있는 파트너를 치열하게 고민하고, 신중하게 결정했다는 것입니다."
42,6. 저희 구성원은 여러분과 마찬가지로 게임과 e 스포츠를 너무나 사랑합니다.
