,sentences
0,액 시스 마이 콜은 한국의 인터넷 방송인이다.
1,"마이 콜 + 아 재( 아저씨 )를 합쳐서 ' 마 재' 라고도 불리며, 현재 유 튜브 채널 명이 ' 마재 TV' 다."
2,본인은 액 시스 마이 콜이 자신의 닉네임이라고 항상 주장한다.
3,플랫폼은 트위치 및 유 튜브며 2020년 말 기준으로는 주 컨텐츠는 TFT 이다.
4,"이외의 컨텐츠는 거의 진행하지 않았지만, 최근 새로운 편집자를 구했는지 소환 사의 협곡에 복귀했고 랭크 게임 방송도 간간히 올라온다."
5,"소환 사의 협곡의 경우 주로 꽂혀 있는 한 챔피언을 몇 주 ~ 몇 년 동안 진득하게 플레이하는 경향이 있는데, 2013년 방송 초기엔 티 모로 수많은 꿀 팁을 풀어내며 티 모 학 개론으로 방송을 성공했었고, 티 모를 잘 하지 않는 지금까지 도 티 모의 아버지로 불리며 티 모와 뗄 레야 뗄 수 없는 사이이다."
6,"현재는 협곡에서 티 모를 잘 하지 않지만 TFT 3.5 시즌 때 티 모가 유닛으로 등장하자 바로 관련 덱을 만들어 올릴 만큼 지금도 애착이 있는 챔피언. 시즌 7~8 시기에는 나서 스를 많이 플레이하면서 트위치 내 나 서 스 장인의 이미지를 쌓았으며, [1] 시즌 9 이후로는 주로 우 디 르를 플레이한다."
7,[2] 처음 방송을 시작했을 때는 스타 크래프트 2가 주 컨텐츠였고 2013년부터 리그 오브 레 전 드로 전향. 2019년에 TFT가 출시된 이후로는 TFT를 중심 컨텐츠 삼아서 방송을 진행하고 있다.
8,소환 사의 협곡 방송은 부수적으로 진행하는 정도. 특히 TFT 쪽에서는 입지전적인 위치를 자랑하고 있다.
9,"현재 TFT 전문 유 튜브 채널 중 구독자 수는 독보적인 1등이며, 본인이 내놓는 덱의 영향력이 상당히 큰 편이다."
10,과장해서 말하면 액 시스 마이 콜 한 명 때문에 최상 위권을 제외한 구간의 메타가 뒤흔들릴 정도. [3 ]2017 년 ~ 2018년 사이엔 방송 외적으로 사회 이슈에도 적극적으로 자신의 의견을 개진하는 모습을 보였다.
11,"이 과정에서 언론 [4] 과 많은 대립을 했으며 트위터를 중심으로 한 페미니스트들과 대립, 토론하는 내용까지 컨텐츠화, 유 튜브에 업 로드되어 화제가 되었다."
12,"지속적인 활동 와중 모욕의 내용이 정도를 넘은 네티즌들을 대상으로는 고소를 진행했고, 이 또한 유 튜브에 업 로드했다."
13,고소의 진행 여부에 대해서는 관련 컨텐츠 업데이트가 종료된 시점에서 언급이 되고 있지 않다.
14,이러한 분쟁 속에서 별의별 일을 다 겪으면서 심적으로 지친 모양인지 2020년 기준으로는 사회 이슈 등에 대한 관심을 끊었다고
15,한다.
16,[5] 이외에도 아이 돌 마스터 시리즈의 팬이다.
17,등장인물들을 딸들이라 부를 정도... [6] 가짜 사나이 2기에 지원하고 면접 영상에도 나왔으나 불합격했다.
18,면접 내용에 대한 시청자들의 평가는 매우 좋은 편. 밀리
19,시 타 2주년 이벤트 당시에 타 카야 마 사요 코 랭킹 1위를 획득하는 방송을 했다.
20,그런 데 이를 진행하면서 일본 소 셜 게임의 랭킹 이벤트의 금기인 로테이션 [7] 을 돌려 한국과 일본을 가리지 않고 많은 비판을 받았다.
21,교대 플레이에 대한 증거 한국 프로듀서의 비판 일본 반응리그 오브 레 전 드의 자유 랭크게임에서 5명 다인 큐로 게임시간 15분 근처 마다 칼서렌을 하는 패 작행위를 반복 하였고. 그로 인해 게임 제재를 받은 적이 있다.
22,본인의 사과 방송도 올렸다가 삭제 하였다.
23,##
