,sentences
0,"아프리카 TV, 유 튜브, 트위치에서 활동하고 있는 스트 리머 및 유 튜브 크리에 이 터. 주로 트위치와 아프리카에서 방송을 하고 유 튜브도 가끔 동시 송출을 한다."
1,주로 플레이하는 게임은 오버 워 치다.
2,롤 큐와는 파트너 관계 지만 직접적인 소속은 아니다.
3,"2017년 8월 28일 이후로 아프리카 TV 활동을 가끔 씩 하게 되었으며, 트위치에서 파트너 계약을 맺고 꾸준한 방송활동 중이었다."
4,그러다가 2019년 7월 1일부터 다시 트위치에서 아프리카 TV로 넘어와 방송을 다시 시작했다.
5,"2019년 10월 30일 테스트방송 및 트위치 파트너계약 해지를 시작으로, 트위치 송출도 재개하면서 유 튜브로도 송출을 시작했다."
6,"11월 2일 오전 1시 기준으로 트위치, 유 튜브 시청자가 대부분을 차지하는 중. 트위치 파트너 계약 해지를 하지 않겠다며 현재 트위치 단독 송출 중이다."
7,보통 게임 스트리머는 뛰어난 게임 실력과 진행 솜씨로 새로운 플레이나 현란한 컨트롤로 시청자에게 볼거리와 재미를 선사하는 경우와 게임 실력이 출 중하진 않지만 뛰어난 리액션과 진행 솜씨로 시청자에게 볼거리와 재미를 선사하는 두 가지다.
8,더빙 레이디는 후자다.
9,또 한 송하나와 비슷한 목소리를 가지고 있으며 성대 모사 컨텐츠도 생산한다.
10,최근 오버 워치 커뮤니티에서도 이러한 점 덕분에 언급이 많이 되고 있다.
11,"게임 실력이 별로 다. 본인 말로도 오버 워치 실력은 딱 골드까지 라고 인증할 정도이며 디 바나 메 르시, 파라를 빼고는 골드를 벗어나기는 어려운 실력이다."
12,근데 지금은 골드는커녕 실버도 벗어나기 힘들어 하고 있다.
13,그러나 시청자 과의 소통은 게임을 진행하면서 채팅 창을 본다는 것이 쉽지 않은데 채팅 창에 있는 시청자의 물음에 친절하게 답해 주는 경우가 많으며 특유의 털털한 모습 때문에 더빙 레이디에 입문하는 경우가 많다.
14,"털털함과 매력적인 목소리, 꾸준히 이어지는 시청자들 과의 소통이 더빙 레이디의 장점 이라 볼 수 있다."
15,방송시간도 랜덤 방종시간도 랜덤이고 도가 지나치지 않으면 자유로운 편이다.
