,sentences
0,하이 에브 리 원! 너희가 안 할 짓만 골라 하는 취한 무드 등이라고 해! [6] 유 튜브와 트위치에서 활동하고 있는 종합게임 유 튜버 및 스트 리머이다.
1,보통 줄여서 취무 등이라고 부른다.2020
2,"년 2월 21일에 첫 영상을 올린 이후 동년 3월 7일에 메이 플 스토리 관련으로 올린 닉네임을 빨간 달팽이로 하고 찍은 컨셉 영상으로 구독자가 급격히 늘고, 어느 순간 픽 셀 페인터 관련 알고리즘으로 구독자가 유입되면서 급성장을 하고 있다."
3,"하루나 이틀에 한 번 씩 오후 8시에 유 튜브 업 로드를 하고 있으며, 트위치 방송은 이틀이나 사흘에 한 번 씩 오후 9시 반 -10시 사이에 한다."
4,채널 활동을 한지 68일 만에 유 튜브 크리에 이 터 소속 사인 트레져헌터에 소속된 유튜버가 되었다.
5,영상을 올리기 시작한 초기에는 목소리 없이 자막으로만 영상을 만들었다.
6,"취할 땐 취하더라도 민폐 짓은 하지 말자! [7] 이틀에 한번 꼴로 방송이 켜지지만, 매우 불규칙적이다."
7,"공식 팬 카페에 올라오는 일정을 참고하자. 유 튜브에서 소속 사가 생기면 목소리 공개를 한다는 공약을 걸었고, 실제로 소속 사가 생긴 후 약속을 지키기 위해 2020년 5월 9일 오후 9시에 트위치로 첫 정식 방송을 하였다."
8,"[8] 순한 맛 방송을 지향한다고 주장하나, 은근슬쩍 방송 도중 장난스럽게 티가 나지 않는 매운 농담 [9] 을 하기도 한다."
9,메이플을 주로 하다가 픽 셀 페인터 영상이 더 많이 올라왔다.
10,"요즘은 썰 이나 노가리 영상, 종합게임 영상이 주를 이룬다.P"
11,- 인내의 숲 도중 마을 이동 주문서를 등록해 둔 키다.
12,"이후 진행하던 중 시청자의 권유로 아무것도 모른 치 눌러 버렸고, 이 사건을 계기로 밈이 되었다."
13,"민 기 - 실수로 본명을 밝혀서, 남 민 기, 김 민 기 등등으로 놀리고 있다."
14,민 기 모드 [10] 가 주로 쓰인다.
15,누나/ 언니 - 방송에서 오빠라고 부르지 말라고
16,"한 이후로 사람들이 오빠, 오라버니, 누나, 언니 등등으로 부르다가 누나와 언니로 굳혀 졌다."
17,여자 팬들도 누나라 부른다 카더라
18,무 또 속 - ' 무드 등 또 속았다.
19,' 트수들의 몰 카 실행 이후 성공하면 채팅 창에 도배된다.
20,[11] 팬이에요!
21,- 게스트가 나올 때마다 게스트의 팬이라며 질투심을 유발시킨다.
22,아직 소개하지 않았음에도 이런 밈이 도는 경우도 있다 추한 무드 등 - 추한 짓을 했을 때 올라오는 채팅이다.
23,버그 등 - 자세한 것은 문단 참고. 메이 등 메이드 복을 입었을 때 생긴 밈. 홀 리 몰리 (Holy moly) [12]~ 다니께
24,롱? - 가끔 말끝에 쓴다.
25,히 응 - ㅎ 을 뜻한다고는 하지만 히읗이 올바른 발음이다.~
26,했습니다.
27,예에.. - 예에.. 는 거의 유행어 수준으로 난 사한다.
