,sentences
0,VR 게임 비트 세이버를 주 콘텐츠로 하는 대한민국의 유 튜 버이다.
1,비트 세이버 채널로 세계에서 가장 많은 구독자를 가진 유튜버이며 한국 버츄 얼 유 튜버 중에서도 가장 많은 구독자 수를 가지고 있다.
2,맥큐뭅의 관 짝 춤 영상이 2020년 기준으로 세계에서 가장 많이 재생된 비트 세이버 영상이라는 기록을 보유하고 있을 정도로 해외 인기도 높다.
3,간간히 트위치에서 스트리밍을 하기도 한다.
4,"타 비트 세이버 유튜버들과 다른 익스 트림한 몸동작과 그에 대비되는 여고생 스킨 이 갭 모에를 이루는 것이 특징. 거기에 다가 목소리를 전혀 내지 않기 때문에 맥큐뭅의 구독자들은 여고생 껍데기 안에는 아저씨가 있을 것이며 [5], 그 점이 매력이라고 말한다."
5,[6] [7] 비트 세이버의 랭킹 모드인 스코어 세이버에서 한국인 랭킹으로 환산할 경우 첫 페이지엔 들어가는 상당한 고인물이다.
6,평소엔 즐겜모드를 보여주지만 오버킬이나 고스트와 같은 플레이 영상에서는 그의 실력을 확인할 수 있으며 진지하게 빡겜하면 어떤 플레이가 나오는지도 확실하게 보여준다.
7,"단순히 노트를 놓치지 않는 정도가 아니라 곡에 맞게 스텝을 밟으며 그럴싸한 춤을 넣으며, 그래서 인지 유 튜브에 올리는 곡들도 안 무를 짤 수 있게 치밀하게 구성된 것으로 선정하는 편. [8] 특히 세계 1위 랭킹 찍은 카 츄 사 플레이 영상을 보면 미친 듯이 촐랑촐랑 거리는데 맞출 것은 다 맞춘다."
8,"조 혜련과 태보의 저주 플레이 영상이 한국인들에게 인기를 몰아 한국인들이 많이 유입되었으며, Caramelldansen 플레이 영상이 한 달도 안되는 기간에 175 만이라는 경이로운 조 회수를 뽑아내며 외국인들이 대거 유입되면서 해외로 진출하게 되었다."
9,그 외에도 Rasputin이나 하츠네 미쿠의 Ievan Polkka 등의 외국인들의 입맛에 맞는 곡들을 플레이하면서 두 곡 모두 50 만이 넘는 높은 조 회수를 기록하기도 하였다.
10,가장 히트를 쳤었던 조혜련과 태보의 저주 [9 ]를 플레이 할 때의 특징 만큼은 다른 곡을 플레이 할 때에도 늘 살린다.
11,대표적으로 노트가 안 나올 땐 태보 영상의 핵심인 팔을 돌리는 스피드 볼 자세를 취하는 것. [10] 전체적으로도 곡을 즐겁게 플레이하는 것을 지향한다.
12,[11] 코멘트들을 보면 영문 코멘트가 상당히 많은 것을 볼 수 있는데 반응이 대략 유 튜브가 나에게 엄청난 걸 추천해 줬어!
13,란 내용이 많다.
14,덕분에 영상 첫 업 로드 일이 1월 10일인데 3개월 만에 8만 구독자를 찍었다.
15,또한 갈수록 한국인 시청자의 비중은 줄어들어서 2019년 10월 즈음에는 8% 대로 추락 [12] 했다.
16,맥큐뭅의 영상 코멘트에 따르면 러시아 시청자가 3위로 올라왔고 한국인 시청자는 이제 그 아래라고... 가 상의 캐릭터를 사용한다는 점에서 버츄 얼 유 튜버 라 고도 볼 수 있다.
17,"맥 큐뭅 본인은 딱히 스스로를 버츄 얼 유튜버라고 정의한 적은 없지만, 버츄 얼 유튜버라고 해서 일일이 자신을 버츄 얼 유튜버라고 말해야만 인정되는 것도 아니고 버츄 얼 유튜버의 정의가 ' 실 물이 아닌 가상의 캐릭터를 내세워서 유 튜브 활동을 하는 사람' 이라는 뜻이기에 이 정의에만 해당된다면 버츄 얼 유 튜 버이다."
18,물론 맥큐뭅은 ' 버츄 얼 유 튜버' 라는 개념보다는 ' 비트 세이버 유 튜버' 라는 것에 좀 더 아이덴티티를 두고 있는 것은 사실이다.
19,"아바 타는 자체 제작한 오리지널 캐릭터가 아니라 픽 시브에서 제작한 3D 아바 타 제작 툴인 VRoid Studio 에서 기본 제공되는 샘플 아바 타를 가져 다 쓴 거라서 버츄 얼 유튜버라고 보기 어렵다는 의견도 있으나, 애초에 자체 제작된 오리지널 캐릭터를 사용해야만 버츄 얼 유튜버라고 인정된다는 기준은 없고 VRoid 에서 제공되는 아바 타는 버츄 얼 유튜버로 사용해도 된다는 라이선스가 명확하게 있으므로 저작권 문제도 없다."
20,여타 버추 얼 유튜버들에 비해 선 비교적 늦게 시작한 편인데도 구독자 수 증가 속도가 장난 아니라서 한국 버추 얼 유 튜버 구독자 수 1위의 자리에 올라와 있다.
21,"한국 버추 얼 유 튜버 중에서는 유일하게 구독자 수가 8 만이 넘어 유 튜브 등재기준을 충족해 개별 문서가 먼저 생성되었으며, 또 유일하게 10만을 넘어 실버 플레이 버튼을 유 튜브 활동 시작 후 약 4개월 만에 받았다.2019"
22,년 4월 16일에 왼쪽 어깨 쪽이 부상을 당했다는 커뮤니티 글과 영상이 올라왔다.
23,#( 현재 비공개) 부상이 나을 때 까지는 무리해서 영상을 찍지는 않을 것이고 회복의 시간을 가지고 오겠다는 말을 남겼다.2019
24,년 4월 26일에는 구독자 10만 달성과 함께 27일 본인의 생일 임을 밝히면서 10만 구독자에 대한 감사를 영상으로 표했다.
25,# 또한 채널 이름도 VR- 맥 큐 뭅에서 makeUmove으로 변경되었고 표시언어를 한국어로 선택할 경우 맥큐뭅으로 표시된다.2020
26,년 5월 20일에는 makeUmove FPP( 맥 큐뭅 1 인칭) 채널과 관련해서 새로 소식을 알렸다.
27,"첫 VR 영상이 2019년 8월에 올라왔던지라 한때 사칭 여부에 관한 논쟁이 일어나긴 했지만, 맥 큐뭅 본인이 ' 사칭이라고 신고 해 주시고 걱정해 주셔서 감사합니다."
28,근데 저에요.'# 라
29,밝히면서 논쟁은 허무하게 종결되었다.
30,"어찌 됐든 채널 이름에서도 볼 수 있듯, 1 인칭 시점의 플레이 영상이 주로 업 로드 된다."
31,"러시아 쪽으로 계속해서 발을 넓히다가, 6월 14일에 업 로드한 YOASOBI의 夜に 駆ける 가 생각지도 못한 히트 [13 ]를 치면서 일본인 시청자 비율이 크게 늘었다고"
32,한다.
33,"전체의 21%를 차지하는 정도라고. 이어서 호시 노 겐의 恋, Bad Apple!! 등의 영상을 연달아 업 로드하며 일본인들의 관심을 사고, 소련 국가를 업 로드하며 러시아 시청자들의 민심도 사는 등, 70만 유 튜버 답게 물 들어올 때 노 젓는다는 것이 무엇인지 제대로 보여주고 있다."
34,다만 조 회수의 경우엔 좀 오락 가락하다.
35,"어떤 영상은 조회 수가 십만은 물론 백만도 그냥 넘겨 버리는 반면, 어떤 영상은 많은 조 회수를 얻지 못하는 경우도 있다."
36,시청자들이 비트 세이버 영상이라고 무조건 보는 것보다는 오버킬 같이 인기 있는 스테이지나 자신이 좋아하는 음악이 나오면 본다는 느낌. 참고로 세계적으로 히트 쳤던 관 짝 춤은 무려 2000만 조 회수를 넘겼다.
37,"우선 방탄 소년단, 트와이스와 같은 K 팝 아이 돌 관련 영상들의 조회 수가 여타 영상들에 비해 부진한 편인데, 아무래도 K 팝 팬들보다는 여타 서브 컬 쳐 위주의 팬들이 많고 한국 시청자 수도 적은 게 이유일지도 모른다."
38,그래도 K 팝 아이 돌의 범위와는 약간 다른 싸이나 K/DA 는 조회 수가 괜찮게 나왔다.
39,"커버 송 유튜버들처럼 노래 자체의 난이도와 인기에 영향을 받는 경우가 많은데 제대로 실력 발휘를 하는 경우 조회 수가 상승하고, 그게 세계적으로 유명한 곡이면 제대로 폭발한다."
40,"Artemisblue의 경우처럼 비트 세이버는 눈이 즐거워질 수도 있는 게임이지만, 남자(... )로서의 자존심이 발목을 붙잡는 것인지 여전히 담백한 플레이를 고수하고 있다.2020"
41,년 7월 16일 구독자 수가 80만을 돌파했다.
42,80만 돌파 후 올라온 Build our machine 영상에서 이젠 자기 채널 구독자가 비트 세이버 유저보다 많다고
43,말하며 감사 인사를 날렸다.2020
44,년 8월 17일 새벽 관 짝 춤 영상의 조회 수가 2000 만회를 돌파하였다.
45,또 한 이 날을 기점으로 비트 세이버 채널 중에 구독자 수가 가장 많던
46,Tempex를 추월하여 세계에서 가장 큰 비트 세이버 채널이 되었고 최근 1 달 간 시청 시간 백분율을 공개했다.
47,"한국 시청자는 4.3% 로 미국, 베트남, 일본, 러시아에 이어 전체 중 5위이다."
48,"이 영상의 조 회수는 꾸준히 상승하여 9월에는 1억 유 튜버 퓨 디 파이의 비트 세이버 영상 최고 조 회수를 넘어섰고, 비트 세이버 게임 플레이로는 유 튜브에서 가장 많은 조 회수를 기록한 영상이 되었다."
49,"이 문단의 내용 중 전체 또는 일부는 버츄 얼 유 튜버/ 목록/ 한국 문서의 r58 판, 2.4번 문단에서 가져왔습니다."
50,이전 역사 보러 가기 이 문단의 내용 중 전체 또는 일부는 다른 문서에서 가져왔습니다.
