,sentences
0,아프리카 TV에서 활동하고 있는 대한민국의 인터넷 방송인이다.
1,어 때요?
2,"참 쉽- 죠~?, 어 때요?"
3,정말 쉽- 죠~? [7] 별 풍선 쏘지 마 개 XX 들아 여기서는 점프로 캔 슬 하면서 총을 쏘면서 떨어집니다.
4,"앞에 있는 모 덴 군 제거하신 다음에 점프, 폭탄. 차를 제거하죠."
5,여기서 총 쏘면서 쭉 전진하시다 보면 앞에 포병이 포를 쏴요.
6,점프로 피해 줍니다.
7,"돼 써. 오른쪽 위에 있는 포병을 칼질로 제거, 점프 폭탄 세 개. 내려와서 폭탄 하나, 점프 총, 위에 있는 포병 제거하시고 점프 폭탄으로 위에 있는, 헤비 머신 건 먹고 위쪽에 있는 헬기 제거 그다음에 점프 폭탄 세 개 타! 타! 타!. 오른쪽에 택시가 있어요."
8,택시에서 폭탄 나옵니다.
9,"폭탄 먹고 뒤쪽에 있는 포병 두 마리 제거, 그다음에 오른쪽에 있는 트럭 제거하신 다음에 여기서 점프 폭탄 세 개, 타 솨!. 이렇게 하시면 돼요"
10,어 때요?
11,"정말 쉽~ 죠? [8] 여기서는 점프 세 개 [9] 여기서 이거 피.. 못 파하시는 분들 많은데, 사륜아 아아 아아 아아 안!!!!!!!!!!!!!! 흐아! 흐아! 흐아! 짜식아! 야 이 X 자식아! 빼자 식아! 하! 야 이 반란군 노무 XX 야! 흐아↗ 아↘ 아↗ 아↘ 아. 굉장히 쉽죠?"
12,자 제 예상입니다
13,"여러분들, 잠시만요. 잘 봐! 내 예상이야!"
14,분명히! 이건 정확합니다!
15,저의 예상은 틀리지 않아요!
16,"자, 여기서 내가.. 부러쉬로 설명해 드리죠."
17,이거. 빨간색으로 해 가지고. . 내가 여기로 갑니다.
18,"그러면은 이만큼의 블럭이 분명히 아래로 떨어질 것이고, 저는 이 여기까지 내려온 블럭에서, 이렇게 이동해서 이쪽으로 점프하겠지만, 여기에 투명한 블럭 때문에↗! 저는 아래로 떨어질 것 같습니다!!!"
19,게이 새끼들. 안 봐도 뻔하다!
20,( 여기서 점프하지만 바로 위에 있던 투명 블럭에 막혀 죽음.) 해 보게 ㅅ.... ㅋㅋㅋㅋㅋㅋㅋㅋㅋ... 아↗ 하 하항↘ 허 헝↗. 아↗~ 예상치↘ 못 해 써↗~ [10 ]XX 좋군
21,욕해서 죄송합니다
22,"오지 마!!!!! 오지 마!!!!! 오지 마!!!!!!! 이 썅 노무 XX!, 개 XX! 파괴 광선!! 으아 아아 아아 아아 아!! 이 씨 부 X!! 괜찮습니다."
23,어차피 이건 0 과 1로 이루어진 데이터에 불과할 뿐. [11 ]XXX 님 별 풍선 n 개 감사합니다.
24,당신은 110n 원을 결제하셔서 저에게 70n 원을 주시고 나우 콤 [12 ]에 수수료 30n 원과 세금으로 10n 원을 내셨습니다.
25,감사합니다.
26,[13] 아 채팅 창 보면서 게임해서 그래!!! [14] 단 1원이라도 더 벌었다면 그 시점에서 당장 그만둬야 하는 게 도박 이에 요가 자아 아아 아아 아아 아아 아아 아아!!!!!!!!!! 그 냥 or 여기서는 다 외우세요.
27,아~! 쉬워 라~ 너 어어 어어 구리라며 어어 어어 어 어언 [15] 안녕하세요?
28,대정령입니다.
29,"동정 주제에 [16] 어쩌구 저쩌구 리 쇼 딸랑 or 라 쌈 마 퐈 쌈 마 [17] 인 디야 아아 아아 아아 아아 아아 아!!!!!!! [18] 야, 너 이 화면 봐 봐 니가. 이게 메탈 슬러그로 보여? 메탈 슬러그로 보여?! 이게 메탈 슬러그야 체크 슬러그야?!! 바둑 둘 거야?! 오목 두고 싶어?! 나랑?! 나 오목 준 프로야 이 XX 야! [19] 유 튜브 총 조회 수가 현 아프리카 메이저 BJ 들과 비교했을 때 비슷하거나 오히려 더 많은 편이다."
30,사건 이후로 약 5년이 지난 걸 생각하면 사건 전 그의 인기를 체감할 수 있다.
31,대정령이 유 튜브를 시작할 당시까지만 해도 유 튜브는 막 성장 중인 중소 플랫폼이였음을 생각하면 엄청난 조 회수이다.
32,"위 항목에서도 간단히 나왔듯 인 디와 갈치라는 고양이를 길렀으나 현재는 어떻게 되었는지 불명 .2011 아프리카 TV 방송대상 특별 부문 시청자의 선택 수상 2012 아프리카 TV 방송대상 게임 부문 우 수상 수상 2014 아프리카 TV BJ Festival 대표 BJ 50 수 상 2014 아프리카 TV BJ Festival Star BJ 20 수 상 2015 아프리카 TV BJ 대상 대표 BJ 50 수 상 2016 아프리카 TV BJ 대상 대표 BJ 50 수상 놀이터 클럽( 해체됨) [ 펼치기 · 접기 ]1 기 · 2 기로 복 · 사과 몽 · 뷜랑 · 캬 누 1 기 하악 · 타이거 · 대정령 · 바나나 · 렘 쨩 · 머 독( 前 모 아드) · 김형 2 기 사막 별 · 주 빙( 前 겜 추남, 삯) · 은 휴 · 조선 컴 · 하나 나 · 봉 순이 · 미 오 · 아구( 前 노 젬, 수우 운) 마 애 클럽 멤버( 해체됨) 대정령 머 독 뷜랑 쥐 2009년, 'BJ 아킬레스' 라는 이름으로 마술 방송을 시작하다가 나중에 'PD 대정령 '으로 바꿨다."
33,"이후 2012년 메탈 슬러그 2 원 코 인 공략으로 화제가 되었고 ' 아빠 직업 별 창 남', ' 매 버릭 버드 84', 'GTA 4 오 토 튠 실황' 등의 레 전드 영상들을 수없이 만들어 내며 최고의 전성기를 이루었다."
34,"조회 수가 가장 많은 영상은 The Great Sperm Race 라는 게임 실황. # 2011년에는 뷜랑, 로 복과 G 맨 게임 종 결자를 진행했고 2013년에는 머 독과 ' 잡초 먹은 돼지' 라는 클럽을 결성. 9월 20일, 쥐가 클럽에 영입되면서 클럽 명을 ' 돼 쥐 죽 '으로 변경했다."
35,"2014년 5월 7일에는 머 독과 ' 대정령과 머 독의 리 겜 저 겜' 이라는 프로그램을 헝 그리 앱 TV에서 진행하기 시작. 나중에 뷜랑이 영입되면서 프로그램 명이 ' 대정령과 머 독의 리 겜 저 겜 with 뷜랑', ' 뷜 타는 대머리' 로 바뀌었다."
36,해 당 프로그램은 2016년 1월 30일에 종영되었다.
37,자세한 내용은 뷜 타는 대머리 참조 .2014 년 10월에는 온 게임 넷( 現 OGN)에서 대도서 관과 대배 틀을 진행하게 되었다.2014
