,sentences
0,"아프리카 TV를 주 플랫폼으로 활동 중인 인터넷 방송인. 방송을 시작한 날은 2016년 4월 21일, 아이언 티 어의 여성 롤 BJ 들이 넘쳐나는 레드 오션에 뛰어들어 안정적인 시청자 수를 확보하고 있다."
1,방송 대부분 롤을 한다.
2,점검이나 랭크 게임이 막힐 때는 배 틀 그라운드를 하기도 한다.9
3,월 18일 유 튜브 활동을 시작했다.
4,최근 페이스 북 롤 커뮤니티 인 롤 큐를 통해 폭발적인 유 튜브 구독자를 달성하기도 하였다.
5,나이에 비해 어려 보이고 귀여운 외모로 시청자들에게 큰 사랑을 받고 있다.2018
6,년 6월 20일에 공개 연애로 인한 어 그로와 롤뿐만이 아닌 다양한 게임을 방송으로 보여주기에는 트위치가 적합할 것 같다는 판단으로 플랫폼을 옮겼다.2018
7,년 9월 9일에 여러 가지 이유로 플랫폼을 다시 아프리카로 옮겼다.
8,유학파 그리고 2019년 4월 4일 남 순과의 합방 술 먹 방 중 매우 귀여운 행동(?) 들을 했다.
9,(44 남구 공사건 )2020 년 10월 5일 아프리카 TV 파트너 BJ가 되었다.
10,최근 방송 시작 시간은 저녁 10시 ~12 시이다.
11,방송은 한 번 시작하면 4~5 시간은 기본으로 하는 편이다.
12,가끔가다 낮 방을 하기도 한다.
13,여담으로 2019년 2월 5일 트할과의 1대 1 협곡 데이트로 아프리카 시청자 1위를 하였다.
14,아프리카 방송 당시 채팅 창엔 BJ의 어 그로를 끌기 위해 주로 감자 드립을 많이 친다.
15,"BJ가 기분이 좋을 때는 감자 무 봤나라고 받아치지만 기분이 안 좋을 때는 "" 아 감자 드립 좀 고만 하세요~"" 라고 한다."
16,카시오페아를 플레이하게 되면 시청자들이 신발을 사라는 어 그로를 끌기도 했다.
17,"[25] 친 목, 타 스트 리머 언급 및 비교, 지나친 꿀 탱탱 언급, 어 그로, 성 드립, 패 드립, 욕설, 도배, 외모 비하는 제제 사유이지만 심하지만 않으면 두고 보는 편이다."
18,"텐션이 높을 때는 웬만한 드립을 다 받아 주지만 딱 봐도 기분이 나빠 보일 때 [26] 잘못 걸리면 욕 먹고 강 퇴당하고 블랙당할 수 있으니 눈치껏 잘 사리도록 하자. 방송 초기엔 머리띠도 하고 예쁘고 여성스러운 옷을 주로 입었으나, 현재는 박시하고 펑퍼짐한 후드 티나 럭비 선수를 연상시키는 옷을 주로 입고 방송을 한다."
19,방송 초기와 다르게 리액션 또한 상당히 발전하였다.
20,강원도로 휴가를 갔을 당시 아버지께 아프리카 방송을 하고 있다고
21,말씀 드렸다고
22,한다.
23,예상과는 다르게 잘 해보라고 말씀하셨다고
24,한다.
25,"아버님께 서는 "" 서울 사람들이 강원도 사람 신기해서 보나 보다."
26,동글동글 하게 생겨서 강원도 사람 같나
27,"보다"" 하고 말씀하셨다고"
28,한다.
29,방송을 한 번도 보시지 않으셨음에도 불구하고 완벽한 분석을 하셔서 놀라지 않을 수 없었다.
30,나중에 방송한 영상을 보여드릴 예정이라고 하는데 욕이 없는 방송 편이 있을지 의문이다.
31,"편집자 분의 편집 스킬을 믿을 수밖에. 샷 건을 하도 쳐서 키보드와 마우스, 스피커가 멀쩡하지 않다고"
32,한다.
33,홍 형의 경우 샷 건을 하도 쳐서 책상에 금이 가 있다고
34,한다.
35,샷 건을 칠 때마다 스피커와 조명이 고장난다.
36,옆집 사는 사람이 소음에 상당히 민감하기 때문에 밤에 소리 지르면서 하는 방송을 할 수 없다고 한다.
37,이사를 끝내고 친구들과 노는데 시끄럽다고
38,찾아 왔다고
39,한다.
40,술방을 셀 수도 없을 만큼 많이 하였다.
41,BJ가 술방을 하게 되면 그 다음 날 방송은 거의 휴 방이라고 봐야 된다.
42,나이가 있어 숙취 해소 능력이 떨어진 것 같다.
43,주량은 반 병~ 한 병이라고 하지만 기분이 좋으면 더 마신다고 한다.
44,강원도로 휴가를 갔을 때 4일 내내 술을 먹었다고
45,한다.
46,술버릇이 애교인 만큼 술방을 하게 되면 시청자들이 BJ의 귀여운 모습에 넋이 나가기도 한다.
47,소주 한 병을 참치 한 캔으로 까 버리는 등 안주에 크게 구애 받지 않는 식성을 보여준다.
48,친구들과 술을 먹을 땐 노래 시설이 갖추어 진 룸 식 술집을 선호하는 경향을 보인다.
49,섞어 먹는 것을 상당히 선호한다.
50,술병이 나면 다시는 술을 먹지 않겠다고
51,다짐하지만 며칠 후에 보면 또 술을 먹고 있다.
52,본인은 표준어를 사용한다고 생각하지만 말투부터 가 강원도 토박이이다.
53,강원도 태생이라서 그런지 강원도 사투리를 즐겨 사용한다.
54,어렸을 적 할머니 손에 자라서 흥분하면 할머니의 말투가 조금씩 나온다.
55,눈을 감고 들으면 정겨운 고향의 향수를 불러 일으킨다.
56,시청자들의 함경도 사투리 같다는 채팅에 발끈하기도 했다.
57,하지만 그래도 누구처럼 새 터 민이라고 놀림 받을 정도는 아니다.
58,"주로 "" 슈 발"" 이라는 욕을 주로 입에 달고 게임을 한다."
59,채팅으로 욕을 할 땐 필터를 피하기 위해 ' ^^ ㅣ 박' 이라고 한다.
60,외모가 귀여워서 욕마저 귀엽게 들린다.
61,""" 슈 발"" 외에 "" 썅 노무 쌕 꺄!"", "" 개 노무 쌕 꺄!"" 라는 욕도 들을 수 있다."
62,"가끔 어이 없는 상황에 처하게 되면 "" 아니 행 님들 이거 실화입니까?"
63,""" 라고 말한다."
64,"가끔 슈퍼 플레이를 하거나 캐리하는 게임이 있으면 "" 아주 국 국"" 이라고 말하며 자기 자신을 칭찬한다."
65,"게임을 하다가 순간적으로 폭 딜 이 들어오면 "" 먼 딜 입니"
66,"까?"" 라고 하며 놀라는 모습을 볼 수 있다."
67,"딜 이 들어올 때마다 "" 아야! 아파요~!"
68,""" 라고 말하며 챔프의 고통을 같이 느끼는 BJ의 모습을 볼 수 있다."
69,"어이 없는 실수를 해서 부끄러울 때면 "" 컹스"" 하다고 말한다."
70,스킬을 분명 맞췄다고
71,"생각했는데 맞지 않으면 "" 마 찼는데 ""를 연발한다."
72,타곤 산을 타사 곤이라고 한다.
73,칼날 부리를 부엉이라고 한다.
74,꿀 열매를 포도알이라고 한다.
75,묘목을 모묙이라고 한다.
76,전령을 애기 바론이라고 한다 인장을 애기 메자 이이라고 한다.
77,논 타겟 스킬을 피하기 위해 좌우로 왔다갔다 하는 무빙을 다이 아몬드 스텝 이라고 한다.
78,[38] 요즘은 잘 안 한다.
79,진으로 궁을 쓸 때 한 발도 못 맞히는 경우를 보고 미필 콜 이라고 한다.
80,욕설로 인한 게임 정지를 방지하기 위해 빡대가리를 박대 갈로 순화시켜 표현한다.
81,[39] 프랑스 국기를 태극기이라고 한다.
82,플레어 건을 토 미 건이라고 한다.
83,나 무서운 사람이야눼에에에에? 오 쪼라 구 팍 씨 [40] 본인의 키가 작기 때문에 키는 보지 않는다고
84,한다.
85,연상보단 연하를 좋아한다고 한다.
86,현실이 되었다.
87,"2017년 1월 1일 방송에선 첫 만남에 "" 아 슈 발!"" 이라는 감탄사가 나올 만한 신선한? 남자를 찾고 있다고"
88,한다.
89,3년 동안 연애를 못해서 연애 세포가 죽었다고
90,한다.
91,방송하는 것을 이해해 줄 수 있는 남자를 찾고 있다고
92,한다.
93,친구들에게 소개 받는 것은 꺼려 진다고 방송에서 말했다.
94,정이 많고 포근한 스타일 [47] 을 좋아한다고 방송에서 밝힌 바 있다.
95,"잘생기고 예쁘장하게 생긴 남자들은 나보다 예뻐 질까 봐 걱정돼서 별로라고 말한 바 있는데, 인 스타에 팔로 잉 한 남자 연예인들 [48] 을 보면 BJ가 허언 증이 있는 게 아닌가 싶다."
96,한 편 열혈 팬 중 한 명인 앙선 삐 딩♥ 이 BJ가 엉덩이가 처지고 눈이 처진 남자 [49 ]를 좋아한다고 허위 사실을 퍼뜨려 많은 혼란을 야기하기도 하였다.
97,눈이 쳐지고 섹시한 눈빛의 남자를 좋아한다고 한다.
98,"하지만 최근에는 류 준열, 창모를 좋아한다고 밝혔다."
99,류 준열은 부 티나게 생기고 창모는 잘생겨서 좋다고
100,했다.2
101,주년 기념 방송에서 약간 마음이 가는 남자가 있다고
102,밝힌 바 있다.
103,시청자들 사이에서는 이 남자가 누구 인지에 관해 의견이 분분하였으나 밝혀내지 못하고 임 선비는 때가 되면 밝힌다고 하였다.
104,그리고 2018년 5월 4일 밤 12시 35분 임 선비가 방송에서 술 먹고 꿀 탱탱을 찾아가 고 백해서 사귀게 되었다.
105,이후 2018년 10월 23일 GTT 와 임 선비가 헤어졌다고
106,아프리카 TV 생방송으로 발표했다.
107,서로 가 의견이 달라 GTT 는 일에 욕심이 있고 선비는 외롭고 힘든 사람인데 사랑을 줄 사람이 필요해서 합의 하에 헤어졌다고
108,한다.
109,그리고 편집자 및 시청자들 사이에 악성 우 결 병이 퍼지고 있다 약 1년이 지난 시점부터 서로 비즈니스관계가 된 것으로 보이며 같이 게임을 플레이하는 모습도 심심치 않게 볼 수 있다.
110,졸업 후 상경해서 사업을 하다가 사기를 당한 적이 있다고
111,한다.
112,"안산 소재의 공장에서 2년, 경기도 소재의 공장에서 1년 총 3년을 공장에서 근무했다고"
113,한다.
114,동생의 전역 선물을 위해 매달 15 만원씩 저축했다고
115,한다.
116,방송을 오래 보다 보면 동생을 많이 아끼는 모습을 볼 수 있다.2018
117,년 10월에 전역하고 나서 오랜만에 동생을 보았는데 남자가 되었다면서 자기 자신을 위로 해 주고 전역했었을 때는 철이 안 들었다고
118,생각했지만 지금은 확실히 멋있어 졌다고
119,방송에서 밝혔다.
120,동생에게 넓은 세상을 경험시켜 주기 위해 서울로 상경했다.
121,현재 사는 곳은 창문이 크고 외풍이 강해 보일러를 최대로 해도 집이 상당히 춥다고
122,한다.
123,"과거 살던 경기도 외곽 근처에는 식당들이 일찍 문을 닫아서 식사를 제대로 할 수 없는 등 불편한 점이 많았는데, 현재 사는 곳은 배달시킬 데가 많아서 좋다고"
124,한다.
