,sentences
0,"이만 바위 골 렘이었습니다,"
1,다들 좋은 하루되세요!
2,- 엔딩 멘트 2013년에 업 로드를 시작한 마인 크래프트 유 튜 버이자 트위치 스트 리머. 닉네임은 마비 노기에 나오는 바위 골 렘이 멋져 보여서 지었다고
3,한다.
4,마인 크래프트 닉네임은 creategolem. 왜 이런 닉네임이냐면 이미 stonegolem 이라는 닉네임이 있어 만들고 창조하는 것을 좋아하기 때문에 creategolem이라고 만들게 되었다.
5,"친구의 권유로 마인 크래프트를 시작했고, 2012년 마인 크래프트 탈출 맵인 숲 속의 골 렘 을 만들어 배포하기 시작한 후, 점점 상승세를 타다 이어서 속삭임의 마을 과 시간의 공장 을 제작 후, 유 명세를 타 유 튜브를 시작하였다."
6,첫 영상은 자신의 탈출 맵을 풀어 나가며 공략하는 영상으로 시작하여 후에 연금술 모드인 thaumcraft를 기반으로 구독자층을 다졌으며 이후에도 thaumcraft는 자주 하는 중이다.
7,디지몬에 관심이 많은지 디지몬 모드를 장기간 연재한 적도 있다.
8,장기 컨텐츠를 하기보다는 짧은 컨텐츠나 모드 소개 같은 영상을 주로 올리는 편이다.
9,모드 소개를 애니메이션 식으로 하는 경우에는 모든 배역을 직접 더빙하며 특히 할아버지 성대 모사를 자주 한다.
10,스킨으로는 마인 크래프트의 다양한 광물들이 머리에 박혀 있는 스킨을 쓴다.
11,정면은 다이 아몬드 왼쪽은 철 오른쪽은 레드 스톤 후면은 석탄 머리 위는 금 원석이 박혀 있다.
12,"처음에는 맨몸이었지만 어느 순간부터 정장을 입고 나왔으며 원시인 스킨, 광부 스킨 등등 컨텐츠에 따라 스킨이 바뀐다."
13,스킨들은 본인이 직접 만든다고 한다.
14,4시가 다이아 곡괭이로 캐면 뭐 나오냐고 묻자 랜덤이라고 답하였다.
15,영상 길이는 대체로 30분을 넘기지 않는다.
16,주로 모드 소개 영상이나 탈출 맵을 진행하는데 영상 길이가 짧은 이유는 지루함을 피하기 위해 영상을 자르는 등 편집을 하기 때문이다.
17,영상 업 로드는 약 3일에 1개 꼴로 나오는 추세이다.
18,예전에는 모드 소개 영상을 직접 제작했기 때문인지 2 주에 1번 꼴로 업 로드가 될 정도로 업 로드가 뜸했으나 모드 소개를 대폭 줄이고 탈출맵이나 컨텐츠 위주로 간 후에는 특별한 사정이 있지 않은 이상 잘 올라오고 있다.
19,마인 크래프트 영상의 오프닝은 더 지니 어스: 게임의 법칙의 오프닝을 마인 이 메이 터를 활용해 패러디한 것이다.
20,다른 오프닝으로 본인의 탈 출맵 관련 오프닝과 골 렘이 연성되는 오프닝이 있기는 하다.2017
21,"년 9월부터 인트로가 바뀌었는데, 오어 스폰 모드에 나오는 몬스터들이 바위 골 렘과 바위 골 렘 박사를 공격하는 연출로 바뀌었다."
22,실제 채널 영상 중 많은 인기를 끌고 있는 오어 스폰 모드 소개 영상에 발맞추어 새로이 제작한 것으로 보인다.
23,탈출 맵을 직접 만든 경험이 있으며 건축 실력은 꽤 좋은 편이다.
24,바위 골 렘의 탈출 맵을 플레이했던 몇몇 BJ 들을 보면 건축물 등을 보고 감탄하는 모습을 종종 볼 수 있다.
25,예전 모드 생존 기 때는 집을 건축해 그곳에서 플레이하는 경우가 많았다.2014
26,"년 8월, 구독자 10만 명 기념으로 얼굴을 공개했다.2014"
27,"년 10월, 바위 골 렘 In me 애플리케이션이 출시되었다.2015"
28,년 10월에 구독자 20만 명을 달성했다.
29,이를 기념하여 팬 카페를 개설하였다.
30,영상 촬영에는 반디 캠이나 오 캠 대신 Play Claw 5를 쓴다.2016
31,"년 8월 30일, 바위 골 렘 in me 애플리케이션이 서비스를 종료하였다.2017"
32,년 9월 28일 유 튜브에 영상을 올리며 전역을 알렸다.
33,6 번째 탈출 맵인 ' 던 전의 봉인' 을 배포했다.2018
34,년 6월 28일 7 번째 탈 출맵 ' 운석의 충돌' 을 배포 했다.
35,아쉽게도 이번이 마지막 탈출맵이 될 것이라고 한다.
36,[3 ]2019 년 11월 9일 유 튜브에서 복귀 방송을 진행하였다.2020
37,년 2월 7일 우리들의 마인 크래프트 공간의 맵 공모전에서 신작을 가지고 돌아왔다.2020
38,년 3월 10일 공식 팬 카페에서 공식적으로 디스 코드 방을 개설하였다.
39,[4] 현재는 생방송만 하고 있다.
40,숲 속의 골 렘 - 위험에 처한 골 렘의 마을을 구하기 위해 모험을 떠나는 주인공의 이야기이다.
41,다운로드 리 마스터 속 삭 임의 마을 - 전염병이 돈 마을을 구하기 위해 황금 사과를 찾아 떠난 주인공의 이야기이다.
42,다운로드 리 마스터 시간의 공장 - 멈춰 버린 시간을 움직이기 위해 시간의 공장을 탐험하는 주인공의 이야기이다.
43,다운로드 리 마스터 거울의 연못 - 연못 때문에 멸망한 성을 탐험하는 주인공의 이야기이다.
44,다운로드 리 마스터 거상의 그림자 - 여러 거대한 거상들을 쓰러뜨리는 주인공의 이야기이다.
45,다운로드 던 전의 봉인 - 글을 읽을 수 없는 주인공이 던 전을 탐험하는 이야기이다.
46,다운로드 운석의 충돌 - 운석의 충돌을 막기 위해 4개의 원소를 모으는 주인공의 이야기이다.
47,다운로드 보석의 파편 - 다른 세계를 여행하며 붉은 돌을 찾는 주인공의 이야기이다.
48,그런데 그 다른 세계들이 심상치 않다.
49,"[5] 다운로드 [6 ]2019 년 11월 26일 기준으로 바위 골 렘은 고정 멤버가 없지만, 추후 고정 멤버 심사를 통해 고정 멤버를 뽑는다고"
50,알렸다.
51,하지만 여러 멤버 모집을 한 결과 다시 혼자 방송한다고 했다.
52,첫째로 꼽을 수 있는 것은 영상 편집 능력 및 애니메이션 구성 능력이다.
53,"최근 진행한 모드 소개 영상 같은 것 들은 직접 스토리를 구상 하여 모드를 효과적으로 소개하고, 커스텀 NPC 모드를 이용해 영상의 흥미를 높이는 편이다."
54,"고정 멤버들이 도와줄 때도 있으며, 그래서 더 질 좋은 영상들이 만들어 지는 편이다."
55,"영상 편집을 통해 지루한 부분들은 편집하여 영상을 지루하지 않게 하며, 모드 소개 영상에는 CG 또한 포함되어 있다."
56,"영상 편집에 주로 사용하는 프로그램들은 베가스와 포토 샵. 위에 서술하였듯이 욕설을 사용하지 않는 것도 장점. 덕분에 주변에 눈치가 보이지 않고, 편하게 볼 수 있다."
57,무엇보다 마인 크래프트 건축에 일가견이 있다.
58,"5개의 탈출 맵을 제작하며 스토리 못지않게 각광 받은 것이 건축 실력이며, 중세 시대 건물부터 현대까지 다양한 건축을 잘 활용한다."
59,보통 모드 소개 영상이나 컨텐츠에 필요한 맵들은 직접 만드는 편. 그래서 더 컨텐츠에 알맞는 영상을 만들어 낸다.
60,다른 사람의 도움을 받아 컨텐츠를 진행하는 타 유 투 버나 BJ 와의 차별 점을 둘 수 있는 것 들 중 하나가 바로 이 것. 팬 관리에도 관심을 두는 편이다.
61,"유 튜브 댓 글에도 간간이 답 글을 달아 주는 편이고, 팬 카페에서도 게시물에 댓 글을 수시로 달아 준다."
62,팬들과 서로 소통하며 나아가려는 모습을 보여주고 있다.
63,군대에 가도 종종 싸지 방에서 카페에 댓 글을 달아 주는 모습을 보인다.
64,다른 사람이나 유튜버의 컨텐츠들을 그대로 베껴 오거나 다른 사람이 준 컨텐츠를 그대로 이용하지 않고 본인이 직접 창작해 내거나 자신의 방식대로 만들어 컨텐츠를 진행하는 모습을 보인다.
65,"단순히 팬들이 만들어 준 컨텐츠를 플레이만 하는 것이 아닌, 유 튜버 본인이 직접 컨텐츠를 만들어 플레이하는 것은 다른 규모가 큰 유 튜버와는 차별되는 점이다."
66,"위에서 서술했다시피 맵도 직접 만드는 편이고, 컨텐츠도 유리 다리 공성전, 랜덤 연금술 배 틀과 같이 직접 만들어서 새로 움과 참신함을 준다."
67,본인도 이미 누가 한 것을 플레이하는 건 꺼려 진다고 밝혔다.
68,초창기에 고정 멤버가 자주 바뀌었다.
69,"시간 관계나 멤버들 과의 마찰로 많이 교체되었는데, 그 기간이 짧아 어떤 멤버는 영상 1~2 편만 나오는 멤버도 있다."
70,편집이 심하다.
71,최근 들어 영상이 툭툭 끊어지듯 편집되거나 과도한 스킵으로 영상이 매우 짧아졌다.
72,"물론 간단하게 볼 수 있다는 장점도 있지만, 몰입이 시작되려고 하면 끝날 정도로 짧다.2015"
73,년 초반에는 영상 업 로드가 많이 늦어졌다.
74,"개인 사정이 있었지만, 거의 1~2 주에 1개 꼴로 업 로드되어 업 로드가 매우 뜸 해졌다."
75,장기 컨텐츠가 별로 없다.
76,"2015년 10월, 혹한의 추위 모드 생존 기를 시작했긴 했으나, 거의 단기 컨텐츠나 탈 출맵 영상으로 이루어져 있고, 장기적으로 진행하는 컨텐츠의 양이 적다."
77,"초창기에 모드 생존 기를 올리긴 했으나, 거의 모든 장기 컨텐츠가 모드 생존 기에만 치우 쳐져 있어, 컨텐츠의 다양성이 떨어진다는 단점이 있다."
78,교류도 많지 않아 보여 장기 컨텐츠를 어떻게 이끌어 갈지도 하나의 문제점이다.
79,"탈 출맵 플레이, 서버 탐방 같은 단기 컨텐츠나 시참은 기재하지 않음. 픽스 아 크트 위치에서 방송할 적엔 픽스 아크 시참을 자주 했다."
80,마인 크래프트 시청자 참여 생 야생 편 마인 크래프트 시청자 참여의 첫 단락이다.
81,"스폰 지역에 바위 골 렘 마을을 지었으며, 시청자들도 마을에 살면서 집도 짓고 나름 활발하게 마을을 발전시켰다."
82,"초중반엔 바위 골 렘이 서버를 열어 컨텐츠를 진행했으나, 원 컴이 여서 서버를 열면서 방송을 하기는 무리라고 생각했는지, 컨텐츠 후반에 다른 사람에게 서버를 맡겨 컨텐츠를 진행하기 시작했다."
83,그런 데 첫날부터 서버 오픈 20 분만에 서버가 터져 버렸다.
84,"마인 크래프트 바위 골 렘과 20 인의 연금 술사 시청자가 화이트 리스트를 신청하여 참가하는 모드 시청자 참여이며, 시청자 참여 라 기엔 애매한 시청자 참여이다."
85,"화이트 리스트 인원은 20명이었으며, 서버를 열기 전 화이트 리스트를 모집하였고, 현재는 화이트 리스트를 더 이상 모집하지 않으니 카페에 화이트 리스트 지원 글을 올려도 화이트 리스트에 들어갈 수 없으니 주의하자. 또 한 서버 주소를 알아도 화이트 리스트가 아닌 사람은 못 들어가니 괜히 접속 시도해서 서버 과부하 내지 말자. 서버 스폰 지점에 있는 기본 건축물은 백의 탑, 기숙사이며, 마을도 있다."
86,각 사람들은 백의 탑 기숙사에 있는 방에 선착순으로 입주한다.
87,"그 옆에 있는 백의 탑의 1 층은 공 용 창고, 공용 화로가 있다."
88,그 위층은 바위 골 렘을 포함한 사람들이 입주해 있다.
89,"그리고 2~3 일차 쯤에 백의 탑, 기숙사에 인퓨전을 설치하기도 하였다."
