,sentences
0,"리그 오브 레 전 드의 챔피언 파이크를 주로 플레이하는 챌린저 출신 유 튜버 겸 스트 리머. 헤 이스트 장인 파 이크 밍밍 단 장, 시간의 숲, 새루, 이야"
1,"공, 서포터 초아, 오한 등 과 같은 밍밍 단 소속. 직접 본인의 입으로 밝힌 개인정보는 없다."
2,[5] [6] 하지만 페이스 북을 통해 본명과 방송 중 동료 유 튜버 새 루와 동갑이라는 점을 알 수 있다.
3,[7] 프로 관전 러 P.S 와 함께 미드 파이크를 유행시킨 장본인. 그랜드 마스터 ~ 챌린저 사이에서 활동하는 파 이크 유저이다.
4,"모 스트 1은 파이크이며 주 라인은 미드, 서 폿이고, 가끔 탑에도 올라간다."
5,[8] 파이 크가 밴이 될 경우 그 패치 기간 중의 자신이 재밌고 좋아하는 챔프를 골라서 한다.
6,[9] 그리고 실제로 승률도 상당히 잘 나오는 편이다.
7,밴이 되지 않더라도 본인이 하고 싶은 걸 생방송에서 자주 선보인다.
8,"오른 장인 개리 형 의 유 튜브 컨텐츠 ' 장인을 만나다' 에 서 폿, 미드, 격 전 등 다수 출연하였다."
9,"파 이크 특유의 기동성을 살려서 cs 손실을 최소화 사실 먹다가 맞기 싫어서 하고, 궁 수당으로 빠른 스노우 볼을 굴려서 게임을 이기는 것이 그의 플레이 스타일. 돈으로 사람을 팬다 주로 유저들이 자주가는 서 폿 라인과는 달리, 미드 라인을 더 많이 한다."
10,"초반에는 엎드려 절하며 미니 언을 허락 받고 먹고, 지렁이도 밟으면 꿈틀 하듯 가끔 그 랩 각이 나오면 끌어서 평 타 E를 이용해 감전을 터뜨리고 도망간다."
11,[10] 광 역 스킬이 없는 파 이크 스킬 특성 때문인지 머 포병 [11] 중환자이다.
12,"그 스그트 [12] 이후, 정글에서 싸움이 나거나 다른 라인에서 처형 각이 보이면 눈이 돌아가서 빠르게 도우러 간다.U.R.F"
13,모드에서 포식자 룬을 이용한 하이퍼 파이크랑 극 치명타 파 이크 와 같은 즐 겜 플레이도 선보인 바 있다.
14,대격변 패치 이후 감전을 조금 더 선호하는 듯 하다. 라인 클리어가 안 좋아졌지만 자객의 발톱을 활용해 더 공격적인 플레이가 가능 해져 미드파이크를 조금 더 하는 듯. 목소리 만큼이나 굉장히 차분하게 플레이 하는 모습이 자주 보인다.
15,허나 가끔 고삐가 풀리면 소리를 지르거나 책상을 세게 내리치는 모습도 자주 보인다.
16,참아 왼손 영상 관람 포인트를 꼽자면 첫 번째로 신들린 그 랩을 꼽을 수 있다.
17,가끔 보여주는 예측 그 랩이나 그 랩으로 상대를 아군에게서 떼어 내 어 살리는 플레이는 그가 왜 상위 티어에서 서식하는지 알려준다.
18,두 번째는 처형 그 자체이다.
19,"상대방의 점멸이나 다른 이동기를 예측하는 궁을 떠나서 플을 써도, 안 써도 맞는 위치에 처형을 함으로써 파 이크 그 자체가 된 것 같은 플레이를 한다."
20,"예를 들면 W를 썼을 때 근처에 적이 있으면 느낌표가 뜨는 것을 활용해 부쉬에 궁을 찍어 킬 을 딴다 던가, 연속 궁으로 다중 킬 을 잡아낸다거나 가끔 보여주는 그의 인간미는 영상 시청자로 하여금 작은 웃음을 지어내게 하기도 한다."
21,투 머 치 느글 투 머 치인 포메이션 밍밍 단 멤버 외에도 본인의 개인적인 지인들 과도 듀오를 몇 차례 하는 모습이 보인다.
22,[22] 미드 칼날 비 파이크가 유행하고 압도 적인 승률과 밴률을 자랑할 때 정말 많이 슬펐다고
23,한다.
24,[23] 어떤 스킨이든 크로마가 있다면 무조건 장미 석 크로마를 착용한다.
25,[24] 파이 크가 나오기 이전에는 모든 챔프를 골고루 썼다고
26,한다.
27,게임 중 시청자들의 질문이 굉장히 많고 본인도 불편 해한다.
28,[25] 세트가 출시된 이후로는 세트 영상이 자주 올라오고 있다.
29,[26] 머리는 아직 풍성하다.
30,캐릭터가 파이크처럼 흑인이다.
31,그 이유는 사실 독특한 것을 좋아하기 때문이라고 하며 최근에는 미 니맵 가리개처럼 점점 하얀 얼굴색으로 변화 중이다.
32,현재는 1 처형 900 골드 챌 찍기나 캐인과 언랭에서 챌 찍기를 하고 있다.
33,하지만 2020년 9월 22일 부로 하지 않고 있다.
34,히든 명령어가 있는데 ! 저녁 을 치면 오늘 먹은 저녁이 나온다.
35,옛날에 공략 글이 활성화 되 있던 롤 인 벤 에서 모든 챔 의 공략이나 카운터 등을 직접 보며 거의 모든 챔을 사용해 롤을 잘하게 되었다고
36,한다.
37,좋아하는 음식은 김치찌개라고 한다.
38,"어렸을 때의 꿈은 약사라고 하며, 대학교는 서울에 있는 대학에 다니고 컴퓨터 공학과라고 한다."
39,"헤이 스트라는 이름은 과거 유 튜브 채널 이름을 지을 때 친구 1~2 명과 같이 고민하다가 평소 닉네임에 ㅎ, ㅅ, ㅌ 가 많이 들어가고 이 초성으로 계속 문자를 조합해 간 결과가 헤이 스트라고 한다."
40,헤이 스트라는 이름을 지은 후 구 글에 헤 이스트를 검색하면 메이 플 헤 이스트가 나오는 것을 보고 언젠가 인지도를 쌓아 구 글에 검색하면 본인이 나오면 좋겠다고
41,생각했다.
42,현재는 검색하면 본인이 많이 나와 만족한다고 한다.
43,팬 애칭은 시청자 투표를 통해 다 맘 다생으로 정해졌다.
44,[27] [28] 첫 캠을 킨 날에 시청자가 30분도 안되어서 4000명을 넘겼다!
