,sentences
0,안녕 하세요 소인 동동이옵니다~
1,오! 호이! 안녕하세요
2,오늘 준비한 게임은 요! 동동 TV는 다양한 모바일 게임을 플레이하는 유 튜 버이다.
3,유 튜브에서 주로 활동하며 게임 방송을 주로 한다.
4,언제나 존댓말을 사용한다.
5,특히 시청자 뿐만 아니라 영상 내에서 가끔 언급하는 실제사람들까지 극존칭으로 부르면서 언급할 정도이다.
6,"여러 가지 모바일 게임 플레이 리뷰, 떡밥 찾기, 꿀 팁 공략, 정보 영상을 만들거나 신규 캐릭터 상자 깡 뽑기 컨텐츠를 하고 있다."
7,"영상 주기는 매일 매일 업 로드 하고 있으며 평일 오후 4시, 주말 오전 9시에 영상을 업 로드 한다 방학 시즌이 되면 요일 상관 없이 오전 9시에 영상을 올린다 방송은 2017년 초에 시작한 걸로 보인다 요즘에 인사말이 점점 짧아지고 있다 주력 컨텐츠 게임은 볼드체 처리. 주로 업 로드 하는 게임을 자주 한다고 한다."
8,어 몽 어스 브롤 스타 즈 마인 크래프트 무한의 계단 신비아파트 고스트 워 카트 라이더 러 쉬 플러스 거지 키우기 3 원시인 형님들 키 우기 문명 신비아파트: 고스트 헌 터 궁수 강림: 6개의 예언 신비아파트: 소 울 파이터 즈 신비아파트 공식 앱 냥 코대전 쟁로 블 록스 위의 게임들 외에도 다양한 게임을 플레이 하였다.
9,예전에는 로 블 록스 같은 게임을 하거나 표창 키우기 같은 키 우기 게임을 많이 했다.
10,채널에 재생 목록을 눌러 보면 게임 컨텐츠별 재생 목록이 정리되어 있으니 참고 하자. 용 키우 기세 이브 더 걸 땅 파기 지구를 뚫어 라 표창 키 우 기와 블 맨파인 딩 블루 브레인 아웃 브레인 테스트 거지 키우기 무한성 장판 아기 키우 기총 키 우기 김 덕 봉 키우기 2019년 3월 5일에 올린 페이트 콜라보 뽑기 영 상에 배열을 썼다고
11,의혹을 제기하는 글이 냥 코 마이너 갤러리에 올라왔다.
12,그러나 이후 냥 코 마이너 갤러리 글 작성자가 글을 삭제하였다.
13,글의 요지는 동동은 일부러 울 슈 레 확정을 이용해서 배열을 이용해 울슈레의 위치를 보고 뽑는 영상을 올렸다는 것이다.
14,레어 티켓을 뽑고 나서 확정 뽑기를 돌렸다는 것은 일부분의 냥 코 유저들 사이에서는 배열을 보고 확정 뽑기에서 나오는 울슈레를 레어 티켓을 통해 바꿨다는 것으로 의심 받기 쉽기 때문이다.
15,냥 코 마이너 갤러리의 유저들은 동동에게 해명을 요구했다.
16,결국 이에 대한 해명을 내놓았는데 해명의 내용은 흔히 다른 스트 리머들도 많이 진행하는 제물 뽑기를 통해서 좋은 것을 뽑아 보려고 했을 뿐이며 앞으로 절대로 레어 티켓을 뽑은 후 울 슈 레 확정 뽑기를 하는 일은 없게 하겠다고
17,말했다.
18,"그리고 에 바 콜라보 떄 신지가 나왔을 때나 다른 갓 즈, 울트라 소 울 즈 뽑기가 망했을 때는 아무 말을 안하고 이번에 세이버가 나오니 이것을 빌미 삼아 지나치게 자신을 비난하고 있다고"
19,반 박하였다.
20,해 당 해명 영 상의 링크. 또 한 배열과 버그 판을 싸잡아 말해서 동동의 지지층들이 버그 판 썼다고
21,안 티 팬들이 오해했다 라는 식으로 생각하게 만드는 영상 내용으로 여전히 비판 받았다.
22,이에 대해서도 동동 본인이 댓 글 란에 해명을 올렸다.
23,의문점을 제기하는 댓 글이 내려가고 삭제되는 등 댓 글 창을 통제하고 있단 정황이 의심돼서 냥 코 마이너 갤러리 유저들의 화는 쉽게 가라앉지 않았다.
24,하지만 댓 글은 유 튜브 사용자들의 여러 번의 많은 신고로 내려갈 수도 있으니 중립적으로 생각해야 한다.2019
25,년 11월에 있었던
26,스트리트 파이터 콜라보 뽑기가 완전히 망하면서 이런 의심은 사그라든 걸로 보인다.
27,이 문서는 이 문단은 토론을 통해 냥 코 제목 썸 네 일 어 그로 관련 문단을 존치하기( 으) 로 합의되었습니다.
28,합의된 부분을 토론 없이 수정할 시 제재될 수 있습니다.
29,아래 토론들 로 합의된 편집방침이 적용됩니다.
30,합의된 부분을 토론 없이 수정할 시 제재될 수 있습니다.
31,[ 내용 펼치기 · 접기 ] 토론 - 냥 코 제목 썸 네 일 어 그로 관련 문단을 존치 하기토론 - 합의사항 2 토론 - 합의사항 3 토론 - 합의사항 4 토론 - 합의사항 5 토론 - 합의사항 6 토론 - 합의사항 7 토론 - 합의사항 8 토론 - 합의사항 9 토론 - 합의사항 10 토론 - 합의사항 11 토론 - 합의사항 12 토론 - 합의사항 13 토론 - 합의사항 14 토론 - 합의사항 15 토론 - 합의사항 16 토론 - 합의사항 17 토론 - 합의사항 18 토론 - 합의사항 19 토론 - 합의사항 20 토론 - 합의사항 21 토론 - 합의사항 22 토론 - 합의사항 23 토론 - 합의사항 24 토론 - 합의사항 25 토론 - 합의사항 26 토론 - 합의사항 27 토론 - 합의사항 28 토론 - 합의사항 29 토론 - 합의사항 30 토론 - 합의사항 31 토론 - 합의사항 32 토론 - 합의사항 33 토론 - 합의사항 34 토론 - 합의사항 35 토론 - 합의사항 36 토론 - 합의사항 37 토론 - 합의사항 38 토론 - 합의사항 39 토론 - 합의사항 40 토론 - 합의사항 41 토론 - 합의사항 42 토론 - 합의사항 43 토론 - 합의사항 44 토론 - 합의사항 45 토론 - 합의사항 46 토론 - 합의사항 47 토론 - 합의사항 48 토론 - 합의사항 49 토론 - 합의사항 50#1 가장 시조 격인 어 그로 영상이고 냥 코 유저들이 가장 많이 알고 있는 어 그로 썸 네 일과 제목. 업데이트를 통해 파동을 쏘는 각 무가 나왔다는 듯이 써 놨지만 실상은 그냥 본능 업데이트에 대한 본인의 상상이다.
32,실상 각 무가 파동을 쏘면 밸런스 붕괴인 건 둘째치고 본인이 생각한 것을 사실인 것처럼 유 튜브 제목과 썸 네 일에 써 놓은 것은 문제가 된다.
33,#2 각 무 버그를 썼다는 썸 네 일과 제목으로 어 그로를 끌었다.
34,실제로는 우주 편 우 그 하문에서 울트라 메에 에에 의 배리어를 이용해서 각 무를 모아 가는 방식이다.
35,#3 무 지개 개다래를 높은 확률로 얻는 방법이라고 어 그로를 끌었다.
36,실제로는 냥 코 인 게임에서 개다래 챌린지 마지막 스테이지의 기적의 무지개 개다래 열매 스테이지의 무지개 개다래 드랍률은 50% ~70% 이다.
37,#4 리 스타트 팩에 우주 편의 다음 메인 스테이지 떡밥이 있다는 식으로 제목을 썼지만 실상은 거의 드립 수준으로 가볍게 다루고 넘어가 버렸다.
