,sentences
0,"트위치에서 Just chatting 방송과 배틀 그라운드, 리그 오브 레 전드, 오버 워치, 마인 크래프트, 스팀 게임, 인 디 게임 등의 각종 게임을 플레이하는 종합 게임 스트 리머이다."
1,"방송 초반에는 오버 워치, 배 틀 그라운드가 주력으로 종 종 리그 오브 레 전드 방송을 하였으며, 레인 보우 식 스나 콜 오브 듀티와 같은 FPS 류를 플레이한 시기도 있었으나 2019년 이후로는 오버워치를 제외한 기타 롤, 배 그 등의 방송은 거의 사라졌다."
2,"2018년 후반에 종합 게임 스트리머를 표방한 이후, 매 방송마다 1~2 종의 새로운 게임을 플레이하는 패턴으로 정착되었다."
3,"간혹 몇 주에 걸쳐 한 게임을 끈기 있게 방송하는 경우가 없는 것은 아니지만, 일반적으로 말하는 AAA 급 게임을 꾸준히 플레이하는 예는 거의 없다."
4,"특히 오랜 기간 성장이 필요한 롤 플 레 잉, 높은 숙련도가 필요한 격투게임이나 액션 게임류는 기피하는 편이다."
5,"본인이 직접 밝힌 바에 의하면 이것은 무엇보다 본인이 재미있는 게임을 우선하기 때문으로, 스토리 몰입 중 채팅이나 도 네이션으로 스포일러당하거나 훈수가 이어지는 상황을 극단적으로 싫어한다."
6,"스트 리머 자신의 텐션을 유지하기 위해 가능한 한 사전 학습 없이 게임을 접해 하루 집중해서 플레이하고, 일단 플레이 시작하면 최대한 엔딩을 보는 것을 목표로 한다."
7,"비단 방송용 게임 선택에 있어서 만이 아니라, 원래 게임 취향이 인 디지향적이다."
8,"게임 경력이 짧지 않음에도 불구하고, 마이너한 플래시 게임이나 국내 소규모 온라인 게임 쪽으로는 해박한 반면 소위 겜덕들의 바이블이라 할 만한 대작 시리즈 물에 대해서는 경험이 없다."
9,콘솔 게임의 경험도 전무 하다 시 피하다.
10,보통 게임 스트 리머들이 고전 명작게임으로 차곡차곡 다져 진 진성 겜 덕인 예가 많은 점을 생각할 때 대단히 특이한 면이다.
11,"이런 면은 한편으론 트수들이 ' 게임을 가르쳐 주는' 재미를 유발하기도 해서 반드시 방송상 단점이라고 할 문제만은 아니겠지만, 겜 덕들 특유의 코드를 잘 공감하기 어려운 것은 분명 아쉬운 점이다."
12,하지만 점차 AAA 급 게임에도 도전하려는 시도를 보이고 있어 향후에는 상황이 반전될 여지도 있다.
13,"이런 이유로 캐주얼 게임류, 짧은 어드벤처나 퍼즐게임과 같은 스팀게임이나 모바일 게임을 플레이하게 되는 경우가 많은데, 덕분에 의도하든 의도하지 않든 소위 똥겜을 들고 오는 경우가 잦다."
14,다만 특유의 진행 센스로 똥겜에서도 의외의 재미 요소를 뽑아내는 예가 대부분이라 은근히 똥겜을 기다리는 청자도 많다.
15,"기존 유 튜브 등 매체를 통해서는 게임 못하는 이미지로 알려 져 있지만 케이스 바이 케이스. 상술한 바와 같이 기존 유명 게임류에 대한 사전지식이 부족하고 장시간 연습을 반복한 경험이 많지 않을 뿐, 일단 공략을 시도하면 빠르게 룰을 이해하고 적응하는 모습을 보인다."
16,"잘 알려 지지 않은 게임, 퍼즐게임류에 특히 능숙한 편. 순발력도 나쁘지 않아 종종 의외의 명장면을 연출한다."
17,"반면 장시간 숙련이 필요한 ' 고인물' 게임류에는 상대적으로 서툴어서, 초반 멘 붕 후 게임에 흥미를 잃는 패턴도 종종 나타난다."
18,즉 피지 컬 보다는 멘 탈 면에 약점이 있다고
19,"해야 할지도. [32] 다만 원체 좁은 시야가 흥분할 수록 더 좁아 져, 맵이 넓은 게임에 약한 면은 어떻게 해결할 방법이 없을 것 같다... 즉 컨트롤이 화려하거나 최신 게임의 공략 법을 개척하는 등의 게임 실력으로 승부하는 타입의 스트리머는 아니라고 할 수 있다."
20,하지만 상술한 마 뫄 본인의 독특한 캐릭터와 텐션을 통해 게임 플레이 내에서 엔터테인먼트 요소를 뽑아 내는 데에는 탁월한 센스가 있다.
