,sentences
0,"Lee ""Rush"" Yoon-jae 前 Echo Fox의 정 글러. 프로 데뷔는 북미의 프로 게임 단이였던"
1,Team Impulse에서 했으며 이후 Cloud 9와 kt 롤스터에서 활약했다.
2,프로 데뷔 전에는 한국 천상계 솔 랭 최상위권으로 유명했으며 당시 한국을 떠나기 직전에도 당시 랭크 최상 위권에서 많이 놀고 있던
3,SKT T1 소속 선수들과 경쟁하는 와중에 챌린저 1위를 달성하고 2 주간 유지했다.
4,명지 외고 [4]- 고려대 학력의 엘리트로도 유명하다.
5,롤 때문에 입시를 실패했다가 롤을 끊고 독하게 재수를 했고 대학 입학하자 마자 다시 롤에 매진해서 솔 랭 1위를 찍었다는 카더라
6,가 있다 [5] 위에 언급되었지만 고학력자의 위엄인 것인지 영어가 된다.
7,TIP 시절 임팩트는 자기는 영어 실력이 조금 부족한 데 정 글러 인 러 쉬가 잘해서 그나마 편하다고
8,"말했고, 러 쉬 본인은 3 주차에 레인 오버를 보았는지 승자 인터뷰를 영어로 진행. 레인 오버 만큼 발음이 좋진 않았지만 학 구파? [6] 준수한 영어 실력으로 현지에서도 'EU 애들보다 잘하네"
9,' 등 긍정적 반응을 이끌어냈다.
10,레인 오버나 호로를 보면 알지만 중국으로 간 S 급 정글 러들이나 현 롤 챔스 정글 러 들보다
11,실력이 약간 딸려도 영어가 되는 한국인 정글 러는 가치가 굉장히 높기 때문에 러 쉬가 대회에 웬만큼만 적응해 주면 주가가 높긴 높을 듯하다.
12,저 둘도 솔 랭은 무지하게 잘했다는 것은 넘어가자 Jesus! Rush! Could you ever miss a skillshot?! 경기 외고 → 고려대로 이어지는 화려한 학력 스펙 때문에 두뇌 파 정글 러라는 인식이 있었지만 실제 플레이 스타일로써는 클 템에 가깝긴보단 오히려 초 공격적인 스타일을 가진 정글 러다.
13,실제로 돌 던 루머 중에는 러 쉬가 SKT T1 연습생 루머가 돌던 시즌 4 당시 다른 국내 프로 정글 러들이 리 신으로 스크림에서 퍼 블을 먹으면 시야 석을 먼저 뽑아 시야 장악에 집중할 때 롱소드를 가서 김정 균 코치를 당황시켰다는 소문이 있고 북미에서는 TIP 시절 서포터였던 아드리 안의 시야 장악이 다른 북미서 폿에 비해 뛰어난 이유가 러 쉬가 시야 장악을 안해서 그 반대급부로 시야 장악이 향상된 거 아니냐라는 소리까지 있을 정도다.
14,어쨌든 조 이럭 방송에 출연했을 때도 무리할 정도로 교전 유도를 하고 압도적인 손가락으로 이득을 보는 모습을 보여주었다.
15,"이 스타일 때문인지 북미 LCS 초기에 기복이 엄청 심했고 [7] 물론 적응이 된 이후론 미 드원 딜 이 빵 딜 이 되었는데 그걸 뒤엎는 모습을 보여준 적도 있는 만큼 저격 밴을 많이 맞는 편 스피릿이 시즌 5 롤 드컵 객원 해설 당시 클리어 러브, 카카오, 체 이서, 그리고 스피릿 자신과 함께 월드 클래스 정 글러 탑 5로 뽑았던 선수다."
16,"근데 앞의 네 명은 시즌 6 롤 드컵 시점에서 차례대로 가을 남자, 2.5 부리 거, 벤치 멤버, 영고라인이 됐고 러 쉬도 라이 엇의 통수로 새됐다."
17,영어가 늘자 북미 솔로 큐 인신공격 수준도 그 막장이라는 한국 솔로 큐와 생각만큼 큰 차이가 없다는 것을 깨닫게 되었다고
18,한다.
19,영어 못하는 러보 의문의 1패 은퇴한 러 쉬라고 드립 치면 굉장히 예민하게 반응한다.
20,그래서 복귀했다 그의 스트리밍 방의 이름은 'Monkey Cage' 이다.
21,우우 끼 끼 요즈음 롤 드컵 시즌에는 주요 팀의 경기결과를 보고 분석을 해 주는데 역시 경기 흐름을 보는 눈은 날카롭다.
22,"실제로 이런 점이 어필이 됐는지 SKT T1 서브 정글 러 제의를 받았으나, 서브로는 들어가지 않는다고"
23,거절했다고
24,한다.
25,역시 tiltlord2017 년 들어 유 튜브도 그만두고 스트리머도 그만둬서 행방이 묘연했으나 최근 게임을 다시 시작한 듯 보인다 닉네임은 RRSH 트위치 TV 영어권 시청자가 굉장히 많은데 C9 방 출 이후 잠정 중단 했을 때 트위치 TV에서 방송하는 고 랭 커 한국인 스트리머나 프로 게이 머 방송에서 외국인들이 러 쉬를 찾는 채팅이 자주 보이며 러 쉬가 kt에 입단한 이후 외국 시청자들은 kt 경기 날만 되면 러 쉬가 출장했는지 눈을 부릅뜨고 찾곤 했다.
26,그리고 스프링 정규 시즌 마지막 경기에 드디어 러 쉬가 출전하자 외국 채팅 창은 러 쉬 얘기밖에 없었으며 외국 중계 진도 아낌없는 러 쉬 편파 해설 사랑을 보내
27,줬다.
28,시즌 2 ' 걷 기' 라는 닉네임을 사용하며 천상계에서는 심기를 건드리면 미드로 달리는 트롤로 유명했다.
29,닉네임의 유래가 미드로 걷기라는 우스갯소리가 있을 정도 .2012 년 1월 20일 제재 목록에 포함이 되어 있다.
30,[13 ]2019 년 팀에서 나온 이후 한국에서 서 본 계정을 플레이 중 같은 팀 원 딜 (LWX) 이 러 쉬가 던지는 듯한 플레이를 하자 pvman=gg라고 채팅을 쳤는데 이게 밈(? )처럼 쓰이면서 방송 중 실수를 하거나 죽는 등 좋지 않은 상황이 나오면 pvman=gg 가 채팅에 도배된다.
31,그 외에도 다양하게 활용된다.
