,sentences
0,"대한민국의 주요 게임 웹 진이 자 커뮤니티 .2004 년 11월 18일 개설되었으며, 주식회사 인 벤 커뮤니케이션 즈에서 운영하고 있다."
1,웹진 사이트 치고는 후발 주자에 속한다.
2,초창기엔 별다른 관심을 끌지 못했지만 월드 오브 워크 래프트( 이하 와우) 의 오리지날 시절 퀘스트 정리가 가장 잘 되어 있다는 입소문이 퍼지면서 알려 지기 시작하였다.
3,본격적으로 메인 스트림에 오르기 시작한 것은 야채 송 사건. 이 밖에도 여러 자극적인 기사들 로 점점 인지도를 넓혀 간다.
4,"초창기 인 벤 의 CEO 또는 기자, 운 영진의 대다수는 플레이포럼에서 나온 사람들이었다."
5,"초기에는 이름을 많이 알리기 위해서 인지 비주류 게임들도 꽤 많이 사이트를 개설하면서 사이트를 많이 확장하는 가 싶었지만, 대다수 게임들이 망하면서 실질적으로 활동이 잘 되면서 정보 교류가 활발하게 이루어진 건 몇 개 없다."
6,이 때문에 사실상 와우 인 벤 이 인 벤 의 주축이라고 봐도 될 정도였다.
7,초기에는 객원기자를 고용해서 리 뷰 및 칼럼을 썼는데 이 또한 활성화가 제대로 되지 못하였고 글이 올라오는 게 상당히 주관적인 게 많아서 얼마 못 가서 폐지하게 되었다.
8,"또 한, 필진의 대부분이 다 각 게임의 게이 머라서 세 세한 리뷰를 하지만 게임상 자신에게 유리한 버그 등을 일부러 감추거나 하는 경우도 종종 발견된다."
9,특히 마비 노기 인 벤 에서 불법 제조 프로그램 유저를 옹호하던 일도 있었다.
10,"또 한 인 벤 의 객원 필진이 기자로서의 전문성이 떨어지는 편이기 때문에 공략 기사들의 경우 오래되어 게임과 맞지 않거나, 질이 낮거나, 자기 하고 싶은 말만 해 버리는 경우가 꽤 있다."
11,"뭐 애 당초 객원 필진에게 그런 요구를 기대한다는 게 무리일 듯 싶지만... 정 식 기자들이 게재하는 기사는 취재 폭 면에서는 타 웹진보다 훨씬 높지만, 오보가 꽤 잦은 편. 취재 질을 강조하고 싶어서 인지 제목 앞에 ' 취재' 라는 단어를 붙이곤 하지만, 막상 들여다보면 외신이나 국내 유명 웹사이트에 돌아다니는 정보에 불과한 경우가 많다."
12,"엄격하게 말해서, 언론에서 "" 취재"" 라는 말은 기자가 실제 발로 뛰어서 정보와 소식을 취득하는 것에만 한정해서 쓰인다."
13,"발로 뛰지 않고 웹 서핑 등을 통해 남들이 취재해 놓은 정보들을 취합해서 기사 화하는 직종도 분명히 존재하고 인정받기는 하지만 그런 직종은 에디터라고 구별해서 부르며, 에디터가 취재기자라는 이름으로 속여 말하는 것을 언론인들 끼리는 매우 한심하게 여긴다."
14,또 한 이 곳은 국산 게임이면 뭐든지 트집 잡아 다 까는 경우가 많아서 오히려 현업 개발자들에게는 게시판이나 관련 댓 글을 읽지 말라고
15,할 정도. 2020년 게임 물관리 위원회 스팀 게임 차단 논란의 기폭이 된 기사를 작성한 곳도 인 벤 이였는데 발표된 정책에 대한 이해 없이 지레짐작하여 일을 크게 키웠으며 되려 일반 독자들이 직접 문의했을 때 게 관위에서도 금시 초문이라는 태도를 보여 언론 기관을 자처하면서 제대로 된 취재조차 하지 않은 걸로 드러났다.
16,"어쨌든 간에 게임 관련 사이트 중에 선 썰 풀기 좋은 곳. 디시에 위화감을 가진 게이 머들이 주로 많이 찾았으나 사이트가 어느 정도 커진 이후에는 디 씨 갤러들, 특히 와 갤러, 롤 갤러들이 상주하게 되면서 사이트의 성향이 비슷 해졌다."
17,"덕분에 메카, 루 리 웹과 함께 게이 머들 간 키 배가 자주 벌어지는 콜로세움이 기도 하다. 근데 디스 이즈게임 빼고 잘 안 싸우는 사이트가 있긴 있나"
18,"현재는 가장 거대한 게임 사이트 중 하나로 자리매김했으나, 여전히 기존에 가지고 있던 문제점과 규모가 커지면서 자연스레 따라오는 문제들이 공존한다."
19,"[1] 방대한 양의 게임 정보를 갖추어 일일방문 자수 140만, 게임 웹진 시장 점유율 80%, 랭 키 닷컴 게임사이트 랭킹으로는 루 리 웹을 누르고 1위를 차지했다."
20,"특히나 많은 정보량으로 대표적인 공간이 리그 오브 레전드와 피 파 온라인 3, 프로야구 매니저 [2] 등등이 있다."
21,[3] 하지만 게임을 별로 하지 않는 사람에게는 유명한 커뮤니티 중에서 인지도가 높지 않은 편이다.
22,커뮤니티 유형별 유머 글 같은 곳에선 잘 등장하지 않는 콩라인. 국내에서 서비스 중인 온라인 게임을 위주로 하는 다수의 하위 커뮤니티가 생성되어 있다.
23,각 하위 인 벤 끼리는 독자적인 분위기를 가지고 있어서 때에 따라 같은 인 벤 임에도 완전히 다른 느낌을 주는 곳이 많다.
24,하위 인 벤들 거의 모두가 공통적으로 해당 게임에 관한 정보와 소식을 모아 놨다는 식의 타이틀을 걸어 놓는 게 소소한 공통점. [4 ]2010 년대 중반부터 는 모바일 게임 관련 커뮤니티 사이트로도 헝 그리 앱 다음 가는 독보적인 정보량을 자랑하기도 한다.
25,각종 사전 가입 신청 이벤트 글이 올라오기도 하고 모바일 게임이 새로 나올 때 인 벤 에 커뮤니티를 만들기도 한다.
26,단 수명이 길지 않은 모바일 게임 시장 특성상 몇몇 게임 게시판은 금방 죽어 버리거나 그들 만의 게시판이 되기도 한다.
27,"후술될 2018년 인 벤 대란이 터지면서 이용자 수가 이전보다 줄어들었으나, 이렇다 할 대안 사이트가 나오지 않아서 이용자 수가 다시 늘어났다."
28,"하지만 독보적으로 유저 수가 많아 인 벤 의 수도라고 불리던 롤 인 벤 과 와우 벤, 하스 벤 은 아직도 인 벤 대란에서 빠져나오지 못하며 사실상 수도의 기능을 상실했다."
29,특히나 롤 인 벤 은 전체 글 리젠율이 옛날 포지션 게시판 하나와 비교될 정도로 크게 망해 아직도 회복을 못하는 상태. 인 벤 대란에도 인 소 야가 망한 후 대체 커뮤니티가 없어 모든 관련 커 뮤 유저들을 끌어모은 메이 플 스토리 인 벤 이 가장 유저 수가 많으며 로스트 아크 오픈 후 빠른 정보 구축과 특유의 편의 성으로 관련 커뮤보다 이용자 수가 많은 로스트 아크 인 벤 이 그 뒤를 잇고 있다.
30,"그럼에도 불구하고 인 벤 대란 여파가 매우 컸고, 롤과 메이플의 꽤나 큰 이용자 수 차이 때문에 메이 플 인 벤 이 옛날 롤 인 벤 을 대체 하기는 힘들다."
31,더군다나 메이 플 인 벤 은 자유 게시판 하나만 활성화가 되어 있기 때문에 거의 10개가 넘는 게시판이 글 리젠이 수도 없이 쏟아지던 롤 인 벤 시절과 비교하기 엔 무리가 있다.
32,"여러모로 수도가 초라 해진 셈. 인 벤 커뮤니티에 자신의 아이디로 접속하면 마치 하나의 RPG 게임과 같이 경험 치가 있고, 경험치를 쌓으면 레벨이 올라간다."
33,레벨이 올라가면 아이디 앞의 레벨 색이 바뀐다.
34,[13] 해당 레벨에 따라 쓸 수 있는 스킬들도 있다.
35,라이선스에 따라서 하루에 사용할 수 있는 추 천수와 마무리 일격 횟수가 있다.
36,"( 자세한 내용은 라이선스 문단 확인) 로그 인 보상( 출석 체크, 불로소득, 인증 보너스) 과 추천 수, 마무리 일격 횟수는 자정마다 초기화 된다."
37,"불로소득은 매일 첫 로그 인 보상이라고 생각하면 간단하며, 인 벤 에서 제작한 어플을 이용하면 굳이 재로그 인을 안해도 그냥 앱에 접속하면 로그 인 보상을 받을 수 있다."
38,"단 모바일 웹이나, PC 등을 통해 자동 로그 인 기능을 이용하는 경우 재로그 인을 해야 하는 번거로움이 있다."
39,마무리 일격은 경험 치가 95% 이상인 다른 사람의 경험치를 올려 주는 행위로 라이선스 등급에 따라 하루 제한이 있다.
40,흔히 빨개졌어요~
41,이런 제목이 보인다면 십중팔구 이것. 경험 치의 5% 구간인 만큼 90 이상 고 레벨의 경우 수백명이 합심(?) 하는 경우도 있다.
42,"보통 마 격 기라고 하는 스크립트가 있어야 주는 사람, 받는 사람 모두 편한데, 이것이 없으면 일일이 클릭을 눌러야 하기 때문이다."
43,출석 체크는 불로소득과 별개의 일일 로그 인 확인 시스템으로 이건 자동으로 받아지는 것이 아닌 직접 페이지에 가서 출석 체크를 해야 한다.
44,부가적으로 닉네임 변경은 레벨 30부터 배울 수 있는 환생이라는 스킬을 배워야만 사용할 수 있다.
45,첫 변 경시 스킬 배우기 (50 베니)+ 닉네임 변경하기 (50 베니) 로 100 베니가 필요하다.
46,물론 최근은 베니 획득이 용이 해져 걱정은 안 해도 된다.
47,"가상 화폐도 있으며 종류는 이니, 베니, 제니의 총 3가지가 있다."
48,"가상 화폐는 스킬이나 이벤트 등을 통해 얻을 수 있으며, 특정 스킬들을 통해 남에게 줄 수도 있다."
49,아이 마트에서는 화폐들을 이용해 아이콘이나 현물 상품 경모 등 여러 가지를 구입할 수 있다.
50,"희소성으로 따지면 이니< 제니< 베니 이니: 가장 인 벤 내에서 널리 쓰이는 재화. 심심하면 이니 빵, 마무리 일격 크리 시 보상, [14] 그림 값 등으로 자주 쓰인다."
51,"이니는 타인에게 주기 위해 선 수수료 (50 ~95%) 가 필요하기 때문에, 이를 고려해야 한다."
52,그림 실력이 좋다거나 고액의 이니 빵을 이긴 사람의 경우 수백만 이니 씩 가지고 있는 경우가 있다.
53,"제니: 경품 응모를 위한 재화. 타인에게 줄 수도 있지만 이니 보다 수수료가 크다 보니, 접는 사람이 아닌 이상 잘 주지 않는다."
54,"이니 투 제니 로 이니 에서 환전 시키거나, 제니 투이니 로 이니 로 다시 받을 수 있다."
55,자신이 경품 응모에 전혀 의 향이 없다면 이니 로 바꿔도 좋다.
56,"베니: 오로지 유저의 꾸준한 활동으로만 얻을 수 있는 희귀한 재화. 광고 클릭( 낮은 확률로 3 베니), 60 레벨 이상 유저의 로그 인 보상( 레벨에 따라 1~5 베니), 출석 체크 보상, 광고신고( 건 당 1 베니), 인증 글 (5 ~10 베니), 특별 이벤트와 같은 유저의 특별한 활동으로만 획득이 가능하며, 이니 투 베니, 제니 투 베니, 베니 힐링과 같이 베니 로 환전하거나 베니를 양도 하는 법이 다른 재화와 달리 전혀 없기 때문에 다량의 베 니를 요구하는 라이선스를 배우기 위해 선 긴 시간이 필요하다."
57,"보통 1년 동안 꾸준히 로그 인, 광고 클릭을 하면 3000~4000 베니가 벌린다.2018"
58,"년 12월 개편, 2019년 사전 예약 개편으로 베니를 과거에 비해서 얻기 매우 쉬워 졌다."
59,"과거에 A 라이선스를 따려면 거의 90 레벨에 근접해야 딸 수 있을 정도 였으나, 지금은 8분의 1 경험 치인 70 레벨 대 구간에도 얻는 사람이 나올 정도로 쉬워 졌다."
60,C 라이선스도 보통 70 레벨 정도 즈음에서야 얻었으나 지금은 10 레벨 대에서도 얻는 사람이 나올 정도로 베니 획득이 쉬워 졌다.
61,기타 사이트 이용 참고 링크 인 벤 레벨 업 가이드 출석 체크 모바일 페이지광고 클릭 가이드( 작성자: 식 향) 마 무리 일격 인장 스크립트( 마 격 기)   자 세한 내용은 인 벤/ 논란 및 사건 사고 문서를 의 번째 문단을의 부분을 참고하십시오.
62,"여성가족 부에서 2019년 11월 28일 음란, 선정을 이유로 청소년 유해 매체 물로 지정하였다(...).# 통전 게인 벤 방송국 자 낳대"
63,"인 벤 배 네 임드 토너먼트제 2회 와우 인 벤 네 임드 PvP 대회인 벤 네 임드 챔피언십 결승전 사태 라이 엇 코리아 핵 방관 논란 게 구리 핵 의혹 논란 인 벤 메 갈리아 편파 운영 논란 2018년 인 벤 대란 인 벤 에는 상술한 오이 갤 과 함께, 게임 이외의 주제를 다루는 공통 커뮤니티도 다수 존재한다."
64,"인기가 많은 공통 커뮤니티는 괜찮은 접속률을 보여주지만, 망한 커뮤니티는 한 페이지에 반 년의 역사가 담겨 있기도 하다."
65,요리/ 맛 집 갤러리 - 인 벤 러들의 맛 집 추천이나 요리 자랑이 올라오는 게시판. 패션의 완성 갤러리 - 인 벤 러들의 패션 핏을 감상할 수 있다.
66,가끔 옷 관련 질문이 올라오기도 한다.
67,에 펨 코리아 패션 게시판보다 글 리젠이 비교도 안될 정도로 적다.
68,스마트 폰 게시판 PC 견적 게시판 - 무허가 바 이럴 계정들이 홍보 활동을 하면서 게시판 물이 다 흐려 졌으나 지금은 물갈이된 상태다.
69,하지만 퀘이사 존이나 쿨 엔조이와 비교하면 게시판에 상주하는 컴퓨터 전문가들이 없어 초라한 편. 게이 밍 주변기기 오픈 이슈 갤러리 - 문서 참고. 지름/ 개봉 갤러리 - 인 벤 이용자들의 각종 지름 후기들을 올리는 게시판이다.
70,"게임 커뮤니티답게 게임 패키지, 키보드, 컴퓨터 등의 지름 후기가 자주 올라오지만 종종 자가용이나 집(...) 의 지름 후기가 올라오기도 한다."
71,"코 스프 레 갤러리 최근 논란 중인 이야기 - 인 벤 정사토론의 끝판 왕. 원래는 와 우인 벤 의 사 사게 에서 처분되지 못한 똥 찌꺼기가 들어오는 게시판이었으나, 언제부터인가 정사를 토론하는 게시판으로 변신했다."
72,"게임 평가부터 동성애까지 오만 가지 주제들이 오르락 내리락하며, 오이 갤 을 뛰어넘는 키 배의 향연을 볼 수 있다."
73,"대부분의 이용자들이 30~40 대 남성들 로 상당히 이용 연령층이 높은 축에 속하며, 정치 성향은 2020년 11월 기준 친문, 친 민주당 성향이 지배적이다."
