,sentences
0,"트위치 게임 스트 리머 겸 게임 유 튜버 .2012 년 7월 14일 K 연비라는 닉네임으로 아프리카 TV에서 활동을 시작하였으며 [3] 현재, 트위치에서는 쵸 코 찡 [4], 유 튜브에서는 김 쵸 코라는 닉네임으로 활동 중이다."
1,오너 캐는 빨간 머리에 주로 초록 츄리닝이나 기린 옷을 입고 있는 남자 캐릭터인데 방송 초기 때는 이러한 오너캐가 정해져 있지 않아 팬 아트가 제각각인 모습이었다.
2,쵸 코는 기린을 좋아하지는 않지만 본의 아니게 상징 동물은 기린이며 사실은 기린 무늬 플랑크톤이라고 한다.
3,시청자들이 플랑크톤인지 몰라 기린 인줄 알고 팬 아트를 기린 관련으로 그리게 되며 어느새 쵸코의 상징은 기린이 되어 버렸다.
4,방송 초기 때 닉네임은 K 연비였는데 자신의 닉네임을 검색하였을 때 자동차 연비가 많이 떠서 쵸코로 바꿨지만 정작 쵸코라는 닉네임도 검색할 때 ' 초 콜릿' 이 많이 떠서 이름 바꾼 걸 후회한다고 한다.
5,"초창기 닉네임이었던 연비는 그의 누나가 길렀던 개의 이름이 기도 하다. [5] 시청자들한테 별명으로 쵸쨩, 쵸 햄, 쵸 넴, 김쵸코로 불리는데 김 쵸 코라는 별명은 쵸코가 언제부터인가 쵸코가 자신을 칭할 때 ' 김 쵸 코' 로 칭하기 시작했고 그게 굳게 되어 결국 유 튜브 닉네임도 김쵸코로 바꾸게 되었다."
6,예전 멤버들은 쵸코보다 나이가 적을 경우 주로 쵸코를 행님이라 불렀지만 현재 멤버들은 모두가 쵸코를 부를 때 주로 쵸쨩이라 부른다.
7,"현재 고정 멤버로는 노예수, 곰 그릴, 라 룬, 법 흘 팝, 맹태 찜이 있으며 이중 맹태 찜은 유 튜브 썸 네 일을 담당한다."
8,타 칭 원 빈 이라고 한다.
9,방송 분위기는 전체적으로 밝고 친화적이다.
10,본격적인 방송은 시작은 8시 이후 자기 말로는 6-7 시부터 멤 버들이랑 방송에서 뭐할지 의논하거나 컨텐츠 짠다고 여러 이야기를 하다가 8시 쯤부터 방송을 시작한다고 한다는 데 멤버들이 컨텐츠 내는 건 딱히 없다고 한다.
11,늦잠을 안자면 보통 8~9 시 사이에 방송을 키지만 늦잠 자면 11시 넘어서 키거나 아예 안 키는 경우가 많다.
12,"드물지만 12시 (00 시) 나 새벽 2시에 킨 경우도 있으니, 때에 따라 다른 모양이다."
13,방송은 대개 ' 선 노가리 후 게임' 식으로 구성되는데 게임을 길게 할 경우 노가리 안하고 그냥 방종할 때도 있고 노가리를 길게 하다가 게임을 안하고 애매해서 일찍 방종하거나 쭈욱 노가리 방송으로 가기도 한다.
14,방학 시즌에는 기본적으로 밤 12시는 넘기고 2~3 시에서 최대 4시까지 방송을 켜기도 하며 할 게임이 있으면 날샐 때까지 게임을 플레이하기도 한다.
15,트위치 방송 시간은 짧으면 1~2 시간이며 길게는 무려 8~9 시간 이상 하기도 한다.
16,"[6 ]PC, 콘솔, 모바일 상관하지 않고 게임을 한다."
17,PC 겜은 혼자 할 때도 있으며 멤버들과 같이 하기도 한다.
18,콘솔은 거의 혼자 하지만 멤버 중에 콘솔을 가진 곰 그릴과 멀티를 할 때도 있다.
19,"예전에는 마인 크래프트 시즌 제로 진행했으나 지금은 혼자서는 더이상 할 게 없다면서 멤버들과 같이 탈 출맵, 모드 생존 기 등을 자주하는데 그래서 인지 예전에 멤버들이 다 나가고 혼자서 방송할 때는 마인 크래프트를 잘 하지 않았으며 마인 크래프트 이외에도 지금도 계속하는 게임으론 방송 초기 때부터 했던"
20,"게 리 모드와 간간히 하는 세 븐 데 이즈 투 다이, 더 포 레스트가 있다."
21,그 밖에도 오래 한 게임은 튀어나와요
22,동물의 숲으로 2014년부터 2020년 초까지 꾸준히 하였으며 영상 수도 100개를 넘는다.
23,모여 봐요
24,동물의 숲이 출시된 이후로는 모동 숲을 자주 했다.5
25,천 배 모드라고 마인 크래프트를 할 때 갑자기 마인 크래프트의 시간이 매우 빨라 지는 현상을 자주 겪어 방송 중에 게임을 껐다 키거나 해결하는데 시간이 꽤나 소요되었으며 딱히 해결 법이나 다른 사람도 겪는 사례가 없고 쵸코만 겪어서 애를 많이 먹었지만 현재는 문제를 해결했으며 반대로 마인 크래프트 시간이 빨리 흘러가게 하는 명령어를 사용해서 이제는 쵸 코 마음대로 5천 배 모드를 지배할 수 있게 되었다고
26,한다.
27,가끔 휴일 낮에 유 튜브 스트리밍을 키는데 [7] 평일에도 시간 때우기 위해서 유 튜브 스트리밍하다가 트위치로 넘어가는 일이 간간히 있으며 혼자서 방송할 때는 채팅 창에서 멤버가 채팅하고 있거나 멤버들이 잠깐 전화할 때도 있다.
28,혼자서 방송하고 있을 때 멤버의 안부를 묻는 것은 딱히 좋아하지 않는다.
29,아프리카 TV 시절과 트위치 초창기 때는 방송 다시 보기를 남기지 않았는데 2017년 후반기 들어와서 야 방송 다시 보기를 남기기 시작하였다.
30,"트윕에 시 그니 쳐 사운드는 ' 내놔', ' 내 꺼야', ' 빠빠 이', ' 대 박' 이 있고 투 네이션 엠 퍼러 사운드는 ' 엣취', ' 아이쿠', ' 안 먹어!' 가 있다."
31,  자 세한 내용은 김 쵸 코/ 게임 목록 문서를 의 번째 문단을의 부분을 참고하십시오.
32,  자 세한 내용은 김 쵸 코/ 사건 사고 문서를 의 번째 문단을의 부분을 참고하십시오.
33,평소에 다소 거친 면모가 보이지만 가끔은 멋있는 면도 있으며 [21] 의외로 속은 말랑말랑하고 여린 츤 데 레인데 조회 수가 안 나오는 게임은 그만 둘려 고 하지만 몇 명이라도 재밌다고
34,하는 사람들이 있으면 결국에 게임을 쭉 해 버린다.
35,그의 방송철학이 돋보이는 부분이다.
36,츤 데 레 끼는 방송 초기에는 설정이었는데 후에 본인의 모습에 익숙 해져서 본인도 그렇다고
37,느낀다고 한다.
38,방송 초기 때는 미성숙하고 높은 텐션에 방방 뛰는 바람 먹은 목소리였지만 점점 성숙해 지고 차분 해져 현재 목소리가 되었다.
