,sentences
0,트위치에서 활동하고 있는 게임 전문 스트 리머 2015년 1월 1일 아프리카 TV에서 방송을 시작했다.
1,심벌 (symbol) 콘텐츠는 LOL. 재치 있는 입담과 리액션으로 많은 시청자를 보유하고 있다.
2,닉네임 ' 한 동숙' [6] 은 본명이 아닌 그의 별명. 본명은 한성 욱인데 임팩트 있는 이름을 찾다가 족보상의 이름인 한 동숙을 사용하게 되었다고
3,한다.
4,초기에 아프리카 BJ 중 인기 있던 불양과 몇몇 없는 FM 유저로 그 특유의 과 몰입과 몸 개그로 FM으로 흥했으며 트위치 이전 후 LO L의 스트리머로 전향한 후에는 LOL의 대통령( 실력은 X)으로 군 림하게 되었다.2020
5,년 1월 말부터 후술할 논란 이후로 방송을 쉬다가 동년 5월 6일 트위치 스트리밍으로 돌아왔다.
6,"일주일 중에 5일 방송( 휴 방일 사전 공지) 을 하며, 대체적으로 오후 8시 이후부터 오전 5시 전후로 방송을 한다."
7,"다양한 게임을 하는 방송( 주력은 FM과 LOL) 을 지향하며, 방송 인원은 트위치에서도 다섯 손가락에 꼽힌다."
8,"전반 후반 나뉘어서 게임을 하는 시간이 많았지만, 지금은 종잡을 수가 없는 편. 아니 뭐해!!!! 한 동숙의 방송 스타일은 한마디로 '과 몰입 전문 스트 리머'. 게임을 진행하면서 아낌없이 고함을 지르거나 멘 탈이 나가는 경우가 자주 있어 시청자들은 그걸 보면서 희열감을 느끼는 본격 새디스트 방송. [7] 다른 게임 스트 리머들에 비해 감정을 숨기지 않기 때문에 호통이 기본적으로 깔려 있다."
9,또 한 게임이 풀리지 않으면 방에 있는 하 후 곰 [8] 을 때리기도 한다.
10,"불쌍한 곰돌이. 이제 크로마키가 적용되면 후 곰 이도 은퇴 LOL, 군대, 야 동 등 주로 1-20 대 일반 남성층의 보편적인 관심사를 다루며 [9] 과격한 하이 텐션에 다 재미를 위해서 어느 정도 욕설이나 디시 인사이드의 은어를 섞기도 하는 등 철저히 남성적인 취향에 부합하는 방송을 한다."
11,또 한 채팅 방을 자주 들여다보면서 끊임없이 시청자들과 소통하려는 모습을 보여주고 웬만해서는 시청자들의 의견을 반영하려고 노력한다.
12,풋볼 매니저를 진행하면서 실제 감독인 모습을 보여주는데 정말 실제 같이 행동한다.
13,"한 동숙의 비범한 예능 감과 연기력을 엿볼 수 있는 대목. 예를 들어, 챔 피 언스 리그 결승전 때 정장을 입고 우승하면 샴페인 [10] 을 터뜨리고 냄비어 [11] [12 ]를 들어 올린다."
14,게다가 셀프 헹가래까지... 이놈들아! 감독님이 요새 허리가 안 좋아! 아니... 안 된다니까
15,"이 녀석들! 하하 녀석들 우승 메달은 군번줄로 대체하며 크로마키를 라커룸 대화, 챔스 결승 오프닝에도 활용하고 있다."
16,"본인 말로는 연기가 아닌 진짜 자신의 모습이라고 하는데, 그렇기에 더더욱 진정성이 느껴져 많은 시청자들의 사랑을 받는 것 같다."
17,하지만 트위치 이후로 LoL을 위주로 플레이한 뒤에는 이로 인해 구 아프리카에서 축구와 FM을 즐겨 보던 애청자들의 스트레스가 매우 강했으며 본인도 그로 인한 스트레스를 과거에 표출한 바가 있다.
18,웬만하면 종겜을 상당히 길게 끌고 가는 편이다.
19,한겜에 꽃 히면 일주일은 기본으로 가서 종 겜 강점기가 시작된다.
20,"예로는 롤, 마운트 엔 블레이드, 하스 스톤 등이 있다."
21,( 사실 하스는 스승 제자 컨텐츠 때문에 한 거 같지만 그래도 오래 끌 긴 끌었으니 넣는다.)
22,과 몰입 전문 스트리머라는 별명 답게 시청자들과 다투는 일도 잦다.
