,sentences
0,"대한민국의 아프리카 TV 소속 인터넷 방송인. 리그 오브 레전드를 주 컨텐츠로 삼고 있으며, 전 오버 워치 프로 게이 머이다."
1,날짜 순위대회 결과 상대 2016년 11월 16일 우승 kt GiGA LEGENDS MATCH OVERWATCH BJ 리그 3:1BJ 보 겸 팀 2016년 11월 16일 13-16 위 인텔 오버 워치 APEX 시즌 11/- /2 조별 리그 2016년 12월 23일 1-2 위 오버 워치 HOT6 APEX SUPERWEEK 시즌 12/- /0 조별 리그 2017년 3월 19일 7-8 위 Alienware Monthly Melee 2017: March1 :2 Brasil Gaming House Red2017 년 4월 8일 준우승 오버 워치 HOT6 APEX 시즌 23:4 Lunatic-Hai2017 년 5월 26일 9-12 위 오버 워치 HOT6 APEX 시즌 31/- /2 조별 리그 2017년 7월 26일 준우승 2017 오버 워치 넥서스 컵 Summer0 :4 Miraculous Youngster2017 년 10월 21일 준우승 오버 워치 HOT6 APEX 시즌 43:4 GC Busan2017 년 10월 29일 준우승 오버 워치 APAC Premier 20171:4 GC Busan2017 년 12월 9일 10위 2017 오버 워치 넥서스 컵 Annual Finals0 :2 Vici Gaming2018 년 3월 1일 5-8 위 오버 워치 팀 스토리 - 챕터 42:3 LGD Gaming2018 년 4월 22일 3-4 위 2018 오버 워치 컨 텐 더스 코리아 시즌 11:3 X6-Gaming2018 년 8월 11일 우승 2018 오버 워치 컨 텐 더스 코리아 시즌 24:3 KONGDOO PANTHERA2018 년 9월 27일 우승 2018 오버 워치 NeXT Cup4 :0 t1w Esports Club2019 년 3월 25일 우승 2019 오버 워치 리그 스테이지 1 PO4 :3 샌 프란시스 코 쇼크 2019년 5월 13일 준우승 2019 오버 워치 리그 스테이지 2 PO2 :4 샌 프란시스 코 쇼크 2019년 7월 14일 3-4 위 2019 오버 워치 리그 스테이지 3 PO1 :4 상하이 드래곤 즈 2019년 9월 30일 준우승 2019 오버 워치 리그 그랜드 파이널 0:4 샌 프란시스 코 쇼크 상당한 고감도 유저다.
2,어느 정도냐
3,"면 마우스 DPI 800, 인 게임 DPI 30.5, EDPI 24400의 엄청난 고감도를 사용한다."
4,[48] 그 덕분인지 용 검을 켰을 때 에 임 돌아가는 게 말이 안 될 정도로 빠르다.
5,근데 이렇게 높은 감도를 쓰는 이유는 자신의 겐 지 플레이 스타일과도 연관이 깊은 편이다.
6,다른 프로 게이 머들이 학살의 마우스 돌아가는 속도를 1 인칭 뷰로 보거나 직접 저 감도를 맞춰서 플레이 한 후 대부분의 반응은 대체 이 감도로 어떻게 게임하는 거냐고 한탄할 정도. 미라 지가 학살 감도로 플레이하기 오버 워치 HOT6 APEX 시즌 2 콩 두 판 테라 전에서 선수 소개를 할 때 학살이 카메라에 잡혔었는데 안경을 닦고 있었다.
7,( 항목 위 사진의 모습) 그 때 학살의 얼굴은 안경 쓴 학살을 안드로메다로 보 내버릴 만큼 잘생긴 얼굴이라고 평가 됐다.
8,"본인은 부끄러웠는지 경기 이후 개인방송에서 잠시 언급했는데 메이크업, 카메라 빨이라 하더라."
9,그러나 이처럼 부끄러워하는 모습과는 다르게 16 강 마지막 프나 틱 과의 경기에서 다시 한번 스스로 안경을 벗은 모습을 보여주어 [49] 관심을 모았으나 사실은 OGN 관계자가 시켰다고
