,sentences
0,1999년 6월에 만들어 진 네이버에서 운영하는 한국 최초 이자 현재 대한민국의 유일 [3] 한 어린이 포털 사이트. 약칭은 쥬니버. [4] 초등학생 저학년 이하의 천국이다.
1,"각종 동요와 동화, TV 동영상 등이 모여 있다."
2,서비스는 서너 개 빼곤 거의 다 동영상 서비스다.
3,쥬 니어 네이버의 검색 엔진은 정말 좋지 않다.
4,쥬니버 내의 서비스와 어린이 도서가 주로 검색이 되며 [5] 조금만 문장이 길어 져도 원하는 검색 결과를 얻기가 힘들기 때문에 학교 숙제에 관한 자료는 여기서 찾기 힘들다.
5,"요즘은 네이버 지식 iN에서 물어보던데? 어린이들을 위한 사이트이다 보니, 어린이에게 부적절한 컨텐츠는 걸러 진다."
6,"애초에 ' 어린이에게 부적절한 컨텐츠만 제외' 되는 블랙리스트가 아닌, ' 어린이에게 적합한 컨텐츠만 검색' 되는 화이트 리스트에 가깝다."
7,[6] 네이버에서는 검색이 되는 단어가 쥬니버에서는 검색이 안 되는 경우가 있다.
8,"초기에는 귀신사진이나 심령 사진 같은 무서운 사진들을 모으거나 무서운 이야기 등을 모아 놓은 서비스도 있었으며, 지금은 모두 사라진 상태다.2014"
9,"년 4월 쯤에 개편했는데, 개선이 아닌 개악이 돼 버렸다."
10,왜냐하면 개편 과정에서 옛날부터 있었던 수많은 게임들이 대부분 사라졌고 게임도 분야 별로 구분이 잘 되어 있었는데 대표적인 것 들 만 남기고 그 구분을 전부 다 지워 버려서 옛날부터 있던 게임을 찾기가 어려워졌다.
11,[7] 이에 아쉬움을 많이 느낀 어린이들이 대체제로 다음 키즈 짱을 이용했으나 다음 키즈 짱마저 없어 지면서 어쩔 수 없이 쥬니버를 이용할 수밖에 없게 되었다.
12,"대신 옷 입히기 게임은 4399[8], caihongtang 등에 많이 있다."
13,"쥬니버것뿐만 아니라 다음 키즈 짱, 야 후 꾸러기에 있던 것까지 있으니 해보고 싶은 사람은 참조하자 .2016 년 11월 1일에는 플래시극장과 클릭 클릭까지 없어 졌다."
14,플래시 애니메이션은 동물 농장과 더불어 현재 20 대들의 소중한 추억인데 그걸 통째로 날려 버린 것. 원래는 야 후 꾸러기에도 플래시극장이 존재했지만 야 후가 망하는 바람에 대한민국에서 유일하게 과거 플래시 애니메이션을 볼 수 있는 곳은 쥬니버밖에 없었다.
15,게다가 이 플래시 애니메이션들은 희귀한 자료 라 복구해 주지 않는 한 절대로 볼 수 없다.
16,"2012년까지 는 플래시극장 내에 플래시 애니메이션 콘텐츠들도 많았고, 야 후 꾸러기와 맞먹을 정도로 에피소드가 많았으나, 2013년부터 갑자기 일부 에피소드가 사라지고 [9], 일부 컨텐츠 마저도 사라졌다."
17,원인은 불명. 야 후 꾸러기가 폐쇄된 이후론 그나마 소수의 플래시 애니메이션이라도 볼 수 있었지만 이제는 유 튜브에 누가 아 카 이브 백업을 해 둔 영상이 아니고 선 볼 방법이 없다.2017
18,년 3월 1 일부로 소리 소문 없이 옷 입히기 게임 중 옛날 지게임 출신 게임들 [10] 이 삭제되었다.
19,"문의 해본 결과, 제휴 사와의 계약 만료로 종료되었다고"
20,한다.
21,[11 ]2018 년을 기점으로 동물 농장 등 많은 서비스가 종료되고 있는 추세다.
22,"당시 게임을 즐긴 유저들의 사회 진출, 스마트 폰의 출시로 인한 사용자 저하, 유 튜브에서 초등학생 등을 대상으로 하는 크리에 이 터 [12] 라는 대체제들의 유행이 그 주요 원인으로 추측된다."
23,"새로운 서비스는 전혀 도입되지 않을 뿐더러, 기존에 있는 게임도 운영 부재가 많다 보니 많은 유저들이 예전을 그리워하고 있다.2019"
24,년 2월 28일 게임 랜드도 서비스가 완전히 종료되었다.
25,이와 동시에 ' 테마' 가 생겼다.
26,뽀로로 같은 아이 코닉스 컨텐츠들도 내려갔다.
27,[13] 이 모 티 콘 서비스도 서비스 종료될 예정이다.BBC
28,특별 관에 알파 블록 스가 잠시 내려갔다.2020
29,년 11월 12일에 홈페이지를 모바일 형식으로 개편했다.
30,"동물 농장 플래시극장 - 초코 하나, 요조, 요랑 이, 나롱이 등은 게임 랜드에서도 즐길 수 있었으나 현재는 둘 다 없어 졌다."
31,아래의 클릭 클릭과 함께 서비스가 종료되었다.
32,우리들 솜씨 - 2017년 1월 19일 서비스 종료. 이후엔 스케치북이 이 역할을 계승. 세이 하이키 즈 게임 - 세 이의 대모험 및 세 이하이키 즈 자체의 플래시게임 몇 편이 있었다.
33,"이미지극장 - 동물, 음식, 연예인 등의 다양한 카테고리에 속한 세부 목록[ 예시] 의 슬라이드 쇼를 볼 수 있었던 컨텐츠. 디즈니 브랜드 관 - 디즈니 촌이라고도 불렸으며 디즈니가 협찬했다."
34,현재는 계약 만료로 모두 서비스 종료. 디즈니 프린세스 디즈니 게임 존 - 아래의 게임 랜드와 함께 서비스 종료되었다.
35,클릭 클릭 - 쥬니어네이버에서 자주 병 림 픽이 일어났던 곳이다.
36,2016년 11월 1 일부로 플래시극장과 함께 서비스가 종료되었다.
37,도전 퀴즈 왕 - 60마리의 몬스터와 퀴즈를 푸는 게임. 2019년 7월 15일에 서비스가 종료되었다.
38,"문서 참조. 만화책 - 위의 만화 존, TV 만화와는 별개 기능이다."
39,"한 때 코믹 메이 플 스토리, 마법 천자문 등의 레 전드 만화들이 초창기 시절 연재될 때 무료로 미리 보기를 할 수 있었고, 그 외에 순정 만화 [20] 단행본들을 무료로 볼 수 있었던 숨겨 진 쥬니버 최강 서비스였다."
40,2008년 네이버 만화방이 네이버 웹툰으로 개편되면서 기능이 통합되어 서비스 종료된 듯 하다. 게임 랜드 - 2019년 2월 28일 종료된 서비스다.
41,자세한 건 후 술. 아바 타 랜드 - 2020년 9월 1일 서비스 종료 .2000 년 당시 전속 모델은 쌍둥이 가수 량 현량하였다.2004
42,"년 8월에 아역스타 선발대회를 열었으며, 대표적인 입상자로 EXID 정화, PRISTIN 시연, 트와 이스 지효가 있었다."
43,"예언? #2018 년 3월 30일, 서비스 종료에 대해서 쥬 니어 네이버는 사실이 아니라고 공식 입장을 밝혔다."
44,"# 처음에 들어가면 ' 난↑ 난 나↘ 난 난 나~ 따라라 라 따라라 듀쥬니버!' 이런 소리가 났으며, 그보다 더 이전에는 ' 뜬 뜨든↗ 뜬뜬↘'. [24] [25] 2020년 11월 12일에 홈페이지가 개편되면서 사라졌으며, 모바일 앱으로 접속하면 들을 수 있다."
45,야 후! 꾸러기 (2012 년 12월 31일에 야 후 코리아와 동시에 서비스 종료) [26] 다음 키즈 짱 (2015 년 5월 19일에 서비스 종료) 파니 룸 - 2005년 8월 24일에 서비스가 시작됐다.
46,[14] 전 성기엔 그럭저럭 인기 있었으나 현재는 플레이하는 사람이 많이 없다.
47,[15] 2021년 현재 세부 기능이 자꾸 폐지/ 축소되고 있다.
48,스케치북 - 우리들 솜씨에서 그림/ 갤러리 항목이 빠진 이후에 생겨났다.
49,"현재는 그림 쟁이 들이 이곳을 점령한 상태로, 그들이 그린 으리으리한 일 러스트들이 쏟아져 나오는 걸 볼 수 있다."
50,아이러니한 것은 분명 어린이를 위한 사이트 이지만 어른들이 점령하고 있다는 것이다.
51,터치 팡팡 - 새로 추가된 게임 코너로 플래시 기반이 아닌 HTML5 게임으로 추정된다.
52,내용은 매우 단출하며 딱 영 유아용이다.
53,만화 존 TV 만화 - 쥬니버 내에 서식하는 초 글 링들의 멀 티. 상종 안하는 게 상책이다.
54,2015년 대대 적인 개편으로 다시 보기 지원되는 애 니가 바뀌거나 줄기도 했다.
55,만화는 더빙되어 올려 졌다.
56,창의 놀이 이벤트 스티커 샵 사파리 주로 유아들을 위한 서비스다.
57,동요 동화사파리 뽀로로 놀이교실 [16] 개인정보 보호교실 어린이 실종 예방 인터넷 윤리 시간 아동 성폭력 예방 아동 유괴 예방 영어 누리과정 어린이 안전 생활 백서 공룡나라 [17] 유아 세상뽀로로 TV: 제 1대 초 통령 이자 많은 어린이가 좋아하는 어린이의 동심 뽀로로를 주제로 함. 어도비 플래시 기반이라서 이 서비스도 2020 연말 사라질 것으로 보인다.
58,이모 티 콘: 거의 모든 메신저에 있는 기능이다.
59,하지만 공지가 올라오면서 쥬니콘도 소멸된다고 했다.
60,【 답변 내용 보기/ 접기】 한때 대한민국 어린이들의 여가시간을 책임졌던 곳이다.
61,여러 게임들이 분야 별로 있어서 다양하게 게임들을 즐길 수 있었던 곳. 또 한 퍼니 또 등의 사라진 사이트의 컨텐츠들을 일부 수입해 [21] 온 것도 있어 재미난 게임들을 손쉽게 플레이할 수 있었다.
62,"하지만 1 인 미디어 매체들인 유 튜브 등장과 새로운 어린 연령 대에서의 어필 부족, 게임 랜드를 즐겨 했던 유저들의 고령화, 새로운 게임의 도입 부재로 인해 이용자 수가 줄어 버리자 2019년 2월 28일, 쥬 니어 네이버는 게임 랜드 서비스를 종료하는 초강수를 두게 되었다."
63,게임을 제공하고 있던 게임 랜드의 순차적 서비스 종료로 인해 많은 사용자들의 아쉬움을 사게 되었다.
64,"이유는 어도 비사의 2020년 12월 31 일 플래시 서비스 종료로 인한 것으로, 게임 랜드의 서비스의 대부분이 플래시로 구성되어 있다는 점에 불가피하게 종료를 결정한 것으로 보인다."
65,"[22] 2018년 12월 27일에 게임 뭉치, 스타일 업 게임들의 서비스가 종료, 2019년 2월 1일에 쥬 디게임, 키니 위니 게임들의 서비스가 종료되었으며, 2019년 2월 28일 오후 3시에 나머지 서비스까지 완전히 사라졌다."
66,"그 이전에 와글와글, 조이 월드 등의 게임들도 사라진 것으로 보이는데 정확히 어느 시점에 없어 졌는지는 불명. [23 ]2018 년 야 후 꾸러기가 복원됐다라는 소문과 마찬가지로 또 복원되었다면서 아 카 이브 주소가 퍼지고 있었지만 웨이 백 머신에 홈페이지 모습이 찍혀 애초에 아 카 이브 형식으로 보관되고 있던 도중 누군가가 인터넷에 뿌린 것이었다."
67,아 카 이브 주소 여기서는 어디에 분류되어 있었는지 불확실 하거나 과거에 있었지만 지금은 사라져 버린 컨텐츠가 있습니다.
68,후에 분류가 정해져 있다면 수정합니다.
69,"뮤직 카드 - 가수들의 음 원을 뮤직 비디오( 공연 실황도 포함) 와 함께 감상할 수 있던 기능으로, 2011년 쯤 사라졌다."
70,죠아 저 씨 책방이야기 뭉치 타자 왕 그리스 로마 신화
