,sentences
0,"Kang ""Rice"" Chan-yong 현 Gen.G Esports 소속 스트 리머인 강 찬용의 인터넷 방송 활동에 대해 기록한 문서이다."
1,"전 프로 게이 머 앰 비 션과는 완전히 다른 인물이므로 열람 시 주의 이 문구, 어디서 많이 본 것 같지만 기분 탓이다."
2,"방송 보러 와라, 한번 말했다"
3,I'M NOT ANGRY 방송 타이 틀집에 있지만 나는 전설이야.
4,방송 대기 화면 문구 근황이 묘연 해졌던
5,"2018년 12월부터 샤이와 듀오 방송을 하며 모습을 보였고, 아무것도 없던 트위치 프로 필 단장을 하면서 예고하더니, 12월 24일부터 트위치에서 은퇴 선언과 함께 첫 방송을 시작했다."
6,"프로 시절 얼굴에서 느껴지는 포스와 냉혹한 플레이 때문에 방송도 잘할까 의구심이 들 수 있지만 [5] [6] 첫 방송부터 게임을 처참하게 말아먹을 때마다 보여주는 징징대는 모습과 남 탓 [7], 불과 몇 달 전까지 현역이었던 게 어색할 정도로 어처구니 없는 실수들, 아내 맹솔 지와 함께 보여준 티격태격 디스전과 거침없는 입담, 훈훈한 부부사이 등, 지금까지의 인터넷 밈과는 거리가 먼 유쾌하고 친근한 옆집 형 모습을 보이면서 방송 천재, 럭키 클 템, 캡틴 잭의 재림 [8] 이라는 평을 듣는 등 화려한 첫 방송을 신고 했다."
7,주된 반응은 어떻게 스트 리머로서의 역겨움 표출을 참고 프로 게이 머를 했냐
8,일 정도로 7년 간 쌓아 온 운영의 마술사 해리빠따가 단 3시간 만에 럭키 클 템이 되었다.
9,"앰 비 션 방송 활동의 눈에 띄는 특징은, 유 튜브 편집 본과 실제 생방송이 별 차이가 없다는 것이다."
10,"당장 비슷한 컨셉의 클 템도 하이 텐션의 유 튜브 영상들과 는 다르게 생방송은 의외로 텐션이 낮고, 인식과 달리 캐리하는 판이 생각보다 많아서 편집 본 만큼의 재미는 느끼기 힘든 반면, 앰비션의 경우는 생방송 조차도 10 판 중 9 판은 정신 승리, 남 탓하기, 징징거리기, 핑계 대기, 본인 자랑으로 가득 차 있다."
11,"처음부터 끝까지 일관되다 보니 편집이나 엄선이 따로 필요가 없을 정도. 편집자가 편한 스트 리머 때문에 유 튜브도 클 템의 편 송이는 갑작스럽게 치고 들어오는 게 많다면, 밥집 자는 지속적으로 쓰레기 냄새를 풍기는 경향이 있다."
12,"와이프인 맹바론이 트위치 스패너라서 그런지, 옆에서 방송 진행도 곧잘 도와주며 남편이 급 발진을 하려고 하면 옆에서 말려서 선을 넘지 않게 지켜 주며, 방송 UI 디자인도 굉장히 예쁘게 꾸며 져 있다."
13,"타 선수 출신 스트 리머들이 세팅하는 데 힘들어 하고, 꾸며 놓거나 디자인을 하는 거 하나도 없이 그냥 송출만 하는 사람도 많다는 걸 생각해 보면 와이프 덕을 톡톡히 보는 셈. 당장 같은 시기에 방송을 시작한 운 타라의 방송 디자인은... 그림판으로 써 놓은 모습에 눈물이 앞을 가린다."
14,"[9] 방송 화면에 엠비 션 (X) 앰 비 션 (O) 이 깨알 포인트이며, 샤이와 듀오할 때 1살 많은 샤이에게 ' 형' 이라고 부를 때마다 시청자들은 놀람과 더불어 위화감이 든다고 한다."
15,"샤이와 함께 다이아에서 1승 2 패한 뒤 듀오 종료 후 서로 뒷담을 깐 건 덤. 주된 컨텐츠는 Q&A를 했던 첫날을 제외 하면 롤 방송으로 솔 랭 방송을 하나, 듀오일 땐 이미 은퇴한 샤이, 매 라, 프레이 등 친분이 있는 전 프로 게이 머와 같이 한다."
16,베타방송을 5회까지 진행하다가 1월 1일부터 정규방송을 시작하였다.
17,시청자 수는 보통 6~8 천 이상을 유지하는 중이며 시청자 수 3만명! 을 달성하기도 하였다.9
18,시즌 솔 랭에서는 방송의 인기에 힘입어 솔 랭에서 만난 여러 프로들과 친 추를 하고 듀오를 하는 모습이 보이는데 이런 모습을 보고 시청자들은 앰비션이 포켓 몬 도감 채우는 중이라며 즐긴다.2019
19,"롤 챔스 스프링 개막 이후로 경기 관전 중계도 하는 데 밴 픽, 경기 양상과 전략, 현 메타를 프로의 관점에서 시청자들이 알아듣기 쉽게 해설하는 점이 호평을 받는다."
20,두뇌 파 정글 러답게 게임 보는 눈이 클 템과 굉장히 흡사 하다. [10] 실제로 앰비션이 한 발언을 몇 초 시간 차로 해설 진들이 발언하기도 하는 등 꽤 날카로운 해설을 한다.
21,"차이점이 있다면 선수 생활 내내 숨김없이 드러냈던 탑 갱에 대한 혐오가 해설에도 그대로 묻어난다는 점. 큐 베 오열 또한 보통 전 프로들은 자신의 출신 팀에 대한 애정이 남아 있어 적극적으로 응원하는 편이지만, 앰비션은 오히려 냉철하게 젠 지 경기를 본다."
