,sentences
0,"중국에서 발달하여 현대에도 중국, 한국, 일본, 대만 등지의 한자 문화권에서 사용되고 있는 표어 문자. 은허에서 출토된 기원전 15 세기 무렵 갑골 문자가 현존하는 가장 오래된 것이며, 후대로 오면서 더 많이 만들어 져 현재 알려 져 있는 한자의 수는 약 50,000( 이체 자 포함 88,884) 자에 달하지만 실생활에 주로 쓰이는 한자는 나라에 따라 다소간 차이가 있지만 2 천자에서 5천자 내외이다."
1,처음에는 순수한 상형 문자였으나 세월이 흐르면서 상형 이외의 원리로 만들어 진 글자가 추가 되었다.
2,"전자 외에도 많은 약자( 略字), 속자( 俗字) 등이 있다."
3,본래 세계 각국의 다른 문자를 접해 보지 못하였던 고대 중원 사람들은 그냥 ' 자( 字) '라고 불렀다.
4,"그러나 한나라가 중국 대륙을 통일한 이후 ' 한족' 이라는 민족 감정이 생기면서, 다른 문자에 대한 상대적 비교의 개념으로 ' 한나라의 문자', ' 한족의 문자' 라는 뜻인 ' 한자' 라는 말이 처음 생겼다."
5,"한자와 한문을 혼동하는 경우가 많은데 한자는 한글, 키 릴 문자, 가나처럼 문자이고, 한문은 그 한자를 이용해 쓴 고대 중국어 문어체다."
6,"즉 ' 學' 이나 ' 習' 같은 것은 한자이고, ' 학이 시습 지불 역 열호( 學而時習之不亦說乎)' [2] 같은 것은 한문이다."
7,또 한자어와도 혼동하기 쉬운데 한자어는 한자로 쓰인 단어라고 보면 된다.
8,"즉 위에서 예로 든 ' 학이 시습 지불 역 열호' 는 한문이고, ' 학습( 學習)' 은 한자어다."
9,또 한 사전적 정의에 따르면 한자어는 ' 한국어 속에 쓰이는 한자 어휘 '라고 한다.
10,"세계적으로 가장 오래된 문자 가운데 하나로, 수메르 쐐기 문자 계통 [3], 이집트 상형 문자 계통 [4] [5], 마야 문자 계통과 함께 [6] 다른 문자의 영향을 받지 않고 독자적으로 생성된 몇 안 되는 문자이다."
11,"한자 자원 연구한 자에 대한 체계적인 지식이 갖춰 진 계기는 경학 연구로, 분서 갱유로 인해 웬만한 경전이 통째로 사라진 뒤 다시 한 대가 된 후 한동안 중국 학문계가 상당히 붕괴하고 혼란스러웠을 때 절반 정도는 학자가 몰래 숨겨 왔던 경전이나 공자 집에 들어 차 있던 경전에 적혀 있던 고문을 해석하던 고문 파, 하나는 끝까지 찾지 못해 입으로 전승돼 오던 사실을 기록 해 예서로 남겨 놓은 금 문 파로 연구자가 나뉘었다."
12,"이 들은 연구방법이 달랐으므로 학풍 역시 달랐는데 고문 파는 글자 해석부터 어려웠으므로 고답적으로 정론을 파고들었고, 금 문 파는 따로 해석할 거리는 없었고 내용의 이해에 어려움이 없어 현실적인 방향으로 발전했으나, 참위설이나 음양오행 설을 가지고 억지 해설을 늘어놓는 등 영 안 좋은 방향으로 발전했다."
13,"이를 고문 파의 일원이었던 후 한의 허신( 許愼) 이 문자의 구조를 분석하는 기법을 최초로 들고 온 < 설문 해자( 說文解字) >를 통해 소 전체를 파고들어 의미를 분석하는 기법을 보여주며 논란이 종결되었으며, 이때 나온 기법의 하나가 바로 육서와 부수.   자 세한 내용은 한자/ 특성 문서를 의 번째 문단을의 부분을 참고하십시오."
14,"[15] [16] 왼쪽에서부터 한국, 대만, 홍 콩, 마카오에서 사용하는 정체 자, 일본 전후 시대에 발표된 신자체, 그리고 중국 공산당이 제정한 간 화자이다."
15,"한 자의 사용 빈도는 중화권( 대만, 중국, 홍 콩, 마카오, 싱 가 포 르 등) > 일본 >>> 한국 > 베트남, 북한 순이다."
16,"한 자가 동아시아 문화권 전체에서 폭넓게 쓰이는 문자이다 보니, 예전에 국가 간을 드나들 때도 고전 중국어 문어 체인 한문을 통해 필담을 할 수 있었다."
17,"한국 현황에 대해서는 한국의 한자 사용 문서를, 여타 국가의 현황에 대해서는 한자 문화권 문서를 참조. 한국과 일본에서는 인명용 한자를 정해 쓰고 있고, 출생 신고 나 개명 시에 이 인명용 한 자만을 쓰도록 하고 있다."
18,"한국의 경우 한문 교육용 기초 한자 1,800자와 추가 한자 (1991 년 대법원 제정 당시 총 2,854자였으나, 시간이 지나면서 계속 늘어나 2017년 현재 8142자), 일본의 경우 상용한 자 2,136자와 추가 한자 861 자를 인명용 한자로 정해 두었다."
19,인명에 쓰이는 한자에 제한을 둔 것은 행정 전산화를 편하게 하려는 조치이다.
20,만약 제한 없이 아무 한자나 허용한다면 행정 처리에 상당한 불편함을 초래할 것이다.
21,  자 세한 내용은 한자/ 특이한 한자 문서를 의 번째 문단을의 부분을 참고하십시오.
22,  자 세한 내용은 닮은꼴 한자 문서를 의 번째 문단을의 부분을 참고하십시오.
23,"만 자가 넘는 한자를 기껏해야 100자 정도의 키밖에 없는 키보드에 넣는 건 불가능하기 때문에, 한자를 입력할 때는 다른 글자를 먼저 입력한 다음 조작을 가해 한자로 변환하는 간접적인 방법이 사용된다."
24,"이때 중화권, 일본, 한국의 문자생활이 매우 다르기 때문에, 한자를 입력하는 방식에도 나라마다 현저한 차이를 보인다."
25,중화권: 입력방법이 굉장히 다양하다.
26,한어 병 음이나 주음 부호와 같은 표음 문자를 입력한 다음 변환하는 방식이 있는가
27,"하면, 한자의 ' 모양' 을 보고 그 구성요소를 연속적으로 입력하여 변환하는 창 힐 수입법이나 오 필법( 五筆) 도 있다."
28,"자세한 내용은 위 키 백과( 영문 판) 및 중국어/ 입력 기 참조. 일본: 중국 한어 병 음처럼 로마자를 입력한 다음 한자로 변환하는 방법을 쓰거나, 일본 고유 문자인 가나로 입력한 다음 한자로 변환하는 방법을 쓰기도 한다."
29,자세한 내용은 키보드 참조. 한국: 한글로 입력한 다음 한자로 변환한다.
30,"다만 현대 한국에서는 일상생활에서 한자를 입력할 일이 거의 없기 때문에, 한자를 필요할 때만 따로 입력할 수 있도록 별도의 한자 키가 만들어 져 있다."
31,"즉, 중국· 일본어는 변환 키가 없거나 사용할 필요가 없고, 단어· 문장 단위로 한자 변환이 매끄럽게 이어지는 반면, 한국에서는 한자를 입력하려면 변환 키를 반드시 사용해야 하고, 그 조차도 한 번에 한 글자씩 밖에 변환하지 못한다."
32,때문에 빨리 입력하려면 각 한자마다 커맨드를 외우고 있어야 한다.
