,sentences
0,"예전엔 호러 쯔꾸 르 게임 실황을 하다가, 최근에는 게임 리뷰를 주 컨텐츠로 삼고 있는 유 튜버. 前 채널 좀비 왕 멤버다."
1,"[1 ]Q: 메탈 킴 의 단점은 제로 펑츄에이션에서 영향을 받은 방식의 리뷰 면서도 분석력과 드립력 그리고 발음 등, 모든 면에서 전혀 따라가지 못한다는 점이다."
2,"게임의 서사 문제나 주제의식 면에서 무언 갈 짚어 내지도 못하고, 장르의 특이성에 대해 이야기하는 건 엄두조차 내지 못한다."
3,사실 제로 펑 방식의 리뷰 같이 순수하게 텍스트 만으로 게임 리뷰를 밀어붙이려면 이에 대해 섬세하게 다룰 필요가 있다.
4,그럼에도 불구하고 리뷰 어가 이에 접근하지 못한다면 그건 역량 미스가 아닐까.
5,탈무드엔 이런 이야기가 있다.
6,거대한 상점에서 물건을 받아먹으며 연명하던 상인이 있었다.
7,그런 데 어느 날 그 도매상이 문을 닫게 되자 상인은 난처 해졌다.
8,"그 때, 하늘에서 목소리가 들려왓으니 ' 자, 네 가 남긴 걸 여우에게 먹이겠느냐."
9,호랑이가 남긴 걸 주워 먹겠느냐.
10,"' 메탈 킴은 과연 단순한 제로 펑 짭으로만 만족하면서 살까, 아니면 자기만의 오리지널리 티를 추구하는 멋진 리뷰 어가 될까?A"
11,: 고마워요~
12,알고 있는 사실을 굳이 뇌 속에서 꺼 내 눈깔에 쳐 박아 줘서.- 라이프 이즈 스트레인 지에 대한 심플한 영상 리뷰에 등장한 한 댓 글과 메탈 킴 의 반응. [4] 타 코 리뷰와 더불어 한국 유 튜브 게임 리뷰 쪽 시장의 미숙함을 보여주는 대표적인 사례다.
13,[5] 비판적 리뷰가 주 컨텐츠인 인터넷 방송인에게 있어서 리 뷰어로써의 자질 논란이 안 따라올 수 없다.
14,"문서를 보면 알듯이, 메탈 킴이 리뷰 모델로 삼은 제로 펑츄에이션도 논란에서 자유롭지 않고, 그로 인하여 비판을 받고 있다."
15,"메탈 킴 의 문제는 근본적으로 "" 게임을 잘 설명하고 싶은 남자"" 같은 멘트로 겜 잘 알을 표방하면서도 정작 게임에 대해 부족한 조사나 섣부른 판단 때문에 가장 중요한 신뢰성에 대해서 의심을 받고 있다는 것이다."
