,sentences
0,미국에 거주하는 유 튜브 크리에 이 터. 현재는 잠시 유 튜브 활동을 중단하고 휴식에 들어갔다.
1,휴식을 위해 유 튜브 댓 글 창을 전부 막아 놓았다.
2,"주력 컨텐츠는 자신의 미국에서의 삶을 담은 일상 Vlog, 데일리 메이크업, 패션 하 울이다."
3,귀여운 외모와 특유의 감각적인 편집과 분위기 있는 영상미 그리고 대부분 영어로 진행하되 항상 한글 자막이 달려 있기 때문에 많은 구독자를 보유하고 있다.
4,"처음엔 패션, 뷰티에 관한 영상을 만들기 위해서 채널을 개설했는데 일상 브이로 그로 특히 많은 사랑을 받아 브이 로그를 주로 찍고 메이크업, 패션 룩 북 같은 영상도 종종 만들고 있다."
5,"미국에서 태어나고, 3 살 때 한국으로 와서 초등학교 4 학년 1 학기까지 마쳤다."
6,다시 4 학년 2 학기에 가족을 따라 미국으로 이민을 갔다.
7,초등학교 4 학년 2 학기 때부터 미국에서 자랐는데 미국 학교에 적응하기까지 2년이 걸렸다고
8,한다.
9,처음에는 영어를 잘 못해서 ESL도 들었다고.
10,"오래 전부터 유 튜브의 동영상을 시청 하는 것을 좋아했었으며 주로 패션이나 뷰티 쪽으로 즐겨 보았고, 유 튜브의 커뮤니티를 너무 좋아했다."
11,"오래 전에 채널을 하나 만들었었는데, 올리다가 말았고, 또 다른 개인 채널이 있었는데 거기에는 가족들과 여행을 가거나 친구들과 재밌게 노는 모습을 담은 Vlog 영상들을 올렸다."
12,정작 자신은 뷰티나 패션 쪽에 관심이 많아서 이러한 컨텐츠를 올리기에는 부끄러워 지금의 'Youjin 유진' 채널을 따로 만들어서 활동을 하고 있다.
13,"컨텐츠 내에서 대부분의 영상을 영어로 진행하는 이유는 미국에서 어릴 때부터 오래 살다 보니 영어가 더 편하고, 일상적으로 더 깊이 사용되는 언어가 영어이기 때문이라고 한다."
14,그런다고 한국어를 못하는 것은 절대 아니다.
15,부모님과 한국어로 대화하고 한국 유튜버의 영상이나 한국 드라마와 한국 예능 프로그램을 자주 보고 케이 팝도 좋아한다.
16,학교에서 외국어 과목으로 스페인 어를 배웠지만 유창하게 하지는 못한다고 한다.
17,"키는 정확히 재보지는 않았는데, 168cm 조금 넘는다고"
18,한다.
19,"운전면허가 있으며, 영상 내에서 운전하는 모습을 보여 주는데, 100% 자신의 승용차는 아니고, 엄마랑 같이 사용하는 승용차라고 한다.Wanna"
20,One[6] 과 방탄 소년단 등 k-pop 가수들을 좋아한다.
21,"그 외에 이종 석, 키프클랜도 좋아한다."
22,악기를 다룬다.
23,학교에서 클라리넷을 배운다고 한다.
24,피아 노는 옛날에 치다가 그만 두었다고
25,한다.
26,과거에 무용을 오래 배운 경험이 있다.
27,춤추는 것을 좋아하나 진로를 무용 쪽으로 갈 생각은 없다고 밝혔었다.
28,유 튜브 활동에 더욱 매진하기 위해 그만뒀는데 인 스타 그램 스토리에 집에서 다시 무용 기술을 연습해 보는 영상을 올리는 등 여전히 무용에 대한 열정은 있는 것으로 보인다.
29,친언니 (Jenny) 와 The Aha Podcast 라는 팟캐스트를 운영하고 있다.Ana
30,luisa와 콜라보를 진행하여 목걸이를 제작했다.
31,유 튜버를 본업으로 할 생각은 없다고 밝혔다.
32,"아직 어떤 직업을 가지게 될 진 모르겠지만, 영상을 만드는 일에 관심이 있다고"
33,한다.DIVE
34,Studios에서 인턴 쉽을 했다.
35,"주로 Kpop Daebak Show with Eric Nam, How Did I Get Here?, What Would Jamie Do 팟케 스트 편집을 맡았다고"
36,한다.
37,또 한 영상 편집 및 자막 편집도 맡은 것 같다.
38,성장기 시절에 한국과 미국의 2가지 언어와 문화를 모두 경험하며 자란 TCK 이다.
39,"[7] 한국을 정말 좋아하지만, 미국이 더 편하고 Home처럼 느껴지기 때문에 앞으로도 계속 미국에서 살게 될 것 같다고"
40,하였다.
41,그러나 막상 학교에서는 외국인 친구들보다는 한국인 친구들과 더 친하고 더 가까운 사이라고 한다.
42,코로나가 점차 다시 퍼지고 있는 한국에 여행을 온 모습을 보여 비판을 받았다.
43,[8] 대학 입학을 미루고 1년 간의 gap year[9 ]를 가진다고 한다.
44,"코로나 19로 모든 것이 불확실한 상황에서, 입학을 한다고 해도 수업이 어떤 식으로 진행될지 미지수이고 온라인 수업으로 공부를 잘 해낼 자신이 없어 이러한 결정을 하게 되었다고"
45,밝혔다.
46,한국에 올 때부터 어느 정도는 생각하고 있었으며 따라서 당분간 미국이 아닌 한국에 머물면서 gap year를 보낼 예정이라고 한다.
47,"1년의 휴식기 언니와 함께 진행하는 팟 캐스트 중 한국에 대한 내용을 다룬 에피소드 (ep4, ep24 )에서 "" 한국인들은 풀 메이크업을 강요하고 외모와 유행에 극도로 집착하며 개성이 없어 모두가 같은 옷을 입고 옷가게에서는 온통 똑같은 옷만 판매한다."
48,여름에는 아무리 더워도 짧은 반팔 반바지를 입을 수 없으며 입을 시에 굉장한 눈치를 주어 긴 바지 긴 치마를 입고 가 디 건으로 가리고 다닌다.
49,""", "" 한국인들은 lactose intolerance( 유당 불내 증 )에 대한 개념도 표현도 없으며 존중하지 않아 식물성 우유를 찾아볼 수가 없다."
50,알러 지에 대한 지식도 없고 존중하지 않으며 또한 육류 섭취가 과하고 건강한 식습관에 대한 교육이 전혀 되어 있지 않다.
51,""" 등의 왜곡된 사실을 단정적이고 다소 무례한 표현( ""not educated"" )으로 미국과 비교하는 내용을 영어만을 사용해 올려 뒤늦게 이 사실을 알게 된 일부 한국 유 튜브 구독자들은 해명을 요구하였으나 모든 소 셜 미디어 소통 수단을 차단한 상태이다."
52,현재는 본인 계정을 다시 공개로 전환하였다.
53,논란이 발생하여 해명이 필요할 때면 유 튜브 댓 글을 막는다거나 SNS 계정을 비공개로 처리하는 등 소통 창구를 막는 대처가 반복되어 실망한 팬들도 있다.
