,sentences
0,메이플스토리의 정보성 영상을 주로 다루고 업 로드하는 유 튜버 메이 플 이득 충에 대하여 설명하는 문서다.2018
1,년 8월 25일 채널 생성 2018년 8월 27일 첫 영상 업 로드 2019년 7월 2일 나무 위 키 문서 생성 2019년 8월 10일 구독자 수 10만 달성 2020년 4월 16일 구독자 수 20만 달성 유 튜브 채널 이름에서도 알 수 있듯 메이플스토리에 관련된 정보 영상을 올린다.
2,영상 대부분이 정보성 위주라서 지루 해질 수 있지만 중간 중간 적당한 타이밍에 드립을 많이 넣어서 재밌게 볼 수 있다.
3,잔잔한 헛소리가 일품이다 현재 메이플스토리에서 진행 중인 이벤트에 적절한 시기에 맞춰서 영상을 업 로드한다.
4,"대표적으로 2018년 검은 마법사 업데이트의 하반기 전설 4 코인 샵의 하이라이트 물품들을 어떻게 활용해야 이득을 제일 볼 수 있는 가에 관한 영상, 어드벤처 이벤트 당시 갓 오브 컨트롤 1~20 스테이지 공략 영상 등이 있다."
5,[6] 물론 최근에는 역전되어 7월에 제작을 시작한 영상이 12월에 올라오기도 한다.
6,그래도 어떻게 보면 겨울방학 시즌 직전이라서 대비차원으로 보면 얼추 타이밍은 맞는다.
7,영상 스타일은 특별한 편집 효과를 거의 사용하지 않고 검은 배경 위에 메이 플 스토리 플레이 화면 또는 메이 플 스토리 소스 GIF와 텍스트만 있다.
8,하지만 내레이션으로 사용되는 본인의 목소리와 깔끔한 발음이 조화되어 단순하지만 알아듣기는 매우 쉬우며 갈수록 영상 퀄리티가 상승하고 있다.
9,메이 플 스토리 유 튜버 대부분에게 극도로 부정적인 의견을 내보이는 메이 플 인 벤 등의 커뮤니티에서도 이득 충 만큼은 믿고 본다는 평이 대다수. [7] [8] 이외에도 다 아는 내용이지만 무슨 드립을 칠까 또는 무슨 꿀 팁을 줄까 하는 이유로 찾아보는 고인물들도 많다.
10,다만 4 번째 5차 스킬 리뷰 영상부터 메겔에서는 평가가 엇갈리고 있다.
11,"한 가지 단점이라 하면 긴 영상 업 로드 텀. 영상 올라오는 간격이 기본적으로 몇 주 내지 몇 달 등등 굉장히 길고 이벤트가 거의 끝났는데도 올라오기도 해 월간 이득 충이란 별명도 얻었지만 영상의 퀄리티와 내용들은 정말 유익하고 초보자, 고인물들 할 것 없이 도움이 되기 때문에 20 만이 넘는 엄청난 구독자를 지니고 있다."
12,영상 안에서 구독자들에게 여러 가지로 도움이 될 만한 프로그램들을 공유하기도 한다.
13,대표적으로 갓 오 컨 공략 영상에서는 화면 안에 키보드를 띄워 두기도 하고 뉴트로 이벤트에서 익스 트림 러 쉬로 코 인 모을 때 눈 아픈 걸 방지하기 위해 가림 막 다운로드 링크를 걸어 두기도 한다.
14,이 외에 두 글자 닉네임을 양산하기 위한 녜 힁 생성기 등등. 가끔 씩은 구 글 스프레드 시트를 이용해서 방 무 계산기와 세 줄 코어 분류기까지 만든다.
15,가끔 생방송을 진행하기도 하며 이때는 메이플이 아닌 여러 게임들을 플레이한다.
16,생방송 영상은 후에 편집되어 유 튜브에 올라오게 된다.
17,팬 텀을 한 이유는 메이플을 막 시작했을 당시에 사기 직업이었기 때문이라고 한다.
18,데 벤 을 한 이유는 그 당시에 그렇게 좋은 직업은 아니었지만 사냥이 편하고 좋아서 했다 한다.
19,본 캐릭터는 비공개 상태이며 직업 군은 팬 텀이다.
20,레벨은 250 정도라고 대도 서관 영상에서 밝혔다.
21,메이 플 유니온 등급이 그랜드 마스터로 8000이 넘는다.
22,MVP 등급 또한 다이아로 유지 중인데 MVP 등급이 확장되는 패치에서 블랙 [24] 은 안되는데 레드는 된다고 언급한 전적이 있다.QnA
23,시간에 한 시청자가 물어보길 본인이 가장 이득을 못 본 때가 있냐라는 질문에 인형의 꿈이 현역일 때 뽑아 놓지 않은 것이라고 답하였다.
24,코어 강화 공략 영상에서는 본인은 문과라고 밝혔다.
25,중국에 연이 있는 것 같다.
26,1 달 정도 중국에 체류해서 영상을 못 만들었다거나 QnA에서 중국어 단어를 언급하는 등. [25 ]QnA 영상 속에서 코딩을 할 줄 안다고 했었다.
27,최근 대도서 관이 메이플을 시작하면서 1대 1로 메이 플 강의를 해 주고 있다.
28,이로 인해 대도 서관의 시청자들이 대량으로 유입되어 구독자가 엄청나게 올랐다.
29,메이 플을 시작한 계기는 2011년 당시 [26] 200시간 이상 스카이림을 하다가 더 이상 깰 컨텐츠가 없어서 주기적으로 업데이트되는 온라인 게임인 메이플에 눈을 돌린 것이라고 한다.2020
30,년 2월 16일 20시에 진행한 Q&A에서 아 잉 눈은 짐승의 눈이라고 말하였다.
31,커뮤니티 Q&A 댓 글에 혹자가 담백 함의 비밀이라는 닉네임을 내걸고 본캐 공개는 안하시나요?
32,라고 질문 한 것을 가져와 생 방에서 남의 닉네임을 뭘 그렇게 궁금해하냐고 깠다.
33,그와 동시에 저것이 이득 충의 메이 플 닉네임이 맞고 해당 계정은 이득 충의 부계가 아니냐
34,는 설이 돌고 있다.
35,"근거로는 엘리 시 움에 247 팬 텀과 232 엔버, 230 데 벤 을 키우고 있다고"
36,"하는데 이득 충의 영상에서 등장한 직업들이 팬 텀, 엔버, 데 벤 이고, 레벨들도 비슷한 점을 들 수 있다."
37,[27] 무릉도 52 층으로 이득 충은 데미안 솔 격이 가능한 스펙이라고 했으니 진짜 일 가능성이 높다.
38,[28] 이득 충이 아무나 까는 성향을 보이는 유튜버가 아니고 담백 함의 비밀이란 계정의 가입 일도 2월 13일로 생 방 시작하기 3일 전임을 생각하면... 모 사이트들에서 담백 함의 비밀이 이득 충의 본캐가 아니냐며 파헤치던 걸 그냥 본인 손으로 까발린 셈이다.
39,또 한 여러 증거들이 나오고 있는 중이다.
40,"엠 블 렘이라 던가.. 대도서 관이 이득 충에게 점심 식사로 초밥을 대접한 후기를 다룬 영상에서는, 이득 충이 잘생겼고 학벌도 좋다며 깜짝 놀랐다고"
41,거기까지만 이야기 하겠다고
42,했다.
43,"그리고 이전에 이득 충의 캐릭터라는 게 기정 사 실화된 담백 함의 비밀이 고려대학교 메이 플 스토리 동아리 현수막에 적혀 있었다는 것이 밝혀져, 여러 커뮤니티에서는 이득 충이 고려대학교에 재학 중인 것으로 추정하고 있다."
44,"또 한, 3월 25일에 공개된 영상 앞부분에서 코로나 이야기를 하며 본인 학사일정을 공개했는데, 고려대학교 학사일정과 일치하는 것으로 확인 사살. 최근 고려대학교 메이 플 스토리 동아리 페이스 북에 담백 함의 비밀 캐릭터의 인터뷰 글이 올라왔는데 담백 함의 비밀은 본인이 이득 충이 아니라고 강력하게 주장하고 있다."
45,그래서 인지 마미 손( 래퍼) 과 매 드클라 운 컨셉을 유지하려는 듯하다는 의견이 있다.
46,루 X 오 사건 이후 갑자기 여자 취급(?) 을 받고 있다.10
47,/31 라이브에 의하면 아 잉 벌레 봉제 인형 굿즈를 생각하고 있었으나 루 X 오 사태로 인해 그것마저 날 아가 버렸다 한다.
48,안녕하세요?
49,이득 충입니다.
50,"영상 시작 멘트 그리고 가장 중요한 거, 이 득 많이 보세요."
51,안녕 영상 클 로 징 멘트 그건 그 직업하신 니 잘못입니다.
52,연합 유 잠 &15 성 강화권 제대로 쓰는 법 中10 5 9 7 그렇습니다.
53,"씹 호구질. 메이 플 작의 모든 것! 부위별, 자본 별 작 완벽 가이드 中 밸런스 패치도 좀 하고 컨텐츠도 좀 잘 만들어 주면 우리가 알아서 돈 쓸게 니들이 그렇게 돈 쓰라 고 압박 안 해도 게임만 좋으면 돈 써 준다고... 좀 넥슨이 정신을 차리고 깨달았으면 좋겠는 게 뭐냐"
54,면 느그들 이 리 니지 처 럼 운영한다고 리니 지가 될 줄 아는데 아니에요.
