,sentences
0,군림보의 유 튜브 채널은 2013년 9월 12일에 개설되었다.
1,"로드 호그: 특유의 풍만한 뱃살과 군림보를 돼지라고 놀리는 군 청자들의 농담에 의해 탄생한 별명. 오버 워치 캐릭터 인 로드 호그 그 자체라는 농담이며, 어쩌다 군림 보가 오버워치에서 로드 호 그를 플레이하면 ' 캠 방 중이다', 좋은 플레이를 보여주면 ' 역시 로드 호그 그 자체 '라고 놀리는 것이 주가 된다."
2,돼 장님: 2017년 무렵부터 유행하기 시작한 말. 돼지+ 대 장님. 상당히 보편적인 별명으로 군림보 외에 여러 스트리머에게도 쓰이고 있다.
3,"자낳돼: 자 낳괴 + 돼지. 높은 액수의 도 네이션을 조건으로 특정 똥 총 쓰기, 특정 어려운 미션 달성하기 등의 과제가 주어지면 누구보다도 열심히 임하는 군 림보를 보며 군 청자들이 농담으로 던지는 말. 돼 기업: 돼지 + 대기업. 많은 수익을 올리는 중견 급 이상 스트 리머들을 비유적으로 이르는 말인 ' 대기업 '에 돼지를 붙인 말. 유독 2017년 말부터 고액 도네를 많이 받기 시작하고, 고액 후원 미션이 연달아 걸려 짭짤한 수익을 거두거나 생일날 도네 폭탄을 받는 등의 모습으로 붙게 된 별명이다."
4,"덜렁: 이미 한참 전에 유행하던 말인 ' 덜렁' 을 가져온 것으로, 군 림보 방송에서는 도 네이션을 할 때 보내는 메시지에 중간 중간 이 ' 덜렁' 을 섞어 보내는 것으로 웃음을 주는 용도이다."
5,"군 청자들은 ' 덜렁' 을 어디에, 얼마냐"
6,넣느냐에 따라 그 미묘한 리듬이 달라진다며(...) 한때 즐겨 사용한 드립이었다.
7,"한편 재미가 사그라들 무렵 갑자기 화폐단위로 이용되기 시작했다( 예를 들면 10 킬 이상 우승 시 20 덜렁 후원 이요). 1 덜렁 당 환율은 1,000원 (1 출렁 도 있는데 1 출렁은 10,000원이다."
8,하지만 사용하고 있는 단어는 아니다.).
9,찜 닭: 2018년 4월부터 군림 보가 즐겨 시켜 먹는 찜 닭 집이 2만원 정도 하기도 하고 금액이 큰 도네가 올 때 가끔 찜 닭 갯수에 비교해서 [99] 생긴 새로운 화폐단위. 가끔 씩 큰 액수로 후원 들어올 때마다 이 단위를 쓰는 일이 많아 지고 있다.
10,랍스터: 2019년 1월부터 추가된 화폐단위. 1 랍스터는 10만원이다.
11,비트 리머: BJ + 스트 리머. 군림 보가 트위치로 막 넘어왔을 당시 아프리카 TV 시절의 버릇을 버리지 못하고 도네를 받으면 계속 ' 별 풍선 몇 개 감사합니다
12,"'라고 말실수를 하다 정정하거나, 배 그에서 레드 존을 달려가며 'BJ 는 맞지만 나는 스트리머가 됐으니 맞지 않는다 '라고 말을 마치자마자 레드 존에 맞는 등 개그를 선보이자 등장하게 된 유행어. 비만 + 스트 리머 Pi G 컬: 말 그대로 피지 컬. 그대로 읽으면 피지 컬 이지만, 영어 부분만 따로 읽으면 Pig( 돼지) 라는 의미가 숨어 있다."
13,군림 보가 배틀 그라운드 또는 오버워치에서 뛰어난 피지 컬 과 실력을 보여주면 ' 역시 Pi G 컬 죽이십니다
14,' 라며 놀리는 용도. 파생어로 ' 돼지 컬' 도 있다.
15,군림보도 마음에 들었는지 배틀 그라운드 닉네임으로 사용한다.
16,"컴 컴 모 탑발하- 컴퓨터는 컴 마왕: 군림 보가 스폰서를 받고 있는 컴퓨터 구매 사이트 ' 컴 마왕 '에서 파생된 드립으로, 시도 때도 없이 ' 컴퓨터는?' 이라는 질문을 도네로 던져 군림보에게 ' 컴 마왕' 이라는 대답을 받아낸다."
