,sentences
0,"대한민국의 FPS 프로 게이 머. 우승 경력 스페셜 포스 생각대로 T 스페셜 포스 프로리그 2010-1st 우승 SK Telecom T1 →STX SouL→KT Rolster2010 제 5회 스페셜 포스 월드 챔피언십 우승 Wayi Spider→STX SouL→AMOTEL2011 한- 대만 스페셜 포스 프로리그 챔피언십 우승대회 출범 →STX SouL→ 대 회 폐지 생각대로 T 스페셜 포스 프로리그 2011-1st 우승 KT Rolster→STX SouL→ 대 회 개편 IEF 2011 스페셜 포스 우승종목 출범 →STX SouL→ 종목 폐지 스페셜 포스 24G LTE 스페셜 포스 2 프로리그 시즌 2 우승 CJ 엔 투스 →STX SouL→ 대 회 폐지 블 랙스 쿼드 2015 블 랙스 쿼드 BSN 시즌 1 우승 2015 블 랙스 쿼드 BSN 시즌 2 우승 2015 블 랙스 쿼드 BSN 시즌 3 우승대회 출범 →Lunatic-Hai →Online-Link 오버 워치 2016 오버 워치 월드컵 우승대회 출범→ 대한민국→ 대한민국 오버 워치 HOT6 APEX 시즌 2 우승 오버 워치 HOT6 APEX 시즌 3 우승 EnVyUs→Lunatic-Hai →GC Busan 서울 컵 OGN 슈퍼 매치 우승대회 출범 →Lunatic-Hai→ 종목 폐지배 틀 그라운드 2018 PUBG Korea League #1 정규리그 우승대회 출범 →Gen .G GOLD→Afreeca Freecs FatalBattle on 11th Street PUBG A TOUR 우승대회 출범 →Gen .G GOLD→ 대 회 폐지 펍 지 글로벌 인 비테 이셔 널 2018 TPP 우승대회 출범 →Gen .G GOLD→Gen .G Esports 준우승 경력 오버 워치 로지텍 G 오버 워치 대회 준우승대회 출범 →Lunatic-Hai→ 대 회 폐지 오버 워치 제닉스 파워리그 준우승대회 출범 →Lunatic-Hai→ 대 회 폐지 오버 워치 APAC Premier 2016 준우승대회 출범 →Lunatic-Hai →RunAwayIEM Season XI - Gyeonggi 준우승대회 출범 →Lunatic-Hai→ 종목 폐지배 틀 그라운드 AfreecaTV PUBG League SEASON 1 준우승 MVP→KSV CLES→KONGDOO REDDOTPUBG Warfare Masters Pro Tour 준우승 KONGDOO REDDOT→Gen .G PUBG Gold→ 대 회 개편 PUBG Survival Series Season 2 준우승 ROCCAT ARMOR→Gen .G PUBG Gold→ 대 회 개편 수상 경력 스페셜 포스 2011 생각대로 T 스페셜 포스 프로리그 결승전 MVP 김 찬수 (KT Rolster)→ 김 인재 (STX SouL)→ 박지 오 (CJ 엔 투스) 블 랙스 쿼드 2015 블 랙스 쿼드 BSN 시즌 2 결 승전 MVP 대회 출범→ 김 인재 (Lunatic-Hai)→ 이태준 (Lunatic-Hai) 배 틀 그라운드 펍지 글로벌 인 비테 이셔 널 2018 TPP MOST KILLS 대회 출범→ 김 인재 (Gen .G GOLD)→ 대 회 개편 펍 지 글로벌 인 비테 이셔 널 2018 TPP LONGEST SURVIVAL 대회 출범→ 김 인재 (Gen .G GOLD)→ 대 회 개편 [5] 스페셜 포스, 스페셜 포스 2, 블 랙스 쿼드, 오버 워치, PUBG. 다섯 종목 석권으로 대표되는, 국내 FPS 판에서 역대 급 커리어를 남긴 선수이다."
1,"에스 카 인터뷰 기사 에스 카 경력 기사 스페셜 포스로 데뷔했고 스페셜 포스 2, 블 랙스 쿼드, 오버워치를 거쳐 배 틀 그라운드에서 활발하게 활동했던"
2,FPS 프로 게이 머이다.
3,"스페셜 포스 당시에는 STX Soul 소속이었고, 블 랙스 쿼드, 오버 워치 프로 팀이었던"
4,Lunatic-Hai의 팀장이었다.
5,"스페셜 포스와 블랙스쿼드에서는 라이플 맨이었고, 오버 워 치 포지션은 DPS 였다."
6,"블 랙스 쿼드 리그 인 BSN에서 활동할 당시에는 최강자의 반열에 올랐으며, 오버 워치 프로 게이 머로 활동할 당시에는 스페셜 포스 2와 블 랙스 쿼드 프로 게이 머 출신답게 히트 스캔 위주의 DPS로 활약하였다."
7,오버 워치 초반에 맥 크리로 이름을 알리기도 했다.
8,KT GIGA 오버 워치 BJ 리그 보 겸 팀의 DPS로 참가해 준우승을 차지하였으며 2016 오버 워치 월드컵 국가 대표 선수로 지명되며 무실 세트로 우승하였다.
9,개인방송 횟수가 적지만 훈훈한 외모와 실력 덕분에 팬이 많다.
