,sentences
0,"게임 영상 투고 및 게임 번역을 주로 하는 유 튜버 .AI 설이 나돌 정도로 과묵하고 묵묵하게 단 한 마디의 목소리도 들려주지 않고 게임에만 집중 [6] [7] 하기 때문에, 유튜버들의 시끄러운 목소리가 듣기 싫고 게임 화면에만 집중하고 싶어 하는 사람들이 주로 찾는 유 튜 버이다."
1,주로 게임 관련 영상들을 올리고 있으며 외국 게임 트레일러의 한글 자막을 달기도 한다.
2,수행하듯이 게임 관련 영상이나 트레일러만 딱딱 올리는 것이 특징이다.
3,영상에 군더더기가 없어 좋게 보는 사람들이 많다.
4,"영상 번역 쪽에선 거의 영화 트레일러 계의 한 반지 수준으로 성실한 데 다가, 딱히 아무런 사견을 남기지도 않고 오로지 번역 작업만 한다."
5,"모르는 사람이 보면 평범한 개인이 아니라, 기자나 매거진에서 번역 작업하는 걸로 착각할 수준. 정말로 열심히 활동하고 있다."
6,"너무 열심히 작업하는 나머지, 댓 글에 종종 감금 설 및 복제 인간, 비둘기 설이 올라올 정도다."
7,실제로 E3 2018이 가까워 지고 신작들이 마구 공개되자 거의 하루에 한 개씩 영상을 올렸다.
8,그 와중에 신작 디트로 이트: 비 컴 휴먼의 플레이 영상까지 찍어 올렸다.
9,이 채널의 주력 콘텐츠인 ' 게임 사 트레일러 & 게임 플레이' 재생 목록의 경우에는 2013년에 올라왔던
10,3개의 영상을 제외하고는 2015년 10월 30일부터 거의 쉬지 않고 쭉 내달려 왔음을 알 수 있다.
11,거의 사람이 아니라 매크로 수준으로 생각될 정도의 성실함이다.
12,"게다가 게임 플레이 실황 및 엔딩 모음, 추천 게임 모음 등등의 다양한 컨텐츠까지 합하면 3000개가 넘는 영상을 가지고 있는데, 이것까지 생각하면 도저히 한 사람이 운영하는 게 맞긴 한 건지 의심이 될 정도. 게다가 서브 채널로 방앗간 비둘기 무비도 운영하고 있다."
13,"[8] 그나마 소통이라고 하는 건 게임이 무료로 풀리거나 파격적인 할인을 할 때 유 튜브 커뮤니티를 통해 정보를 올려 주는 정도. 가끔 영상마다 편집, 자막, 볼륨 오류만 댓 글로 올려 주는 경우도 종종 있다."
