,sentences
0,꺾꺾 꺾꺾꺾꺾 [19] 감사합니다!
1,"뿌뿌! [20] 나이스!! GG!! [21] [22] 트위치, 유 튜브에서 활동하는 게임 방송인. 배틀 그라운드 솔로 모드를 주 방송 소재로 게임 스트리밍을 하는 실력 형/ 즐 겜 형/ 소통 형 방송인이다."
2,닉네임의 뜻은 오버 워치 + 어린이 [23] 이며 배그 스트리머에게 이 이름이 쌩뚱 맞게 느껴질 수 있지만 방송 시작 이전부터 오버워치에서 사용하던 아이디를 그대로 유지한 것 뿐이다.
3,애초에 왜 오린 이라고 닉네임을 정했냐
4,"는 질문을 듣자 그저 "" 이름이 이뻐서"" 라고 답 하였다."
5,"스트 리머 활동 이전인 2017년 8월까지 는 오버워치를 주 컨텐츠로 플레이 영상만 올리는 "" 유 튜버"" 로 활동, 위도 우 메이커를 주 영웅으로 랭커까지 달성한 적이 있고 [24] 오버워치를 접은 이후에는 배 틀 그라운드를 방송의 주 콘텐츠로 삼아 2017년 10월 30일부터 스트리밍을 시작했다."
6,"배틀 그라운드 방송/ 유 튜브 활동 초기 당시 유 튜브에 중급 자들을 위한 심화된 배 틀 그라운드의 교전 / 팁 / 탑 텐 운영 강의 영상을 집중적으로 업 로드 하는 것으로 주요 컨텐츠를 이루어 그로부터 많은 조 회수를 기록했고 당시 "" 오린 이 선생님"" 이라는 컨셉을 유지했다."
7,이는 몇 달 이상 지속되었었으며 이는 오린 이가 많은 대중들에게 처음으로 자신을 크게 드러냈던 자기 소개 이자 커다란 영향이었다.
8,그 당시 몇 몇 영상들은 일시적인 조 회수 붐을 맞았었는데 유 튜브 활동 초기였기 때문에 현재 해당 영상들의 조 회수를 생각해 보면 초기 컨셉 활동의 파급력이 정말 컷 음을 짐작해 볼 수 있다.
9,그 이후로도 쭉 배 틀 그라운드를 소재로 메인 컨텐츠로써 유 튜브 영상과 컨텐츠 및 스트리밍을 이어 오고 특별한 공백 없이 꾸준히 방송을 지속하며 활동 중이다.
10,"매주 금요일 정기 휴 방 제외, 매일 오후 9시 [25 ]에 트위치 와 유 튜브에서 동시 송출 스트리밍을 한다."
11,"처음 방송 시작 계기는 예전 오버 워치 위도 우 랭 커 시절, 오버 워치 커뮤니티에 위도 우 공략 법을 올리곤 했고 [26] 그 당시 사람들이 공략 법을 직접 찍어 달라는 요청과 방송을 해 달라는 요청에 따라 시작했다고"
12,한다.
13,그래서 현재 방송 닉네임도 오버 워치 시절 사용하던 아이디인 것이다.
14,과거에는 하루 지각을 하면 그 주를 대부분 지각할 정도로 지각이 잦았다.
15,[27] 방 종 시간은 형식 상 12 시간 후인 오전 9시였다.
16,하지만 과거엔 ???: 아 진짜 1승만 하고 방종할게요
17,식으로 흘러 버려서 9시가 넘어서 방종하기도 했다.
18,[28] 그러나 2019년 초 중반 잇따른 대지각으로 티끌들에게 몰매를 맞고 최근 [29 ]에는 늦어도 오후 9시 20분 이전에는 방송을 켜고 조금이라도 늦을 것 같으면 미리 공지를 작성한다.
19,늦는 건 상관없으니 공지라도 써 달라는 티끌들의 말을 잘 지켜 주고 있다.
20,게다가 2019년 중 후반 오린 이의 너무 잦은 지각에 청자들의 불만이 심 해져 트게 더 공지를 통해 이제 2 부 게임은 없을 거라고 밝혔다.
21,이유는 2부 없음- >2 부를 원함-> 지각 이 반복돼서 라고 한다.
22,하지만 초반엔 지각을 하지 않았지만 지금은 여전히 지각을 한다 보통 새벽 2~3 시까지 는 배 틀 그라운드를 고정하여 플레이하고 멘 탈이 깨졌거나 피곤하면 방종을 한다.
23,"2018년도 까지는 보통 오전 9시까지 방송을 하며 하루 12 시간 방송을 했지만 최근에는 주로 3~4 시, 아무리 늦어도 오전 5시 전에는 방 종을 한다."
