,sentences
0,★★ No.1 모바일 FPS 스페셜 솔 져!! ★★ 웰 게임 즈( 현 넥 슨 레드 )에서 만든 모바일 FPS 게임. 2015년 2월 말에 정식 서비스를 시작했으며 前 모바일 스페셜 포스 개발 진들이 모여 만든 게임으로 유명하다.
1,여담으로 캐릭터 라디오를 들으면 카운터 스트라이크 시리즈의 봇 라디오를 그대로 옮겨 놓은 것을 알 수 있다.
2,2016년 5월 15일 넥 슨 GT가 201억원에 웰 게임 즈 지분을 전권 인수함과 동시에 스페셜 솔 져 의 하반기 iOS 버전 출시를 예고했으며 2016년 6월 16일 출시되었다.
3,"원래 12세 이용 가였지만, 그래 픽 패치와 함께 15세 이용 가로 바뀌었다."
4,[7 ]2020 년 7월 10일 서비스 종료되었다.
5,"모바일 게임으로 5년 동안 서비스했으니 오랫동안 살아남은 장수게임으로 봐도 될 듯. 서비스 종료 사유는 아마도 과도한 과 금 유도와 각종 버그, 핵을 안 고치는 넥 슨 덕이 아니었을까..."
6,  자 세한 내용은 스페셜 솔 져/ 게임 모드 문서를 의 번째 문단을의 부분을 참고하십시오.
7,  자 세한 내용은 스페셜 솔 져/ 맵 문서를의 번째 문단을의 부분을 참고하십시오.
8,  자 세한 내용은 스페셜 솔 져/ 무기 문서를 의 번째 문단을의 부분을 참고하십시오.
9,  자 세한 내용은 스페셜 솔 져/ 캐릭터 문서를 의 번째 문단을의 부분을 참고하십시오.
10,"잦은 오류 전투 중 부활 시 캐릭터가 공중에 떠 있거나, 공격당하고 몇 초 뒤에 뒤늦게 죽고, 상술했듯이 연결이 끊겨 전투에서 나 가져도 탈주 패널 티가 걸리는 등 여러 오류가 존재한다."
11,이 많은 오류들은 스페셜 솔 져 태생부터 존재해 왔으며 몇 년째 고쳐 지지 않는 중대한 문제다.
12,수준이 떨어지는 모션과 그래픽 장전 모션이 상당히 대충 만들어 져서 탄창이 분리되지도 않는다.
13,또 한 캐릭터의 움직이는 모션도 상당히 간략화 되어 있어 어색함을 주기 쉽다.
14,2015년 작임에도 불구하고 수준이 굉장히 떨어진다.
15,최근 대규모 업데이트로 그래픽이 좋아졌다고
16,"는 하나, 그래 봤자"
17,텍스 쳐 상향 정도밖에 없기에 여전히 사라지지 않는 문제다.
18,이 때문에 게임의 내부적인 시스템은 해결하지 않고 외부적인 그래픽만 그럴싸하게 바꿨다는 비판도 존재한다.
