,sentences
0,다 카이~ [4] 안녕 하세요 닥터 파이 업니다.
1,주로 금속 [5] 을 이용하여 게임 속에 나오는 물건들을 제작하는 유 튜 버이다.
2,줄여서 ' 닥 파' 라고 부르기도 한다.
3,"클래 시 로얄의 왕관 트로피를 제작한 후, 주로 클래 시 로얄, 배틀 그라운드, 오버 워치, 원피스, 브롤 스타 즈 등장인물의 무기 등을 다루고 가끔 만든 물건들을 배포하는 이벤트를 열기도 한다."
4,"물론 그가 쇳물, 불장난(?) 만 일삼는 것이 아니라 가끔 피 젯 스피너나 물건들을 갖고 놀기도 한다."
5,"제일 초기의 영상 제목을 보면, 닥터 파이어는 케이 팜 이라는 이름으로 시작한 것으로 보인다."
6,구독자 애칭은 닥둥이. 최근에는 오버워치에 나오는 무기를 소재로 제작하고 있다.
7,"[6] 영상을 시작하고 어떤 것을 만들 것인지 설명 후 "" 예~ ""라고 한다."
8,닥파만의 말투가 있다.
9,"쉽게 설명하자면 똥 쌀 때 힘주는 소리를 "" 예~ ""라고 하면 된다."
10,그리고 뜬금없이 고현 정사진이 우↑ 후↓ 후 ↑라고 한다.
11,[7] 쇳물을 부을 때 슬로우 모션과 함 깨 잔잔한 음악이 흘러나온다 [8] 주석이 굳어 모습을 확인할 때 Na wan ray[9 ]를 부른다.
12,닥터 파이어가 구독자 5만명을 기념으로 만들었다고
13,한다.
14,[10] 팬들 사이에서 인기 있는 노래이다.
15,병맛 가사와 마지막 부분 때문인 것 같다.zzh
16,라는 사람이 작곡하고 닥터 파이어가 불렀다.
17,이 영상은 좋아요
18,"약 1.2만개, 조 회수는 약 996,429회이다 [11]. 다음은 가사이다."
19,닥터... 닥터 닭 털... 닥터 닥터 닥터 퐈이야!!! 불장난이 보고 싶쥐? 닥터 파이어! 장난감이 갖고 싶쥐? 쇳물을 녹여 라!( 녹여라!)
20,( 파이어!) 불장난이 보고 싶쥐? 닥터 파이어! 장난감이 갖고 싶쥐? 쇳물을 녹여 라!( 녹여라!)
21,"( 파이어!) 네, 안녕 하세요 닥터 파이어 입니다."
22,네?
23,네?
24,하잇- 하잇- 하- 하잇- 안녕하세요?
25,안녕하세요?
26,네- 네- 네네 네네 닥터 닥터 파 파 파파 파파 파이 욥 니다~ 대대 대박 대박 오( 대 박) 오! 오 오 오오 오오 오오 오오 오오 오오 오오 옹옹 오오 옹( 닥터 퐈이야!!!)( 오~~) 로맨틱 불쟁이~ 꿀 성대 꿀 재미~ 뇌 섹 남 쇳물 왕~ 당신은... 닥터 파이어!( 오~~) 로맨틱 불쟁이~ 몰래 폰 꿀 재미~ 닥 둥 아 몰 폰 하다... 엄크 뜬다~~( 닥터 퐈이야!!!)( 오~~) 로맨틱 불쟁이~ 꿀 성대 꿀 재미~ 뇌 섹 남 쇳물 왕~ 당신은... 닥터 파이어!( 오~~) 로맨틱 불쟁이~ 몰래 폰 꿀 재미~ 닥 둥 아 몰 폰 하다... 엄크 뜬다~~( 닥터 퐈이야!!!) 닥 파는... 오늘도... 불 장 난..(* 잡음* 닥터 파이어!!!)( 이제 쇳물을 한번 녹여 볼까요?)1
27,편 2편 3 편 닥터 파이어의 채널이 불곰국 해커에게 해킹을 당한 적이 있다.
28,"사건의 전말은 유 튜브 채널 공식 인증 배지를 준다는 메일에 혹해 이메일 주소와 구 글 비밀번호를 입력해 버린 것. 물론 그건 사기였고, 결국 닥터 파이어의 채널은 불곰국 해커의 손에 들어가고 만다."
29,"그리고 닥터 파이어는 지인의 도움을 받아 해외 구 글에 도움을 청했고, 계정은 복구되었으나... 닥터 파이어의 채널은 MCN에 들어가 버렸다. MCN에 들어간 채널의 수익은 모두 MCN에 돌아가서 해커가 신상정보 입력 없이 돈을 빼갈 수 있게 된다."
30,하지만 불곰국 기업이 영어를 구사할 수 있을 리가. 사실 벨라 루스에 본사가 있다고
31,한다
32,"MCN에 아무리 문의를 넣어도 상황은 나아지지 않았는데, MCN 본사 건너편에 얼마 전에 함께 광고를 진행한 광고 대행사가 있다는 걸 알아챈 닥터 파이어는 결국 광고 대행사를 통해 MCN 탈퇴에 성공했다."
33,서브 채널으로 닥터 퀴즈 채널이 있었다.
34,화~ 토 업 로드 되던 ( 일주일 4~5 회) 닥터 퀴즈는 2018년 9월 20 일 닥터 퀴즈의 마지막 영상 [12] 이 올라오고 더 이상 영상을 올라오지 않았고 닉네임은 DrFire로 변경되었다.
35,[13] 그리고 현재는 The DIY 라는 이름의 채널로 바뀌었다.
