,sentences
0,유 튜버 MR 엠알이 설립한 케이스 브랜드이다.
1,"푸른의 가장 첫 판매 제품. 생 폰의 디자인, 두께를 최대한으로 지키면서 최소한의 내구성을 위해 기획, 개발된 케이스이다."
2,주요 특장점 ( 판매자 측 주장) 시간이 지나며 황변현상이 생기는 TPU( 열가소성 폴리 우레탄) 재질의 젤리 케이스에 비해 변색이 없는 PC( 폴리 카보네이트) 소재를 100% 적용하여 최대한의 투명도를 높였다.
3,"스피커, 마이크 홀 등의 구멍과 맞아 떨어지는 정밀한 설계를 하였다."
4,가벼운 무게를 가졌다.
5,자체적으로 개발한 도트 패턴으로 유막 현상을 방지하면서 디자인을 해치지 않도록 하였다.
6,충전 포트를 여유롭게 설계하여 주변기기 호환성을 높였다.
7,제 스쳐를 할 때 이질감 없도록 높이 설계를 하였다.
8,무선 충전 효율을 극대화하였다.
9,"푸른 공식 판매 사이트에 올라온 아이 폰 11 케이스의 포토 상품평 및 구매 평, QnA가 초기화 되었다."
10,"출시할 때 고객들에게 포토 상품평을 달아 달라고 했으나 무슨 이유인지 모르지만 노트 10, 갤 럭 시 S20 제품 등록과 함께 초기화 되었다."
11,주식회사 푸른은 자사 케이스의 디자인 출원사실을 오기 재하여 한국지식 재산권 보호원으로 부터 시정 안내 받은 바 있다.
12,"주식회사 푸른은 디자인 출원 제품을 디자인 특허 출원 제품이라고 명시하였고, 단순 출원 제품을 등록 제품과 오인 가능하게 서술하였다."
13,출원: 특허/ 상표/ 디자인 신청 제출 등록: 제출된 신청이 심사를 통과한 것 따라서 작성일 기준 (2020 년 10월 3일) 푸른의 청량 케이스는 아직 관련 기관에서 고유의 디자인으로서 인정 받지 않은 상태이다.
14,"청량 케이스의 공식 광고와 소개에 따르면 "" 도트 패턴"" 을 넣어 유막 현상을 방지하였고 "" 특수 코팅"" 처리로 독보적인 스크 레치 방어, 스크 레치 자가 치유를 광고 하였다."
15,하지만 교환 및 반품 규정 FAQ를 보면 말이 달라진다.
16,"요약하자면 유막 현상, 제품 탈 착 시 스크레치는 불량 범위가 아니라는 것이다."
17,"단순 개봉, 착용만 하더라도 판매자가 정한 불량 기준에 벗어나면 교환 및 반품이 불가능하다."
18,고가의 제품에서 특장점으로 광고하던 것 들이 구 매 후에는 품질에 대한 보증을 전혀 받을 수 없다고 볼 수 있다.
19,믿을지 말지는 여러분의 몫. 아래는 푸른의 교환 및 반품 규정에 관련된 민원에 대한 공정거래위원회의 답변이다.
20,"( 전략)"" 전자상거래 등에서의 소비자보호에 관한 법률""( 이하 "" 전자 상 거래법"" )에서는 통신판매업자와 재화 등의 구매에 관한 계약을 체결한 소비자가 계약 내용에 관한 서면을 받은 날부터 7일 또는 그 서면을 받은 때보다 재화 등의 공급이 늦게 이루어진 경우에는 재화 등을 공급 받거나 재화 등의 공급이 시작된 날부터 7일 이내에 해당 계약에 관한 청약 철회를 할 수 있도록 규정하고 있습니다."
21,"다만 청약 철회를 할 수 없는 예외규정도 존재하는데 소비자에게 책임이 있는 사유로 재화 등이 멸실되거나 훼손된 경우, 소비자의 사용 또는 일부 소비로 재화 등의 가치가 현저히 감소한 경우, 시간이 지 나 다시 판매하기 곤란할 정도로 재화 등의 가치가 현저히 감소한 경우 등이 이에 해당됩니다."
22,"해 당 문구 중 "" 착용 후"" 문구에 대하여, 피 민원인은 해당 제품은 PC 소재의 투명 휴대폰 케이스로 스마트 폰과 아주 밀착되어 결합되며 해당 제품의 경도가 스마트 폰의 경도보다 현저하게 낮기에 1회의 착용만 하여도 내부에 작은 스크래치, 흠집, 지문 자국 등의 사용 흔적이 남아 상품의 가치가 현저하게 떨어져 재판매가 불가하기 때문에 청약 철회 불가로 안내하였다고"
23,소명하였습니다.
24,따라서 이는 소비자의 사용 또는 일부 소비로 재화 등의 가치가 현저히 감소한 경우로서 청약 철회의 예외 사유에 해당된다고 볼 수 있습니다.
25,""" 단순 변심"" 문구에 대하여, 피 민원인은 단순 변심이라도 7일 이내에 환불을 신청하면 제품상태 확인 후 사용 흔적, 파손 등이 없을 시 환불을 해 주고 있다고"
26,"소명한 바, 공정거래위원회는 해당 문구가 자칫 단순 변심에 의한 청약 철회를 거부하는 것으로 오인될 수 있다는 점을 알리고 시정을 요청하였습니다."
27,"""7 일 이후"" 문구에 대하여, 피 민원인은 단순 변심의 경우 7일 이후에 환불이 불가 하다는 뜻이며, 불량제품의 경우에는 7일 이후에도 환불을 해 주고 있다고"
28,"소명한 바, 공정거래위원회는 해당 문구가 모든 상황에서 7일 이후의 청약 철회를 거부하는 것으로 오인될 수 있다는 점을 알리고 시정을 요청하였습니다."
29,( 후략)
