,sentences
0,서버 (server) 는 클라이언트에게 네트워크를 통해 서비스하는 컴퓨터를 의미한다.
1,"인터넷 하면 중앙에서 관리해 주는 메인 컴퓨터가 있는 것으로 생각하는 이들이 있으나, [2] 사실 인터넷은 수많은 서버들이 거미줄처럼 얽혀서 형성된 것이다."
2,"홈페이지를 운영하려면 서버가 반드시 필요하며, 온라인 게임이나 웹게임들도 서버를 통해서 서비스를 하고 있다."
3,"보통 어느 정도 규모가 있는 기관에서는 데이터베이스, 웹 어 플 리 케이 션 서버 등등에 방화벽, 라우터 등이 붙어 네트워크를 형성한다."
4,"마치 우주처럼 보이는 인터넷 지도 [3] 출처 앞서 나온 구 글 데이터 센터의 서버들처럼 랙 안에 설치되어 항온 항 습기를 사용해 온도/ 습도가 유지되는 환경에서 소중히 모셔 지는 경우에서부터, 그냥 일반적인 PC를 사용하여 서비스를 제공하는 경우까지 매우 다양하다."
5,전문적으로 서비스를 제공하는 업체에서는 전용의 장비를 사용하는 것이 일반적이다.
6,서비스 규모가 커질 수록 서버의 규모도 커지기 때문에 구 글이나 페이스 북 같은 세계 구급 서비스의 경우 대부분 자체적으로 데이터 센터를 운영한다.
7,국내에서도 2013년 6월 네이버에서 데이터 센터를 완공하여 운영하기 시작했는데 구 글 데이터 센터나 네이버 데이터 센터 그리고 페이스 북 데이터 센터를 보고 있자면 이게 서버인지 우주기지인지 구분이 안 될 정도로 그 규모가 엄청난 것을 알 수 있다.
8,메인 컴퓨터 맞네
9,[4] 접속 량이 많을수록 서버의 부담도 높아 지기 때문에 서비스의 규모에 따라서 운영하는 서버의 성능과 대수가 다르다.
10,"온라인 게임들이 주기적으로 점검을 하는 것도 바로 서버 점검을 하기 위함이며, 사용자가 몰려서 게임이 제대로 안 돌아간다면 다른 이유도 있겠지만 대부분의 경우 이 서버가 감당하지 못해서 생기는 현상이다."
11,엔씨 소프트에서 서비스하는 아이온은 2008년 11월 기준 6개국에서 261대의 서버를 운영하고 있다고
12,한다.
13,"# 법적으로, 인터넷 컨텐츠를 수사할 경우 서버의 소재 국가에 따라서 어느 나라 법을 적용하느냐"
14,가 달라지며 이것도 속지주의의 일종이다.
15,나무위 키는 서버가 해외에 위치해 있어 대한민국 법률이 적용되지 않는다.
16,하지만 작성자가 대한민국에 있다면 제한적으로 적용될 수 있으므로 주의가 필요하다.VPS
17,호스팅 업체에서는 가상 서버라는 것을 임대해 준다.
18,물리적 서버를 분할하여 루트 권한을 가진 서버를 가질 수 있다.
19,가상 서버 한 개를 임대하면 웹서버를 포트를 정하여 여러 개 운영할 수 있다.
20,"[5] 이론적으로 사용 가능한 포트 번호는 0~65535 사이이나, 이 중 상당수의 포트는 이미 예약되어 있다."
21,1024 이하의 포트는 정해진 프로 토 콜 이외에는 함부로 사용하지 않는 것이 좋다.
22,서버를 위한 하드웨어는 컴퓨터이면 된다.
23,"성능이 어느 정도 요구되는 지에 따라 고성능 고 안정성의 컴퓨터를 쓰기도 하고 중고 똥 컴이나 중고 폰, NAS, USB 포트 달린 공 유기, 개발보드 등을 쓰기도 하는 것이다."
24,"개인 블 로그나, 위 키를 돌리는 정도라면 다 합쳐서 손바닥 크기도 안 되는 개발보드로도 쾌적한 사용이 가능하다."
25,개인이 운영하는 웹사이트/ 웹게임 정도라면 가정이나 회사에서 흔히 찾아볼 수 있는 낡은 사무용 컴퓨터로도 충분하다.
26,또 하드디스크의 가격 하락과 유무선 공유 기의 보급 덕에 집에서 NAS나 애플의 맥 미니를 이용해 개인용 서버를 운영하는 경우가 늘어나고 있다.
27,"NAS에는 주로 시 놀 로지 DSM, OMV, free4nas, CentOS와 같은 리눅스 계열 운영체제가 탑재되는 경우가 보통이며 애플의 맥 미니에는 옵션으로 macOS Server가 들어갔다."
28,[6] 과거 애플은 서버컴퓨터인 Xserve도 내놓았지만 단종되었다.
29,"맥 사이에서 써야 빛을 내는데 애초에 그런 환경이 당시 드물었고, 가성 비까지 별로 라 단종되었다."
30,"현재 맥 프로와 맥 미니로 대체되있으며, 랙 마운트 어댑터도 구매할 수 있다."
31,하지만 접속자 수가 늘어나고 접속자들의 작업량이 많아 지는데도 원활한 접속을 24 시간 안정적으로 제공하려면 가정용 컴퓨터 정도로는 안 되기 시작한다.
32,따라서 서버 전용 하드웨어를 사용한다.HP
33,ProLiant ML110 Gen9. 일반 가정용 컴퓨터와 비슷한 모양을 하고 있는 서버컴퓨터이다.
34,가정용 컴퓨터와의 차이 중 하나는 전원 스위치가 작다는 것이다.
35,사진의 ODD 슬 롯 오른쪽을 자세히 보면 초록색으로 빛나는 것이 전원 스위치이다.
36,서버컴퓨터는 대체로 24 시간 항상 켜 놓는 걸 전제로 만들기 때문에 실수로 누르지 말라고
37,전원스위치를 작게 만들거나 케이스 깊숙한 데 만든다.
38,볼펜으로 누르게끔 만든 것도 있고 아예 열쇠로 잠긴 자물쇠를 풀어야 누를 수 있게 만드는 것도 있다.
39,안정성을 높이기 위해 좀 더 비싼 고급 부품을 쓰고 하드디스크와 전원장치는 2개 이상씩을 달아 서버를 끄지 않는 상태에서도 교체가 가능한 값비싼 컴퓨터를 사용한다.
40,제트기 소리가 나는 건 덤. 가정용 컴퓨터는 나만 필요할 때 쓰고 끄면 되지만 서버의 경우는 다른 사람들도 접속하여 사용하므로 특별한 일이 없다면 24 시간 내내 돌리게 된다.
41,보통 인터넷 서비스에 사용되는 서버는 랙 마운트에 수납되어 데이터 센터에서 관리한다.
42,"가정, 회사, PC 방 등에서 쉽게 찾아볼 수 있는 컴퓨터는 말 그대로 일반적인 성능을 가진 컴퓨터라고 본다면 워크스테이션은 서버와 일반적인 컴퓨터 사이라고 보고, 서버는 극한의 성능과 안정성을 가진 전용 부품들을 쓰고 일반 컴퓨터에 서버 부품들을 써서 극한의 성능과 안정성을 통해 작업이 가능한 전문가용 컴퓨터다."
43,"[7] 컴퓨터의 성능 외에, 서버를 운영하는 데는 가정용 회선으로는 부족할 수도 있다."
44,보통 DDoS 테러를 한다고 하면 타겟이 되는 것이 바로 이 서버. 접속 량을 과도하게 늘리면 서버가 감당하지 못하다 뻗어 버림으로써 사이트가 마비된다.CPU
45,나 메인 보드 같은 것도 엄연히 서버용이 따로 존재하고 가격 또한 비싸다.
46,"CPU는 인텔의 제 온, 아이 테니 엄 AMD의 옵테론등이며, RAM 역시 일반적인 DDR SDRAM이 아닌 레지 스터드 ECC RAM을 쓴다 서버 메인 보드 역시 안정성을 최우선으로 오 버클 럭 따위는 불가능하고 E-ATX 규격의 사이즈인데 메인 보드 기판의 구성을 보면.. 듀얼 or 쿼드 CPU 소켓 최소 6개 이상의 ECC RAM 소켓 노 스브릿 지 [8] 사우스 브릿 지온 보드된 RAID 칩셋과 64~128MB 버퍼메모리 [9] 온 보드된 그래픽 칩셋과 8~16MB 비디오 메모리 [10] 듀얼 LAN 카드와 칩셋 [11 ]PCI-EX 64Bit 2~4 개 슬 롯 [12 ]PCI 32bit 2~4 개 슬롯이정도를 메인 보드 하나에 다 때려 박아야 하니 크기가 커지는 이유다."
47,파워 서 플라이 역시 기본이 1000~1400w 정도를 먹고 데이터 센터 급이라면 당연히 UPS[13] 도 설치해야 한다.
48,하드 디스크도 용량과 안정성을 감안해서 증설해야 하고 다수의 디스크 증설시 RAID 카드는 필수다.
49,물론 위에 언급한 대로 최고가 서버 보드에는 RAID 칩셋이 박혀 있지만 설치갯수에 한계가 있기도 하고 괜히 보급 형 샀다가 RAID 자리에 휑한 공기 판을 보고 있자면 한숨 쉬고 외장형 RAID 카드를 장만하게 되는데 칩셋 제조사와 성능에 따라 가격은 천차만별이다.
50,하이 포인트 사의 Rocket RAID 카드야 30만원 대 구매가 가능하지만 RAID 계의 본 좌 아 답 텍 사의 RAID 카드는 최소 100만원 이상이다.
51,서버 컴퓨터용 OS도 따로 있다.
52,직접 사용하기보다는 외부에 서비스를 제공하는 게 목적이므로 일반용과는 차이가 많다.
53,"유닉스, 리눅스 [14] 계열 서버운영체제는 대부분 CUI 인 경우가 많은데 이들 컴퓨터에는 모니터조차 달지 않고 서비스하기 때문이다."
54,물론 원하면 X 환경 [15] 을 깔아서 VNC 등을 통해 GUI를 쓸 수도 있지만 리눅스 계열은 GUI가 오히려 더 불편한 운영체제 라 인기는 거의 없다.
55,굳이 그래픽 출력이 필요한 경우에는 차라리 웹 서버를 올려서 외부에서 웹 브라우저를 통해 제어하게 만드는 게 요즘의 추세다.
