,sentences
0,"▲ 피파 온라인 4 브랜드 영상 [2 ]Live & Breathe Football 피 파 온라인 4의 슬로건 EA SPORTS IT'S IN THE GAME 피 파 시리즈의 시 그니 처 사운드 [3 ]FIFA 온라인 4 (EA Sports™ FIFA Online 4 또는 FIFA Online 4, 이하 피 파 온라인 4) 는 EA 산하의 EA 코리아 스튜디오( 구 스피어 헤드 )에서 개발하고 넥슨이 배급하는 피 파 온라인 3의 후속 작이다."
1,피 파 18을 원작으로 두고 있다.
2,2017년 11월 2일에 열린 EA x 넥 슨 뉴 프로젝트 미디어 쇼케이스에서 처음으로 공개되었다.2018
3,년 5월 17일에 서비스를 시작했다.
4,  자 세한 내용은 피 파 온라인 4/ 출시 전 정보 문서를 의 번째 문단을의 부분을 참고하십시오.
5,시스템 요구 사항 구분 최소 사양 권장 사양 Windows 운영체제 Windows 7/8 /8.1 /10 - 64-BitWindows 7/8 /8.1 /10 - 64-BitCPUIntel Core i3-2100 @ 3.1GHzAMD Phenom 7950 Quad-CoreAMD Athlon II X4 620Intel i5-2550K @ 3.4GhzAMD FX-6350 Six-Core 메모리 4 GB8 GB 하드 디스크 여유 공간 18GB18GB 그래픽 카드 NVIDIA Geforce GT 730AMD Radeon HD 7570[4 ]NVIDIA GeForce GTX 460AMD Radeon HD 6870GPU Memory1024 MB3 GB[5 ]DirectXDirectX 11DirectX 11 피 파 온라인 4의 기본 설정된 조작 키를 기준으로 기재하였다.
6,숫자 키 1 ~ 0: 저장된 클럽 전술로 전환[ 키 또는 ] 키: 클럽의 공수 밸런스 조절. 경기 시작할 때마다 설정 값이 보통으로 바뀐다.
7,"CDM이나 풀백들의 가출이 심할 경우에는 수비적으로 조절하는 것이 좋고, 경기 막바지 지고 있을 때, 또는 라인을 올리고 적극적으로 플레이하고 싶을 때는 공격적으로 조절하면 좋다.F1 ~"
8,F4: 코너킥 공격 상황에서 세트 피스 전술을 설정할 수 있다.
9,"""-"" 키로 선 수명 표시를 바꿀 수 있다."
10,  자 세한 내용은 피 파 온라인 4/ 클래스 문서를 의 번째 문단을의 부분을 참고하십시오.
11,피 파 온라인 4에 존재하는 클래스들의 정보를 모은 문서.   자 세한 내용은 피 파 온라인 4/ 대사 문서를 의 번째 문단을의 부분을 참고하십시오.
12,캐스터는 전작의 배 성재 캐스터로 유지되었고 해설은 박 문성 위원에서 장 지현 위원으로 변경되었다.
13,  자 세한 내용은 피 파 온라인 4/ 특성 문서를 의 번째 문단을의 부분을 참고하십시오.
14,전작과 마찬가지로 기본 적인 능력치 이외에 부여된 말 그대로 숨겨 진 스탯. 대부분의 선수 카드들은 히든 특성 [10] 을 가지고 있다.
15,게임 내에서 꽤 중요한 역할을 하기도 한다.
16,위 닝 일 레 븐 의 스킬 카드 라 보면 된다.
17,"[11] 아이콘이라는 초대형 클래스 추가와 함께 생긴 업 데이트. 전작의 트레이드와 비슷하게 선수 몇 명을 조건에 맞추어 넣으면 보상이 나오는 방식인데, 사실상 아이콘을 획득할 수 있는 아이콘 트레이드만 쓰인다."
18,"아이콘 트레이드 상자에서 일정 확률로 아이콘 팩이 뜨는데, 에이전트 비용이 몇억이라 과 금 유저가 아니면 하기가 어려운 게 현실. 아이콘 트레이드 상자에서도 아이 콘 팩이 뜨면 이득, 그 외의 다른 아이템이 뜨면 엄청난 손해만 보게 되는 도박성이 강한 요소이다."
19,"이 에이전트 의뢰도 여러 종류가 있는데, 맨체스터 시티 FC 아이콘을 넣는 에이전트, HOT 클래스를 넣는 에이전트 등 여러 가지 의뢰가 있다."
20,"그러나 에이전트 보상에 대한 정보, 뜨는 선수 팩의 종류가 나와 있지 않고 원하는 보상이 나올 확률도 낮 아 에이전트를 해 구단 가치가 10분의 1 이상 감소하는 경우도 있다."
21,전 작과의 강화 방식과는 상당히 다른 강화 방식을 채택했는데 전작에서의 강화 시스템이 한 선수를 강화할 때 동일한 선수를 강화 재료로 사용한다면 피 파 온라인 4에서는 동일한 선수를 강화 재료로 쓰지 않아도 강화가 가능하다.
22,덕분에 전작보다는 생성 제한이거나 매물이 희귀한 선수들도 어렵지 않게 강화할 수 있게 되었는데 예를 들어 J 리 그로 건너가 생성 제한이 걸려 버린 페르 난도 토레스를 강화한다고 가정하면 강화 재료로 동일한 카드가 아닌 크리스 티 아누
23,"호 날 두, 리 오 넬 메시, 즐 라 탄 이브라"
24,"히 모 비치, 세 르 히 오 라 모스 등 다른 선수의 카드로 대체할 수 있다는 소리다."
25,그리고 전작에는 없었던 강화 부스트 게이지가 생겼다.
26,전작에도 강화 부스트가 있긴 했지만 [12] 피 파 온라인 4에서의 강화 부스트와는 조금 차이가 있다.
27,"피 파 온라인 4에서는 이 강화 부스트가 강화 확률을 정한다고 볼 수 있는데, 이 부스트를 한 칸도 채우지 않으면 거의 붙지 않는다, 강화 부스트를 5까지 채웠을 때 가장 확률이 높다."
28,그리고 강화 실패 시 전작과는 달리 +0 강 화로 실패되지 않아 +1 강화 카드에서 +2 강화 카드로 강화할 때 오버 롤이 40~50 을 웃도는 저가 선수들을 넣어도 가끔 성공한다.
29,"전작에서는 강화 실패가 되었을 때 복구 이후 재 복구가 가능했는데, 피 파 온라인 4에서는 재 복구가 없다."
30,[13] 다만 동일한 선수를 강화하는 방식이 아니라 그런 건지 전작보다는 강화로 얻는 이득이 적다고
31,하는 유저들이 많으며 역시나 금 카는 죽어라
32,시 도해도 안 붙는다.
33,특별히 BP가 모자르거나 개인 사정이 있지 않는 한 금 카는 되도록 구입해서 사용하는 것이 정신 건강과 시간을 위해서 라도 좋다.
34,"- 강화 시도시 동 일한 클래스를 넣으면 동일한 클래스의 강화 등급 이상으로 복구가 된다, 예를 들어서 리오"
35,"넬 메시 +8 강을 시도하는데 재료 클래스에 리 오 넬 메시 +7 강 클래스를 넣으면, 메시가 강화에 실패해도 최소 복구등급이 7 강 이상 복구가 된다."
36,"그리고 동일한 카드를 넣고 강화가 성공했을 시에 적은 확률로 크리 티 컬 강화가 실행된다, 크리 티 컬 강화에 성공하면 한 단계 오른 강화에서 추가로 한 단계가 더 오르고, 크리 티 컬 강화에 실패하면 그냥 한 단계만 오른 강화 성공이 된다."
37,강화 확률 100%라고 뜨는 것을 믿지 말자. 실제로 넥슨이 주장하는 강화 확률 100% 는 10번 중 4번 ~3 번 성공한다.
38,사실 넥슨이 강화 확률 100% 라
39,언급한 부분은 단 한 군데도 없다.
40,착각하는 사람들이 있는데 강화 시에 차오르는 게이지는 부스트 게이 지지 강화 확률이 아니다(...). 참고로 이 게임에서 강화 확률 100% 인 경우는 1 강 카드를 풀게 이 지로 강화해 2 강으로 만드는 경우 하나다.
41,실제로는 1 강에서 풀게 이지를 채운 채 강화를 시도해도 실패하는 경우가 있긴 하다. 유 튜브에는 강화의 원리가 강화가 붙을 때 재료의 가치가 구단주가 보는 이익보다 커야만 붙는다는 설도 있다.
42,[14] 속력 (Sprint Speed): 선수가 달릴 수 있는 최고 속도다.
43,가속력 (acceleration): 높을수록 최대 속력까지 도달하는데 걸리는 시간이 줄어든다.
