,sentences
0,종합게임과 라디오를 합니당!
1,"방가 방가루~ 트위치 채널 소개 문구 왜구루 냥... 트위치 스트 리머. 라디오, 종합 게임, 노래 등 다양한 주제로 방송을 진행하고 있다."
2,현재 픽 셀 네트워크 소속이다.
3,삐 부 특유의 독특하고 중독성 있는 목소리와 말투가 방송의 주된 특징이다.
4,"왜구루 냥을 비롯해서 삐 부 방송 소스로 만든 다양한 삐 부 리 믹스가 만들어 져 인기를 끌고, 삐 부 TTS 또한 개발되어 여러 스트 리머 방에서 빈번하게 사용되고 있을 정도. 방송 중 가장 비중이 높은 것은 종합 게임. 게임 실력이 뛰어난 편은 아니지만 오히려 그렇기에 보여주는 바보스런 모습, 속된 말로 찐 따 미가 팍팍 나타나는 부분이 일종의 재미요소 이자 핵심이다."
5,"종종 저챗으로 일상관련 이야기를 진행하기도 하는데, 기본적으로는 잔잔하게 가는 편이지만 삘 이 꽃 힌 소재가 있으면 평소의 태도와 정반대로 엄청 신나고 길게 썰을 푼다."
6,기본적으로 방송 시간은 불규칙적인 편으로 일정이든 방송 시간이든 전부 기분에 맡기는 경향이 강하다.
7,일정의 경우 트위터나 카페에서 미리 공지하는 경우가 있긴 하지만 방송 키기 약간 이전에 올린다 던가 아니면 아예 올리지 않고 키기도 하는 경우가 더 많고 방송 시간 또한 짧은 날이 있나
8,하면 엄청 길게 하는 날도 있는 등 기분파적인 성향이 짙다.
9,자체적으로 합방을 주도하려는 부분은 없다 보니 다른 스트 리머들( 주로 꽃 핀이나 쫀 득) 이 불러 줄 때를 빼고 선 스스로 합방을 모으거나 하진 않고 그냥 혼자서 하는 경우가 많다.
10,"합방에서는 상술한 찐 따 미에 어지간한 건 다 받아 주는 성격까지 겹쳐서 합방 최약체로 여겨 지는 중. 마찬가지로 합방 최약체 역할인 꽃 핀, 탬 탬버린과는 최 약체 듀오나 트리오로 서로 평화롭게 이야기하는 편 .2016 년 1월 26일 아프리카 TV에서 처음으로 방송을 시작하였다.2017"
11,년 트위치 TV로 이적하였다.2018
12,년 1월 24일 자로 유 튜브 구독자가 1만명이 넘었다.2018
13,년 2월 19일 부로 자캐가 바뀌었다.
14,[8 ]2018 년 2월 20일 빠른 속도로 증가하는 인기에 힘입어 팔로 워 2만 명을 달성했다.
15,[9 ]2019 년 4월 16일 방송일 1000일을 기념하여 트수들에게 ' 천원 줘야지
16,' 비비기를 당했다.
17,[10 ]2018 년 6월 15일 팔로 워 3만 명을 달성했다.
18,[11 ]2019 년 4월 1일 만우절을 맞이하여 ' 도넛 신입 스트 리머' 컨셉을 잡고 방송했다.
19,#2019 년 6월 27일 10만 팔로 우를 달성했다.2020
20,년 10월 16일 허수아비 가게에 가서 컴퓨터를 맞추며 콜라보 방송을 하였다.2020
21,년 11월 30일 20만 팔로 우를 달성했다.
22,"삡스, 비 붕스( 삐 붕 스): 삐부쓰의 변형. 두덩이( 듀 덩이), 듀덩쓰: 본명인 유 수정에서 나온 별명. 트사 나: 지 누의 집에서 첫 캠 방했을 때 눈매와 눈웃음이 닮았다고"
23,하여 붙여진 별명. 삐 부구루 냥: ' 삐 부' 와 삐 부의 시 그니 처인 ' 왜구루 냥' 을 합친 별명. 텅텅 부: 유래는 코 렛트#. 특히 조 디 악이 자주 이렇게 부르고 있다.
24,특히 뭔 가 엉뚱한 소리를 할 때 트수나 다른 친한 스트 리머들에게 많이 불린다.
25,"삐 부로 이드( 삡스로 이드), 삡컬로 이드: 유래는 후술되어 있는 츄즈 미 플 리 즈. 삐 부의 음정이 불안정해서 음정 보정을 하다가 보컬로 이드 비슷한 느낌이 나서 생긴 별명. 노래의 음정이나 박자를 잘못 부를 때 많이 불린다."
26,프로 공 감마: 되도록 긍정적으로 보려는 성격에 대화에서 맞장구를 잘 쳐주다 보니 [12] 2020년 여름에 들어서면서 그 맞장구 주요 패턴 중 하나 인 ' 음 음 맞지 맞지' 가 주위 사람들에게 퍼져서 밈이 되어 버렸다.
27,"이후 채팅에 쓰라 고 ' 음', ' 맞', ' 지' 가 구독자 이모 티 콘으로 추가 되었다."
28,삐 부 찡 : 유 튜브 채널 닉 넴. 김 삐 부 : 유래는 탬 탬버린의 김 수정 사건이었으나 이후 금방 잊혀 졌다.
29,그런 데 이후 다른 친한 스트 리머들이 김 삐 부라고 부르자 본인인 유씨라고 강력하게 주장하였으나 결국 김 삐 부로 굳혀 졌고 이제는 본인을 자칭하는데 김 삐 부라고 부른다.
30,또 한 노래방 방송에서 노래를 잘 부르면 유 수정이 나왔다고
31,하고 못 부르면 김 삐 부 들어 가라고 트수들이 놀린다.
32,"부 삐 : 탬 탬버린, 강지와 같은 친한 스트 리머들이 삐 부를 거꾸로 부르는 별명. 디스코 드나 채팅 창에서 주로 부른다."
33,최근에는 부 삐 역시 본인을 자칭하는데 쓴다.
34,삡새 : 화내는 것이 무섭지 않고 귀여워서 [13] 그 모습이 뱁새 짤을 연상시켜 붙여진 별명. 이걸 주제로 만들어 진 팬 애니메이션까지 있다.
35,호칭으로는 잘 안 쓰인다.
36,"많은 사람과 두루두루 친하지만 그중에서도 특히 꽃 핀, 쫀 득과 친하며, 코 렛트와도 자주 게임을 같이 하는 편이다."
37,호 엥 트로 감 블러: 서로 편하게 딜을 주고 받는 스트 리머. 삐 부가 누나 이지만 누나 취급을 제대로 해 주지 않는다.
38,실제로 2019년 지 누 생일 기념 현실 합방에서 등장하자마자 삐 부의 정수리를 치기도 하였다.
39,꽃 핀: 나는 핀냐밖에 없다고 말할 정도로 삐 부가 좋아하는 친한 스트 리머 언니. 둘 다 성격이 둥글둥글 하면서도 느긋하고 다른 사람을 잘 받아 주는 편이라 합방하면 평화롭고 치유되는 케미가 만들어 진다.
40,"그 전부터 종종 합방을 했지만 그렇게 친하진 않았는데, 2019년 들어서 쫀 득이 와 같이 오프라인에서 자주 만나서 놀면서 급속도로 친해 졌다."
41,또 한 동료 스트 리머 들로부터 노 잼으로 배척당하는 오버워치를 함께 즐겨 주는 몇 안 되는 스트 리머이다.
42,마 뫄: 둘 다 목소리가 독특하고 방송에서 능지가 처참한 모습을 자주 보여주기 때문에 합방할 때마다 좋은 케 미를 내고 있다.
43,최근 들어 조 디 악에게서 ' 텅텅 부' 라는 말을 배워서 삐 부를 ' 텅텅 언니 '라고 부르고 있다.
44,쫀 득: 왜구루 냥 체인점. 쫀 득이 가 삐 부 특유의 말투 및 그로 파생된 클립에 리액션을 잘 해 주는 일이 많아 쫀 득이 가 똥겜을 할 때나 또는 아무 이유 없이 그냥 삐 부 관련 도네를 쫀 득이에게 보내는 게 밈이 된 적이 있었다.
