,sentences
0,전 세계 모든 브론즈 유저들이 실버가 되는 그날까지..!! - 유 튜브 소개리그 오브 레전드를 관전하며 찍은 영상을 편집하는 유튜버다. 주로 재밌는 게임 [3] 내용을 촬영하고 그 위에 자막을 올리는 등 편집을 해 놓은 영상을 업 로드한다.
1,"한 창 유행하고 있는 드립을 재밌는 게임에다 중간 중간 넣어서 편집하는데, 가끔 휘파람을 불러서 람머스를 부르는(...) 내용이라 던가, 바 이를 박원 순 시장과 엮어서 편집한다 던가 하는 특이 하다면 특이하고 괴상 하다면 괴상한 영상이 나오기도 한다."
2,"볼드체는 주력 컨텐츠, 취소 선은 최근 별로 업 로드가 되지 않거나 사장된 컨텐츠다."
3,브론즈 / 아이언 뉴 메타 탐방 브론즈 / 아이언 티어에서 뉴 메타를 플레이하는 영상을 촬영 후 편집하는 영상. 별의 별 밈을 다 넣는다.
4,"브론즈 / 아이언 탐방 한국 / 북미 서버의 언 랭 혹은 브론즈 / 아이언 유저들을 관전 후 편집하는 영상. 갱플랭크가 해적선을 타고 북미 신대륙을 발견하고 왔다는 등의 스토리가 있는 경우도 있고, 앞뒤 내용 전부 생략하고 걍 보여주는 영상도 있는 등 한국 / 북미 서버 사람들이 플레이하는 레 전드 플레이들을 기반으로 여러 스토리들을 MSG 마냥 첨가하는 느낌이다."
5,챔피언 인터뷰 챔피언들을 방송국에서 인터뷰하는 형식으로 편집한다.
6,"성공적으로 취재하는 경우도 있지만, 주로 대부분이 자칭 장인이기 때문에 인터뷰에 어려움을 겪는 경우다."
7,개인적으로 선호하지 않는 편집 방식이라 더 이상 제작은 힘들 것이라고 QnA에서 밝혔다.
8,천상계 매 드무비 천상계의 장인 유저들의 플레이를 촬영하고 편집하는 영상. 조 회수 최하위 3 영상을 차지하고 있을 만큼 인기가 없어서 그런지 사장된 컨텐츠이다.
9,황당한 브론즈 매 드무비 말 그대로 브론즈에서 나오는 황당한 매 드무비를 촬영하여 편집하는 영상. 사실상 브론즈 연합회의 브론즈 아이언 탐방 등의 시초라고 볼 수도 있다.
10,마찬가지로 조회 수가 안 나와서 그런지 사장된 컨텐츠이다.
11,뉴 메타 소개 진짜 뉴 메타를 소개하는 영상. 탑 탐켄치와 정글 신 지드 등을 소개했다.
12,마찬가지로 조회 수가 안 나와서 그런지 사장된 컨텐츠이다.
13,엔드카드에서 나오는 사진을 가지고 싶어 한 사람들이 많아서 구 글 드라이브로 배포했다.
14,링크 아이언 티 어가 나오며 채널 이름을 아이언 연합회 / 브론즈 & 아이언 연합회로 이름을 바꿀 것을 생각했으나 투표에서 브론즈 연합회 유지가 다수를 차지하여 닉네임을 유지하게 됐다.
15,합성을 통해 썸 네 일을 재밌게 잘 만든다.
16,댓 글을 보면 썸 네 일을 보고 지나칠 수 없었단 댓 글이 항상 달린다.2020
17,년 9월 10일 자로 브론즈 연합회에서 브론즈 연합회로 채널 이름이 변경되었다.
18,"리그 오브 레전드를 안할 땐 철권 7을 한다고 하며 주 캐는 화랑이라 한다 유 튜브에서 언어를 영어로 설정하면 채널 명이 ""Bronze Union"" 이다."
19,정작 본인은 골드이다.
