,sentences
0,아프리카 TV 모바일 BJ. 아프리카 TV 베스트 BJ 순위권에 있는 가장 유명한 모두의 마블 BJ 이다.
1,"닉네임은 구 이 비아, 타이 미의 불후의 흑역사인 ' 오빠! Rap 해도 돼? '에서 따왔다."
2,한 동안 푹 빠져서 아예 아프리카 닉네임도 랩해도 돼? 로 지었다고
3,생방송에서 밝힌 바 있다.
4,"챔피언 리그, 4인 전, ' 스케줄' 이라고 불리는 이벤트 대리 진행 등의 컨텐츠로 방송을 진행한다."
5,"특유의 입담과 재치 있는 진행으로 많은 시청자를 보유하고 있으며, 그에 따른 영향력도 무시할 수 없는 수준. 넷 마블 측에서도 방송을 자주 모니터링 하는 것으로 추정된다."
6,영상 참고 그리고 이 사실은 확실하게 증명되었다 카더라
7,"그리고 해당 영상에서 랩돼의 실제 모습을 볼 수 있는데, 실제 모습 공개 후 외모가 목소리와 매치가 안 된다는 의견들이 상당하다."
8,하지만 방송 초기의 목소리를 들어보면 외모와 매치가 된다.
9,즉 방송하면서 목소리가 죽어 버린 것. 나이도 아직 밝혀지지도 않아서 이런 논란이 발생한 것이다.
10,2016년 8월 20일에 주사위의 신 오프라인 길드 최강 전 대회에서 진행자를 맡으면서 다시 모습을 비춰 졌는데 시상식 때보다 살이 많이 쪘다.
11,오른쪽의 노란 머리가 랩돼 다. 랩돼 페이스 북에 실제 모습 짤 들이 난무 중이다(...) .2016 년 12월 16일 수상식 소감 기념으로 최초 캠 방을 키고 유 튜브 영상을 업 로드하였다.
12,캠 방을 위해 다이어트도 했다고
13,"하는데, 확실히 지난 년도에 비해 살이 빠져 보인다."
14,이후 간간히 캠을 키고 방송하는 편이 많아 진 것으로 보아 얼굴을 공개하고 방송을 하는 쪽으로 나아가는 듯 보이더니 2017년 3월 31일에는 슈퍼컴퓨터 소개로 첫 캠 생방송을 진행하였다.
15,캠 반응이 나쁘지 않아서 인지 모 마의 이벤트가 바뀌는 요일인 화요일과 금요일에는 캠 방송을 한다고 한다.
16,눈매 교정 수술 덕분인 듯 모두의 마블 유저들 중에서 모두의 마블의 대표 BJ로 자리매김하면서 구독자 수를 점점 높이기 시작하더니 현재는 모두의 마블 한 게임만을 주 컨텐츠로 하면서도 2018년 12월에 구독자 40만명을 달성했다.
17,[22] 다른 BJ 와의 친목을 선호하지 않고 스스로 세운 것이기 때문에 더욱 대단한 기록이다.
18,"한 때, 오버 워치 플레이 영상도 랩 튜브에 올라오고 있었으나 현재는 감감 무소식이다... [23 ]2020 년 8월 30일에 올라온 영상에 따르면 2020년 9월 7일에 군 입대를 한다고 한다."
19,이로 인해 약 1년 6개월 간 모두의 마블 방송을 일시 중단한다.
20,그의 아내인 랩 자가 유 튜브가 아닌 아프리카 TV에서 대신 방송을 진행한다고 한다.
21,다행히도 전역하고 나서도 모두의 마블 방송을 계속 진행한다고 한다.
22,물론 그 때까지 모 마가 살아 있어야... 랩돼 가 유행어를 말 안하면 시청자 한 명이 별 풍선 500개를 쏜다는 컨텐츠에서 기준이 된다 모두의 마블은 유저들이나 사람들에게 운영이 올바르지 못하다고
23,"잘 알려 져 있는데, 실제로 모두의 마블의 나무 위 키 항목 중 논란 부문만 가본다 하더라도 게임 상의 오류, 이벤트 내 대란 등 각 항목이 10개가 넘어간다."
24,"이런 운영을 흔히 들 넷 마블 식 운영이라 유저들이 비꼬아 부르며, 이는 대부분이 랩돼 의 넷 마블 비판으로부터 비롯된 말이다."
25,"자신의 주관을 적절히 섞어, 그리고 적절한 쌍 욕과 함께 넷 마블의 운영을 비판하곤 한다."
26,"포 카 혼 타스 이 벤 논란 관련 랩돼의 의견 예를 들어 이 영상의 경우 나무위 키에도 등재된 사건이며 간략하게 설명하자면 이전 이벤트에서 신캐 포 카 혼 타스를 저격하는 유저들에게 신 템 "" 창 공의 제트 팩"" 을 모두 지급한다는 명목으로 이벤트를 출시했었으며, 이 때문에 많은 유저들이 신캐와 함께 신 템을 먹기 위해 이벤트에 참가했었다."
27,헌데 막상 신 템이 출시되고 나니 바로 신 템을 먹을 수 없고 단지 신 템을 먹기 위한 재료를 하나 줄 뿐이었다.
28,"해 당 사건에 대해 유저들은 화가 났었고, 당일 날 랩돼 또한 방송을 켜 넷 마블에 대해 비판하였다."
29,"그리고 이 방송이 끝난 후 하루가 지나지 않아 넷 마블의 사과 보상이 있었고, 창트팩을 저격한 유저들에게 창트팩을 하나 더 주며 사과 보상으로 선택 큐브를 지급했었다."
30,이뿐만 아니라 랩돼의 언급은 오류를 고치는 데에도 영향력이 크다 할 수 있다.
31,"로켓 엔진 건설장비 오류 영상 예를 들어 다음 영상은 로켓 엔진 건설장비의 성장 확률이 100%를 넘었는데도 터지지 않은 영상이며, 랩돼는 해당 방송에서 상당히 당황해 하며 넷 마블에 대해 비판했다."
32,그리고 넷 마블의 오류 공지 영상을 올린지 채 몇 시간이 되지 않아 바로 오류를 고치겠다는 글이 올라왔다.
33,사실 해당 오류는 이미 모 공 카 내에서 여러 번 언급이 되었던 것으로 몇 유저들이 여러 번 문의를 했었던 내용이다.
34,그럼에도 묵묵히 침묵을 유지하던 넷 마블이 랩돼의 영상 하나로 공지를 썼다는 점은 랩돼 의 넷 마블에 대한 강력한 영향력을 보여준다 할 수 있다.
35,심지어 모두의 마블 대회 중에서도 랩해도 돼 목소리가 나오는 방송사고가 났다 그리고 그 방송사고가 랩돼 에게 소식이 들어오자 바로 영상을 삭제하고 재 업 로드를 했는데 신의 손 맵에서 엉뚱하게 월 드맵 bgm이 나온다.
36,이걸 보면 운영자도 랩해도 돼 영상을 자주 본다는 걸 알 수 있다.
37,유행어 측면에서도 영향력이 상당한 편이다.
38,"위 랩돼 가 바꿔 부르는 이름 문단에서 검색어에 아무 거나 쳐 보면 관련 글이 많이 나오고, 이는 랩돼를 쳐도 마찬가지. 모 마 뿐만이 아니라 트레이드 마크라고 해도 좋을 소리~ 질러~! (Make some noise~!) 는 다른 곳에서도 쓰일 정도로 꽤 유명하다."
39,예를 들면 카카오 사천성의 다운 로드 광고는 다운 받고 소리질러!~. 랩돼 가 줄여 부르는 행 템 명 또한 모두의 마블 공식 카페에서 쓰이는 이름만큼 잘 불리기도 한다.
40,"예를 들면 모공 카에선 건장들을 주로 ' 똥 건', ' 빛 건', ' 초건'... 과 같이 부르고 랩돼는 ' 똥 건장', ' 빛 건장', ' 초 건장' 과 같이 부르는데, 이렇게 랩돼 가 줄여 부르는 이름들을 모공 카에 검색해 봐도 모공 카에서 줄여 부르는 이름 만큼은 아니라도 꽤 자주 등장한다."
41,  자 세한 내용은 랩해도 돼?/ 논란 및 사건 사고 문서를 의 번째 문단을의 부분을 참고하십시오.2017
42,"년 3월까지 는 4:3 화면으로 방송하였고 위의 중앙에 현질 금액과 스케줄 신청 여부, 그 외 위쪽 양 끝이나 아래쪽은 일명 전광판으로 스폰서를 기재했었다."
43,그 이후 16:9 화면으로 방송하며 광고는 CG 효과로 현질 금액이나 스케줄 신청 여부는 사라졌다.
44,이렇게 한 이유는 현질 금액을 적음으로써 현질 조장한다는 기사가 하도 나기 때문이라고 한다.2019
45,년 10월 6일 기준 모 마에 1억 2115만 원의 돈을 과 금한 헤비 과 금 러이다.
46,음 머 베 아트 리 체 때부터 신 캐란 신 캐는 다 저격했기 때문에 S+ 카드 풀 강이 상당히 많다.
47,2016년 세 헤 가 나올 당시 1~2 년 동안 64 장을 풀 강해 으니. 미친 과 금 + 괜찮은 실력으로 2018년 1월 기준 모 마 승률이 약 82% 이었으며 방송에선 웬만하면 이긴다.
48,무슨 양학을 하는 것도 아니고 챔피언리그를 돌리는 데도 이런 승률을 유지하는 걸 보면 살짝 무서울 정도. 반대로 말하면 모 마에서 현질의 힘이 얼마나 강력한지 알 수 있다.
49,한편 리 그맵 중 마법의 정원이 승률을 상당히 깎아 먹는다고
50,엄청 불평했다.
51,결국 2016년 10월 20일 기준 리그맵에서 마 정이 탈락했긴 했는데 2017년 3월에 부활했다.
52,"랩 자와의 대결에서도 져 주는 편. 랩돼의 열혈 팬인 ' 순 팥 찐빵' 이 케 로케 로케로 피, 즉 깨 구리 컨셉이라서 상당히 인기가 많다."
53,"가끔 씩 힐링과 주 컨 주작, 심지어는 10% 잘 가 북 보석 주작을 벌여 랩돼에 파산 패, 독점 패를 안기는 등 시청자들을 놀래키기도 한다."
54,이 잘 가 북 보석 덕분에 방어권이 없었다면 랩 돼는 약 80 만점이 깎였다!
55,오죽하면 깨 구리 보러 온다는 사람들도 생기리.
56,잠시 슈로도 천 카와 돈을 뜯어내는 플레이를 하는 걸로 보이나 댓 글에서 다시 깨 구리로 돌아와 달라는 반응이 대부분이었고 다시 깨 구리로 돌아온 듯. 랩돼가 제일 싫어하는 행 템 1위는 도면이였다.
57,"큰 그림을 좋아하는 랩돼 의 특상 상 도면 만큼 큰 그림을 방해하는 행 템은 없기 때문이였으나, 도면 만큼 게임에 영향력을 주는 행 템 들이 많이 출시되면서 도면이 필수 행 템에서 물러 남과 함께 ' 필수' 행 템 자리에서 물러난 것이지, 인식이 안 좋아졌다거나 예전 만큼의 성능을 발휘하지 못하는 것이 아니다."
