,sentences
0,"대한민국의 e 스포츠 해설 가. 원래 인터넷 업체 두루 넷 [2 ]에서 신입 대원 대상으로 사내 강사를 맡고 있었는데, 장재 혁 팀장 [3] 과 배틀 넷 서버 [4 ]에서 우연히 만 나 몇 번 교류한 후 [5] 해설 알바를 제안 받았다고"
1,한다.
2,"데뷔는 TPZ 종족 최강 전에서 김동 준 해설의 임시 대타. [6 ]2010 년 5월 29일, 하나 대 투증권 MSL 결승전에서는 경기전 판세분석을 하다가 결국 감정에 북받쳐 울고야 말았다."
3,스타 크래프트 승부조작 사건으로 인해 가뜩이나 스타 판이 어려운데 다가 그간 스탭 진들이 벌였던 짓들( 특히나 NATE MSL) 로 마음 고생이 심했던 상황에서 간만의 흥행 대박에 팬들의 성원까지 겹치자 감정에 못 이긴 것 같다.2010
4,"년 10 월부로 진행하던 쇼 리 플레이 황 당무적 시즌 2에서 하차하고, 자신의 미니 홈 피에 미완성 未完成2001.11 ~2010. 9란 프로필을 남김과 동시에 떠나감을 암시하는 글을 남겼다."
5,이에 팬들은 이 승원 해설이 MBC 게임에서 퇴사한 것으로 추측하고 있었으나 퇴사한 것은 아니었다.
6,KCM의 증언에 의하면 그냥 아파서 쉰 거였다.
7,그리고 2010년 11월 1일 엠겜에서 복귀 광고를 방영하면서 복귀가 확정됐다.2010
8,"년 11월 3일, 하 이트 엔 투스 대 웅진 스타 즈 전에서 복귀 후 첫 방송에 나섰다."
9,"미니 홈 피에 그간의 사정을 적었는데, 뒤숭숭 한 스타 판 때문에 고민이 많았다는 듯. 성대에 문제가 있었다고"
10,하였다.
11,결국 성대 문제가 악화돼 미니 홈 피에 해설을 쉬겠다는 글을 남겼다.2011
12,"년 1월 14일, 피디 팝 MSL 16 강을 진행하면서 평소에 좋지 않았던 성대에 심각한 문제가 생겨 고민 끝에 결국 안타깝게도 다음 날인 15일에 당분간 중계를 쉬기로 결정하여 당분간 MBC GAME을 떠나게 되었다."
13,지난 달인 12월 쯤부터 목감기로 인해 컨디션이 안 좋은 상태에서 계속 중계를 했고 혹사한 탓인지 상태가 악화되었다고
14,한다.
15,"병원에서 소리를 크게 낼 경우 목소리가 아예 돌아오지 않는다고,"
16,무조건 쉬라고 하는 걸로 봐선 상당히 심각한 모양이다.
17,그 때문에 수많은 스타 팬들은 그의 빠른 쾌유를 기원하고 있다.
18,그 대타는 임성 춘. 하지만 이미지가 너무 대비되고 해설 본 좌의 자리를 당시 불안한 임성 춘 이 메우다 보니 반응은 썩 좋지 않았다.
