,sentences
0,zodiac 황도 12 궁이라는 뜻의 영어 낱말. 아래 모든 문단들의 어원이다.
1,"어원은 그리스어 ζῳδιακός κύκλος( 조이다 이코스 퀴 클로스) 로, "" 작은 동 물들 로 이루어진 원"" 을 뜻하는 말이었다."
2,"천칭자리는 동물이 아니기 때문에 이상할 수도 있지만, 고대 그리스인들은 천칭자리를 전갈자리의 집게 부위로 보아서 황도 11 궁을 사용했다."
3,천칭자리를 별도의 별자리로 보고 황도 12 궁에 포함시킨 것은 고대 로마 사람들이었다.
4,참고로 동양의 12지를 영어로 Chinese zodiac으로 번역한다.
5,"이쪽은 황도 12 궁과는 달리 동물로만 이루어져 있기 때문에, 그리스 어 어원과 우연히도 더 잘 맞아떨어진다는 점이 흥미롭다."
6,프랑스의 군용 고무 보트 제조회사. 미국에서는 모터 고무 보트를 가리키며 ' 조 디 악' 을 보통 명사처럼 쓸 때가 있다.
7,게임 모던 워 페어 2에서도 등장한다.
8,마지막의 보트 타기 전에 나오는 대사에 등장. 미국에서 나 쓰는 말이기 때문에 한국 게이 머들은 어리둥절했었다.
9,심지어는 공식 번역 집의 번역자조차 몰랐던 모양. 그대로 조 디 악이라고 쓰여 있다.
10,코만 도스 2에서도 딱 한번 등장하는데 한번 전개하면 다시 못 접으므로 땅에서 전개하면 박물관 관상용(...) 이 되어 버린다.
11,이 보트를 운용하는 한국군의 여러 특수부대에서도 보트라고 안 부르고 조 디 악이나 IBS라고 부르곤 한다.
12,  자 세한 내용은 조 디 악 킬러 문서를 의 번째 문단을의 부분을 참고하십시오.
13,"미국의 연쇄 살인마. "" 조 디 악이 말씀하신다 (This is Zodiac speaking) ""라고 시작되는 편지를 남긴 것으로 유명하다."
14,  자 세한 내용은 조 디 악( 영화) 문서를 의 번째 문단을의 부분을 참고하십시오.
15,  자 세한 내용은 조 디 악( 스타 크래프트) 문서를 의 번째 문단을의 부분을 참고하십시오.
16,"조안 1 조 안 2 형식 번호 AMA-100 코드 네 임 Z'od-iacok 타입 모빌아 머크 기전고 44.20m / 전장 218.30m / 전폭 41.65m 중량 기본 9640t / 총 22580t 제네 레이터 출력 197400㎾ 추력 2.20G 장갑 재질 건 다리 움 합금장비 센서- 탐지거리 28000m. I- 필드 제너 레이터, 준 사이코 뮤 시스템. 무장대 구경 메가 입자 포 2 문( 출력 520MW) 빔 캐논 12 문( 출력 12MW), 와이어 빔 크로 4 기( 출력 50㎾) 빔 샤벨 12 기( 각 0.9㎾) 60mm 발 칸 포 8 문제작 액 시 즈 소속 액 시 즈 / 뉴 디 사이즈 파일럿 토 슈 크레이( 조안 2), 사이드 퍼스트( 조안 1) 건담 센티넬에 등장하는 모빌 아 머. 원래는 액시즈에서 준 사이코 뮤 탑재형으로 제작된 모빌 아 머로 조안 1 과 조안 2라는 형태로 분리가 가능하다."
17,주무기 인 메가 입자 포는 아가 마 급 2번 함인 페가 서스 III의 좌현을 단 한방에 녹여 버릴 정도로 강력한 화력을 지니고 있다.
18,"그러나 설계 상에 오류가 있어서, 빔 병기를 연속해서 사용하면 회로가 과열, 제너 레이터에 부하가 걸려서 자폭하는 치명적인 문제가 있었다."
19,그 때문에 뉴 디 사이즈 잔당들을 인수한 액시즈는 네오 지온에 합류하기를 거부한 나머지 항 전파에게 중고 무사이 1척과 함께 인심 쓰는 척 하면서 이 조 디 악을 넘겼다.
20,"[1] 액시즈로 돌아가던 사 오토 메가 트와닝한테 왜 저런 걸 넘겨주느냐고 하자 트와닝이 하는 말이 "" 어차피 저기 남은 것 들은 연방군이다."
21,뭘 더 해 주란 말인가?
22,"저런 결함 품도 아깝단 말일 세.""... 였다."
23,"소설 막판에 α 임무부대의 기함인 페가 서스 III를 전투 불능으로 만들고 베테랑 매닝스와 융을 전사시키는 등 나름대로 활약을 펼치지만 조안 1은 제너 레이터 오버 히트로 자멸, 조안 2는 S 건담의 빔 스마트 건 저격에 뉴 디 사이즈 일당이 탑승한 셔틀과 함께 대기권에서 파괴당했다."
24,그리고 조안 1 의 오버 히트로 토슈는 자신들이 결국 네 오지 온의 장기말 신세였다는 것을 깨닫고 자포자기하는 심정으로 다 칼 강하를 시도한다.
25,  자 세한 내용은 조 디 악( 세계수의 미궁) 문서를 의 번째 문단을의 부분을 참고하십시오.STR
26,과 DEF을 25% 올려 주는 궤적 시리즈의 긍극의 버프형 아 츠. [2] 일명 개인 버프형 아 츠인 세인트의 확장 판으로 최초의 등장은 하늘의 궤적 SC. 범위는 무려 전체. 그렇기 때문에 1 라인 오브먼트를 가진 캐릭터들 [3] 이 필수적으로 조 디 악을 맞추는 편이다.
27,영웅전설 제로의 궤적의 후속 작인 영웅전 설 벽의 궤적에서도 등장한다.
