,sentences
0,"시티 즈: 스카이라인, 러스트, 플래닛 코스터, 플래닛 주를 주 콘텐츠로 하는 똥물 빌 런, 함정 빌 런 게임 유튜버다. 유 튜브 채널의 풀네임은 별 고래 _StarWhale 이며, 채널 대문에는 아래의 문구가 기재되어 있다.Rust"
1,- 아름다운 함정 집을 만들어서 외국인과 놀아 봐요!Cities
2,: Skylines - 아름다운 도시를 만들어 부숴 보아요!
3,"시티 즈: 스카이라인에서 도시를 세우고 난 뒤 트롤링으로 전부 다 날려 버리는 것이 주요 콘텐츠. 주로 시민들의 똥물을 모아서 도시를 침수시키며, 아래와 같은 예시가 있다."
4,도시를 둘로 나누고 각 도시 구역의 하수관을 다른 도시 쪽으로 연결해 시민들의 똥물이 위쪽에 있는 지형에 쌓이게 한다.
5,"그리고 상대 도시 쪽의 똥물을 먼저 넘치게 하는( 즉, 많이 싸는) 쪽이 승리하게 하고 패배한 쪽은 똥물 속으로 사라진다... 도시를 잘 만들다가 "" 갑자기 똥물을 모으고 싶어 졌어"" 라면 서 똥물을 잔뜩 모은 다음, 똥물이 모인 지형에 운석을 낙하시켜 똥물을 넘치게 한다."
6,"똥물을 주 콘텐츠로 삼다 보니 [5] 구독자들도 댓 글에서 똥물 얘기를 하거나, 도시를 잘 만들고 있어도 마지막에 똥물로 파괴될 것을 예상하는 모습을 보이고 있다."
7,[6] 그 외에 자막으로 과격하지 않으면서 조용조용 개 드립을 날린다.
8,이와 비슷한 유튜버가 바로 싸 2 코. [7] 잘 보면 상당한 금 손이다.
9,"도시 만드는 능력이 뛰어난 편이라, [8] 작정하고 도시를 계속 키우면 진짜 잘 만들 것이라고 예상하는 사람들이 많다."
10,실제로 작정하고 만든 도시가 있는데 진짜 잘 만들었다.
11,물론 막 편에 파괴한다.
12,도시 만드는 능력이 수준급이라 날려 버리는 걸 아쉬워 하는 사람들도 있다.2019
13,년 하반기부터 는 러스트에 집중하고 있다.
14,러스트에서는 주로 함정으로 외국인 골탕 먹이기 콘텐츠를 업 로드하고 있다.
15,구독자들의 신청을 받기도 하며 온갖 기상천외한 방법으로 상대를 함정에 넣고 죽이거나 농락하는 모습은 구독자들을 매료시키기에 충분하다.
16,"대표적으로 외국인을 가둬 놓고 수능문제 풀게 하기, 외국인을 가둬 두고 FBI OPEN UP! 을 외쳐 보기 등이 있다."
17,시티 즈에서는 자막을 사용하나 러스트에서는 영어로 대화한다.
18,함정에 빠진 외국인이나 게임에서 만난 사람들과 대화하는 것을 보면 영어를 수준급으로 하는 것을 볼 수 있다.
19,하지만 자신의 목소리는 변조 처리가 되어 있다.2020
20,년 4월부터 는 플래닛 코스터 영상도 많이 올리고 있다.
21,내용은 막장이 긴 하지만 잘 보면 시티 즈: 스카이라인처럼 대체로 여러 가지 잘 만드는 걸 볼 수 있다.
22,노란 단무지가 만든 ' 돌을 키우고 있습니다
