,sentences
0,"팬 메이드 소개 영상 고차비 리듬 세상 前 아프리카 TV BJ, 現 트위치 스트 리머. 메인 컨텐츠는 게임과 저챗으로, 스팀 게임을 주로 하지만 전반적으로 게임을 가리지 않는 종합 게임 스트 리머이다, 예쁘고 다양한 목소리와 준수한 게임 실력, 귀여움(?), 하얀 순수함이 매력 포인트. 그 순수함이 순수 악으로 변질 되어가는 중이다."
1,"아프리카 TV BJ로 잠깐 활동했었으나 2, 3년 간 방송을 쉬다가 이후 트위치에서 다시 방송을 시작했다."
2,감 블러: 게임 합방을 할 때 종종 만난다.
3,감 블러가 활발한 모습을 자주 보이는데 비해 고 차비는 차분한 모습을 자주 보인다.
4,"강지: 2019년 여름 러스트 스트 리머 서버에서 같은 팀을 했었던 것을 계기로 점점 더 친해 졌고, 그 후로도 종종 합방을 하는 등 친한 사이가 되었다."
5,2020년 5월이 된 지금은 서로 ' 자기야' 혹은 반말로 부르거나 서로의 유 튜브에 많이 등장하는 편이 되었다.
6,"최근에는 저챗이나 합방 등 많이들 서로의 방송에서 보이고 탬 탬버린이나 악녀, 지 누와 서로 친하기 때문인지 함께 현실 합방하는 일도 많아 지고 있다."
7,금사향: 가끔 지 누가 주최하는 레 식 합방에 불려서 안면 정도가 있었던 관계였지만 지난 2019년 12월에 있었던 실프의 생일 파티에 초대되어 서로 언니 동생하는 사이가 되었다고
8,한다.
9,"자세한 내용은 여기에서. 견 자희: 악녀와 스타 듀 밸리 합방을 하던 중 악녀 방을 구경하던 견자희가 참여 의사를 밝혔고, 고차 비가 시작부터 집을 4채 지어 놓은 상태라"
10,바로 참여하게 되었다.
11,"함께 스타듀밸리를 하고 이어 레 식까지 함께 하게 되었으며, 견자희의 빠른 적응을 보며 고차 비가 쉴새없이 감탄했다고"
12,한다.
13,김 똘 복: 서로 극 딜을 주고 받는 사이. 같이 게임 합방을 자주하며 서로 극 딜을 티 키 타 카 하는 모습이 상당한 케 미를 보여준다.
14,김 뚜 띠: 같이 레 식 등의 합방을 하며 친해 졌다.
15,고차 비가 한참 새벽까지 밤샘 방송을 하던 시절 김 뚜 띠에게 놀아 달라고 하자 마크를 알려 주기도. 고차 비가 굉장히 오그라들어 하던 차비 씨 밈의 시 초라 할 수 있다.
16,방송에서는 그렇게 큰 접점은 없지만 어울리는 무리가 같은 탓인지 합방 등을 꾸준히 같이 하고 서로를 스스럼없이 대하는 모습을 볼 수 있다.
17,현실 합방 또한 스트 리머들치고 자주 하는 편이다.
18,"나나 양: 서로 나 땡이 [21], 찹땡이라고 부르면서 친한 모습을 보인다."
19,협동게임 We were here together를 같이 클리어하기도 했다.
20,최근 함께 스타 듀 밸리 등을 플레이하며 나찹코인의 낌새도 조금씩 보이고 있다.
21,"지난 2020년 만우절에는 서로 지금까지 속여서 죄송합니다,"
22,' 갑자기 캐나다로 이민가게 됬 습니다
23,' 로 제 2의 그 영상 [22] 을 올렸다.
24,삐 부: 2017년 7월 30일 배틀 그라운드를 플레이하던 중 찾아온 삐 부와 듀오를 하게 되었다.
25,둘이 함께 대화 and 게임을 해보는 것은 이 때가 처음이었으나 쉬지 않는 사운드와 계속되는 꿀 잼 사 등 훌륭한 케 미를 보여주었다.
26,악녀: 잘 모르는 시청자들이 많지만 고차 비와 친한 사이 중 하나. 어떻게 친해진 것인지는 모르나 서로의 방송에서 친분을 과시하며 배 그 듀오를 했다.
27,"아마도 코렛트의 방에서 함께 배그 스쿼드를 한 뒤, 방송 외적으로도 연락을 하며 친해진 것으로 보인다."
28,악녀와 함께 합방을 하면 고차비에게도 매운 맛이 추가되는 특징이 있다.
29,"이후에도 스타 듀 밸리 합방, 랜 선 술 먹 방 등을 진행하며 세상 편한 모습을 보여주었다."
