,sentences
0,페 파 피그와 그래 니를 합친 Roblox의 공포게임. [ 펼치기 • 접기 ] 페니 가족은 평범한 생활을 하고 있었다.
1,"하지만, 그 평범한 생활은 어느 날 깨져 버렸다…. 늦은 밤, 페니랑 조지는 저녁을 차리고 있었다."
2,갑자기 조지가 날카로운 질문을 하였다.
3,""" 누나, 부모님 왜 이렇게 늦게 오셔?"""" 아무것도 아닐 거야. 걱정 마."" 페니는 아무렇지도 않은 목소리로 대답했다."
4,하지만 조지는 무언 가 꺼림칙하였다.
5,"한편, 병원에 선 ( 챕터 6) …Mr. P랑 페니의 부모님이 같이 Mr. P의 부인이 불치병으로 죽어 가는 것을 보고 있었다."
6,""" 이런…."" 엄마가 말했다."
7,'' 괜찮으실까요?
8,""" "" 걱정 말게, 내가 발명한 물약을 먹으면 나아질 거야. Mr. P가 자신만만한 목소리로 대답하였다."
9,""" 그렇다면…."" 아빠가 물어 봤다."
10,"""… .Mr. P만 믿으면 되는 거죠?"
11,""" "" 아니, 자네들이 먼저 실험해야 하네."
12,""" Mr. P는 물약들을 건네주며 말했다."
13,""" 우리가 먼저 먹으면 되는 거죠?"
14,""" ""그래, 만약 효력이 나온다면 당장 연락하게."" 그리고 선 아빠랑 엄마는 물약을 챙기고 페니네 집으로 다시 갔다."
15,페니랑 동생은 TV를 보고 있었다.
16,""" 우리 아기 돼지들! 우리가 왔단다!"
17,""" 아빠가 물약을 보여주며 방에 입장하였다."
18,""" 오! 그거 뭐에요? 맛있게 생겼는데!"" 페니는 흥분했다."
19,""" 아, 이건 Mr. P가 준 물 ㅇ…"" 아빠의 말이 끝나기도 전에 페니가 가로챘다."
20,""" 안돼! 그 거 돌려줘!"" 아빠는 소리쳤다."
21,""" 아 녜요!"
22,제가 먼저 마셔 볼게요!
23,""" 페니는 말이 끝나자마자 물약을 벌컥벌컥 마셨다!"
24,각종 비밀과 해석으로 사람들이 알아낸 이야기다.
25,등장 캐릭터들을 넣는다.
26,감염자도 등장인물에 속한다.
27,그리고 이 이야기의 조연인 조지의 누나인 페파도 언급이 많이 됩니다.
28,☆ = 생존● = 감염◇ = 로봇이 된 등장인물( 사이 보그) 공통적으로 모두 인간보다 느리다.
29,[57] 플레이어는 봇보다 사거리가 길고 [58] 빠르다.
30,제 발 피기 2 스킨은 Piggy Book 2에다 적어 놓자 스킨은 총 38개이다.
31,"이름 Piggy 가격 무료무기야구 방망이기반으로 한 캐릭터 페 파 테마 곡 #https: //youtu .be /LyHyYODzL3k [59] 등장 쳅 터 1-1 봇 Piggy는 두 눈을 가지고 있고, 한 눈은 붉은색으로 빛나며, 다른 한 눈은 완전히 검은색이다."
32,색깔은 보통의 돼지 색깔인 연분홍색이다.
33,"바닥까지 닿는 연한 빨간색의 드레스를 입고 있으며, 낡고 더러운 야구 방망이를 들고 있다."
34,게임을 시작하면 자동으로 갖고 있는 스킨이다.
35,챕터 1의 봇으로 나온다.
36,"여담으로, Little Brother, Mother, Father, Sheepy, 봇인 Grandmother, 그리고 Doggy 와 다 같은 킬 사운드를 갖고 있다."
37,[60] [61] 이름 Little brother 가격 50 코인 무기나무 방망이기반으로 한 캐릭터 조지 테마 곡 테마곡 https: //youtu .be /qe1sGPRjNKg [old] 등장 쳅 터 1월 26일 이전에 챕터 1~4Little Brother 스킨은 피기와 매우 유사하게 생겼다.
38,단지 눈 색깔과 옷 색깔이 다를 뿐 .2020 년 3월 6 일 업데이트 이전에는 챕터 1에서 4까지의 모든 봇 스킨으로 나왔다.
39,"이름 Mother 가격 75 코인 무기나무 방망이기반으로 한 캐릭터 페 파 & 조지 엄마 테마 곡 #https: //youtu .be /5nn1RhzwO2Q [old] 등장 쳅 터 1-2 봇페 파 피그 가족처럼 방망이를 들고 있고, 생김새도 비슷하지만, 눈이 빛나지 않는다."
40,[ 원래] 챕터 2의 봇으로 나온다.
