,sentences
0,통계는 거짓말을 하지 않는다.
1,안녕하세요.
2,피했습니다.
3,리그 오브 레 전드 통계/ 관 전 분석 전문 크리에 이 터 팀이다.
4,"매 패치 이후, 챔피언 티어와 떡 상/ 떡 락 챔피언, 메타, 특정 주제에 관련한 통계를 도출하고 해당 통계를 비교/ 분석하거나, 상위권 랭크 유저들이나 프로 게이 머들의 플레이를 관전하고 분석한 내용을 영상을 업 로드한다.P.S"
5,는 Professional Spectator의 약자로 전문적인 관전자를 의미한다.
6,"중의적인 의미로 추신과 "" 프로를 관전한다"", "" 관 전을 프로답게 한다"" 라는 뜻도 있다."
7,"본인의 말에 의하면 프로 관전 러 P.S [3] 는 18년도 5월 18일에, 기획자는 연구를, 동생은 유 튜브 편집 일을 하고 있었으나 동생이 일에 비해 보수를 제대로 못 받는 것을 본 형이 "" 내가 채널을 만들면 돈을 더 벌겠다"" 고 말을 했고, 당시 야구와 롤 대회를 좋아했었기에 롤 채널과 여러 아이디어를 접합하면서 형제가 한 팀으로 시작, 형제 중에서 형은 기획자 [4] 이며, 동생은 총괄 편집자를 맡고 있다."
8,더빙이 되어 있는 영상의 목소리가 형의 목소리다.
9,"형은 연세대학교 [5] 전기 과를 졸업하고 공학대학원 박사 과정으로 연구 활동을 하고 있는 능력자이며, 동생은 디지털 컨텐츠학과를 다니고 있는데 다, 영상 편집 경력이 5년이 넘은 뛰어난 실력자다."
10,"[6] 이 형제가 처음으로 유 튜브 영상을 기획하고 제작해서 업 로드 하면서 채널이 시작되었고, 이후 몸집이 커지며 아래의 구조에 이 르 렀 다. 현재는 PS Analytics 라는 회사를 차린 상태며, 구성원들을 한명씩 정규 채용하고 있다 한다."
11,"크게 기획자와 동생, 개발 팀과 인 게임 분석 팀, 편집 팀과 웹 개발 팀으로 나뉜다."
12,"대부분의 콘티는 기획 자가, 메인 영상의 편집은 동생이 맡는다."
13,편집 팀은 montage[7] 담당과 새로 들어온 서브 편집자 2명으로 구성되어 있다.
14,동생은 살았다고
15,했고 기획자는 새로운 노예가 들어왔다고
16,"했다 카더라 데이터 분석 팀은 기획자의 학력이 공대 출신에 공대 박사 과정이다 보니, 주변에 뜻이 맞는 머신 러닝이나 알고리즘을 전공으로 하는 동기들을 모아 전문적으로 데이터를 산출하고 분석한다."
17,이 중에는 현역으로 기업에서 머신 러닝 연구를 했던 동기도 있다고
18,한다.
19,"인 게임 분석 팀은 천상계 유저나 프로 코치 지망생, 프로 게이 머 출신 코 치들 로 구성되어 있다."
20,"분석 결과를 검토하고 토론하며 글 쓰는 법이나 데이터에 기반한 접근법을 습득하고, 역으로 기획자는 인 게임을 보는 전문적인 시각이나 실제 프로 팀 생활이나 경험을 얻는다고"
21,한다.
