,sentences
0,"대한민국의 인터넷 방송인. 사회적으로 피해를 끼치는 사기꾼, 범죄자들을 응징하는 일과 기부, 모금 등 공익적 콘텐츠도 다수 만드는 유튜버다. 웃긴 대학 기부 대란 사건 이후 유명 해졌다."
1,웃대에서는 '엔 터스' 라는 닉네임을 사용하며 수제 비누를 팔고 봉사활동을 했다.
2,크리에 이 터 팀 인 싸 월드의 멤버로 활동했었다.2019
3,년 7월 21일에 100만 구독자를 달성했다.
4,팔뚝에 커다란 문신이 있다.
5,문신에 적힌 문구는 'Carpe diem' [33]. 1:29 초부터 보인다.
6,그리고 등에도 문신을 했다.
7,9:10 초부터 보인다.
8,2020년 말에 어깨에 하나 더 하긴 했는데... 영수증 뒷면에 딸이 그린 그림으로 해 달라고 했더니 타 투 이스트가 영수증 앞면으로 해 주는(...) 대 참사가 벌어졌다.
9,# 기부 대란 문단에서 서술했다시피 상당히 예전부터 웃대 유저였으며 그가 암에서 완치한 것과 아내를 사귈 수 있게 된 것 모두 웃대의 도움이 컸다.
10,유기 묘를 다수 키우고 있으며 [34] 유기동물인지 그냥 분양 받은 것인지는 불명이나 토끼 또한 키우고 있다.
11,애착을 가지고 기르는지 이후 고양이들이 나올 때마다 처음의 깡마른 모습과 달리 살집이 두 툼히 붙은 모습으로 나온다.
12,이 때문에 동물확대범이라는 별명도 붙었다.2018
13,년 2월 24 일경 윗집과의 층 간 소음 전쟁 끝에 그 윗집의 윗집으로 이사했다.
14,[35 ]2018 년 2 월경에 시청자들의 투표로 먹 방 콘텐츠를 시도했다가 투표 결과로 진짜로 강원도 산골까지 가서 컵 라면을 먹고 왔다.
15,뒷광고와 관련해 여러 방송인들이 욕먹은 것과 반대로 유정 호는 광고를 안 넣는 점 때문에 오히려 시청자들은 용돈 벌이로나마 광고 하나라도 넣으라는 말이 많다.
16,유정 호와 유정 호의 어머니가 판매하는 천연 비누를 주문했던 어느 사람의 후기에 따르면 자기가 주문한 양보다 많이 왔다며 비누가 오다가 자가 증식이라도 했나
17,보네요
18,라는 위트 있는 후기를 올리기도 했다.
19,이후 구독자 수가 46만을 찍고 서야 실버 버튼을 받았다.
20,어느 날 KCM의 매니저라고 자칭한 사람이 공연 티켓을 공짜로 보내
21,"드릴 테니 주소를 알려 달라고 연락했는데, 유정 호는 이 때만 해도 사칭 사기 인줄로만 여겨 그러지 말아 달라고 말하면서 전화를 했던 인물에게 "" 당신이 진짜 매니저면 KCM이 노래 부를 때 옆에서 물 구나무 서면서 꽹가리라도 치겠다."
22,"""라고 대답했다는 영상을 올렸는데... 해 당 영상에 KCM 본인이 직접 곧 물구나무서서 꽹 가리 치는 모습 나오겠네요라는 식의 댓 글을 올렸다."
23,이후 다시금 확인 결과 KCM 매니저 본인이 맞다고
24,확인했다는 듯. 진짜 영상에 등판해 물 구나무 서서 꽹 가리 치는 건 무리였지만 대신 서울까지 올라가서 꽹과리 대신 후라이 팬을 잡고 꽹가리처럼 치고 왔다.
25,( 해당 영상) 그리고 KCM이 올린 영상이 조 회수 200만을 넘으면 역할을 바꾸자는 제안을 했고 KCM이 이를 받아들였다.
26,[36 ]2018 년 3 월경에 토끼가 자기 머리를 뜯어먹는 바람에 머리를 반 강제로 짧게 깍게 되었다고
27,한다.
28,네이트 판에서 저격을 당했다.
29,"차진혁에 대한 네이트 판 게시물에 들어갔다가 글 내용은 바뀌어서 확인되지 않지만 거기에 달린 악플들을 보고 난 뒤, 페이스 북에서 차진혁을 응원하는 댓 글을 달았다가 네이트 판에서 타겟이 되었다고"
30,"하며, 유정 호는 여혐하는 사람 [37] 이라는 등의 유언비어 성 글들이 올라왔다고"
31,한다.
32,이에 유 정호는 영상으로 답변하였다.
33,심지어 2018년 12월에는 자신한테 여혐 몰이를 한 여성을 직접 만 나 1대 1로 인터뷰를 하여 논리적으로 반박하였다.
34,"영상마다 넣는 오프닝이 있는데, 개그 성이 짙을수록 톤과 속도가 올라간다."
35,[38] 반대로 진지한 영상에서는 아예 오프닝 음악을 뺀다.
36,한 때 파일을 잃어버려서 아 카펠라로 대체한 적도 있다.
37,2019년 1월부터 는 야 개 짖는 소리 좀 안 나게 하라를 섞어서 나오고 있다.
38,이유는 하단에. 사이비 종교 신도를 응징하는 편에서 죽을 뻔한 경험을 2번이나 했다고
39,"하는데, 한 번은 3월 달에 차 사고로, 또 한 번은 4월 달 음주 운전 중인 여성의 차량을 피하려 다가 그렇게 되었다고"
40,한다.2018
41,년 5월 13일 서부터 VIP 구독이 가능 해졌다.
42,스티커 모양은 본인 얼굴 .2018 년 6월 18 일 아이스 버킷 챌린지에 참여했다.
43,처음엔 납치 컨셉으로 온몸을 청 테이프로 결박한 채로 하는 영상을 올렸다가 항의하는 댓 글이 생겨나자 제대로 하는 영상을 올리고 해명했다.2018
44,년 7월 1~2 일 양일간 두 편을 연속방송했다.
45,강아지가 아프다고
46,수술비 50만원을 빌려 간 아내의 지인이 자기 인스타 그램에 구 X 핸드백 구매 인증 글을 올린 것. [39] 이에 분노한 정호 씨가 직접 제주 서귀포까지 가 직쏘로 빙의 하여 복수했다.
47,참고로 촬영한 날은 제주도에서 태풍 쁘 라 삐 룬 삐리 뽕이 북상하기 시작한 날이었다.
48,"봉사나 기부 인증 글을 웃긴 대학에 업 로드하면 웃대 인들이 짤에 있는 장면들 중 몇 개를 장난으로 편집하여 엔터스가 마치 악행을 하는 것처럼 (Ex) 독거 노인에게 쌀을 기부하고 있는 사진을 엔터스가 독거 노인의 쌀마저 빼앗아 가는 것처럼 묘사한다 던가...) 연출한 뒤 "" 잘 가라 엔 터스"" 라고 댓 글을 다는 것이 정석이다."
49,"[40] 엔 터스 본인도 이를 즐겨서 아예 기부 인증 글 제목을 "" 잘 가라 엔 터스 ""라고 짓기도 한다."
50,최근 아내가 둘째를 임신했다고
51,한다.
52,인 벤 에 올라온 행적 글 .2018 년 하반기에 머리 색을 바꾼 걸 볼 수 있다.2018
53,"년 10월 말 서부터 공황장애로 인해 유 튜브 활동을 잠시 쉬는 중이며, 31 일 자로 클라인이 그의 대역을 맡아 주기로 했다.2018"
54,"년 11월 2일, 오랜만에 방송을 켰다."
