,sentences
0,"새별 비, 버니 와 함께 원조 국내 3대 트레이서로 꼽힌다."
1,( 현재는 새별 비가 리그에서 좋은 모습을 보여주고 있다.)
2,"[5] 트위치 스트 리머로도 활동 중이며, 최초 방송 시작은 2016년 9월. 계기는 당시 소속 팀이었던"
3,Resunz 팀 홍보와 개인 연습이었다고
4,한다.
5,그리고 또래답지 않은 원숙한 입담으로 단기간에 오버 워치 인기 방송으로 자리 잡았다.
6,시즌 2 경쟁 전에서 솔 큐로 최종 점수 4785점을 기록 하여 글로벌 랭킹 1위를 달성하면서 인지도가 치솟았다.
7,"역대 경쟁 전 1위를 기록했던 유저들은 아마추어 프로 구분 없이 대단한 실력자로 평가 받는 분 위기지만, 그중에서도 이펙트를 가장 인상 깊다고"
8,말하는 사람들이 많은 이유는 역시 솔로 큐만으로 1위 수성에 성공했다는 점 때문이다.
9,실력 판단의 근거가 되지만 극한의 스트레스를 동반하는 경쟁 전을 오로지 혼자 씹어 먹었다는 사실만으로도 실력은 증명되었다는 것이다.
10,오버 워치 유저라면 다 아는 극악의 매칭 시스템 속에서도 수많은 다인 큐를 물리치고 핵과 싸우며 마침내 1위에 올라 솔 랭 전사의 희망으로 떠올랐지만 정작 본인은 스트레스로 인해 머리털이 다 빠질 만큼 인 고의 시간들이었다고
11,한다.
12,경쟁 전 폼이 최절정이 던 시절 그야말로 팀의 멱살을 잡고 캐리 하는 모습을 거의 매판 보이면서 이펙트를 팀으로 만난 사람들은 필승을 부르짖고 적의 팀 보이스에서는 한숨이 터져나오던 광경이 타 스트 리머 방송에서 자주 목격되곤 했다.
13,"지금은 ' 경쟁 전 여포' 라는 말이 흔히 쓰이지만 그 원조 격으로 꼽히던 유저 중 하나가 이펙트였고, 경쟁 전에서의 존재 감에 비해 프로 씬에서의 활약은 거의 없다시피 했기에 프로 씬에서 활약하던 프로 선수들에 비해 평가가 박한 것은 당연 했다."
14,본인 또한 그런 반응을 인식하고 있어서 인지 적지 않은 스트레스와 부담을 느꼈다고
15,한다.
16,데뷔 후 커뮤니티에 직접 남긴 글에서 예전부터 꾸준하게 자신을 까고 평가 절하하던 몇몇 악성 까 들 의 어 그로에 자극 받아 더 이 악물고 연습하여 실력을 늘렸다고 언급하며 은근한 고마움을 표시하기도 했다.
17,"개인 방송과 경기에서 보여주는 센스 플레이에 ‘ 재능 러 '라고 평가하는 사람들이 많지만, 정작 본인은 늘 ' 노력 형 딜러' 임을 강조한다."
18,"실제로 개인 방송에서 "" 프로 씬에서 내 에임은 좋은 편이 아니다"" 식의 멘트를 자주 하며 이를 망언으로 인식한 시청자들의 물음 표가 채팅 창을 뒤덮는 풍경을 흔히 볼 수 있다."
19,그렇다고
20,"마냥 겸손하기만 한 타입은 아니어서 "" 딴 건 몰라도 게임을 넓게 보는 시야나 센스는 좀 있는 것 같다 ""며 본인의 강점을 꼽기도 했다."
21,"재능과 노력을 두루 갖춘 인물이지만 특유의 예민한 성격 때문에 팀과의 불화가 생기고, 안일한 언행으로 논란을 일으키고 다니다가 결국 곱지 못한 시선을 받으면서 선수 생활을 마쳤다."
22,프로들에게 멘 탈도 얼마나 중요한 덕목인지 가르쳐 주는 반면 교사인 셈. 게임 영상 전문 팀 RYU에서 제작한 프 랙 무비 [9] 펄스 폭탄 장거리 부착 펄스 폭탄 예상 부착 나노 강화제를 받은 솔 져 부착 인 벤 주관의 쇼 미 더에 임 (Show Me the Aim! )이란 프로그램 출연했을 때 보여준 펄스 폭탄 퍼포먼스 현 트레이서 메타에서 가장 큰 영향력을 끼치고 있는 선수 중 한명이다.
23,주력 영웅인 트레이서 플레이에 대해서는 전반 적인 맵 이해도를 바탕으로 지형 지물을 이용한 센스 있는 교란 플레이와 무빙 능력이 뛰어나다고
24,평가 받는다.
25,“ 상대방의 에임을 흔든다” 가 트레이서 플레이의 스타일이고 항상 이것에 충실한 플레이를 보여주기 때문에 ' 트레이서의 교과서' 라는 평이 많다.
26,"프로 지향 이후부터 영웅 폭을 위해 꾸준히 낮아 지고 있는 감도 탓에 예전 같은 화려한 트레이서 플레이를 볼 수 없어 아쉽다는 의견도 많지만 "" 트레이서만 할 수는 없다"" 라는 본인의 의지가 확고한 만큼 다른 영웅 연습에도 박차를 가하고 있다."
27,본인은 프로 레벨에서 자신의 에임이 좋지 않다고
28,하지만 칼같이 헤드를 따라가는 트래킹에 임 실력도 훌륭한 편. 다른 선수들처럼 핵이 아니냐고 논란이 될 정도로 압도 적인 에 임력은 아니더라도 중요한 순간마다 도주하는 상대를 순식간에 갈아 버리는 모습이 자주 나온다.
29,"또 한 약간 떨어진 딸 피의 상대를 점멸- 근 공으로 처리하는 소위 ' 트풍 참 '으로 알려 진 테크닉의 대가이며, 그로 인해 단독 킬 결정력도 탁월하다."
30,트풍 참' 만' 사용하는 아케이드에서는 아예 게임을 폭파시켜 버린다.
31,로드 호 그를 상대로 뛰어난 실력을 보여주는데 좌측이나 우측으로 점멸을 사용하여 그 랩을 피하는 등 로드 호 그의 그 랩을 거의 다 피하는 모습을 볼 수 있다.
32,특히 이 영상은 로드 호 그를 상대로 얼마나 잘 상대하는 지를 잘 보여주는 대목이다.
33,[10] [11] 애시당초 “ 상대방의 에임을 흔든다” 가 트레이서 운영 방식이라서 어떻게 하면 상대방의 에임을 효과적으로 무너 트릴 수 있는지 알기에 트레이서 카운터 픽이 카운터가 아니게 된 셈이다.
34,용봉탕 해설이 복기 방송에서 언급하길 “ 이펙트의 트레이서 스타일은 현재 내로라하는 트레이서 선수 들 중에서도 독보적이다” 라고 평했다.
35,"트레이서로 어떻게 상대방의 에 임이 자신에게 붙들리게 할 수 있는지 알고 있으며 뛰어난 점멸 관리, 맵 활용, 사이 퍼즈 시절부터 다져 진 무빙으로 적 팀 6명의 시선을 끌게 하는 수준급 어 그로 능력은 백미. 그리고 모든 에 임이 자기를 향하고 있음에도 점멸 관리와 무빙으로 뛰어난 생존률을 보이는 능력은 경악스러울 정도. 무빙과 점멸을 극한까지 활용하여 트레이서에게는 사형 선고에 가까운 전술 조준경을 무빙으로 피하는 상식을 파괴하는 모습도 보인다."
36,또 한 수많은 트레이서 장인들 중에서 특히 이펙트 레이 서의 돋보이는 장기는 바로 장거리 부착 예측 샷이다.
37,위에 링크된 펄스 폭탄 퍼포먼스는 물론이고 파르시 부착 등등 이펙트의 폭탄 부착능력은 정평이 나 있다.
38,"특히 탱커들의 뒤통수를 보이는 족족 갈아 버리며 어 그로를 끌고 힐을 넣으려는 힐 러에게 딜을 넣고, 빠르게 채운 폭탄으로 물 몸이나 반 피 이하의 탱커를 확정적으로 보 내버린 뒤 다시 궁을 빠르게 순환시키는 전술을 주로 사용하는데, 이펙트의 부착의 특이한 점은 보통 영거리에서 탁 붙여 놓고 역행으로 빠지는 식이 아니라 꽤 떨어진 거리에서 계속 움직이는 상대방의 움직임을 읽고 허공에 폭탄을 휙 던져 부착한다는 점이다."
39,문기도 선수 역시도 이런 식으로 폭탄을 쓰는데 이펙트는 경로 상에 폭탄을 던져 놓는 예측 샷이 유독 자주 보인다는 점이 차이점. 그냥 보면 흡사 상대가 펄스 폭탄으로 달려와 맞아 주는 것처럼 보인다.
40,또 하나 이펙트의 트레이서가 특이한 점은 Y 축 기동성이 전무한 트레이서로 고지대를 잘도 찾아간다는 점이다.
