,sentences
0,전 카카오 TV PD 이자 현 트위치 스트 리머 이면서 LOL 前 챌린저 플레이어. 시즌 2부터 Greenday 라는 닉네임으로 플레이했던 올드 비 유저다.
1,주로 미드라 인에 서는 플레이 어로 도파처럼 닉네임을 여러 차례 바꿨다.
2,이 사람이 유명세를 타게 된 닉네임은 'Ralo' 였다.
3,실력이 뛰어난 점도 특징이었지만 ' 롤 단기' 라 불리는 대리 사이트와 관련이 있었다.
4,결국 이로 인해 영구정지를 받은 전적이 있다.
5,[13] 이러한 전력 때문에 ' 랄 사장' 혹은 사장의 일본식 발음인 ' 사 쵸' [14] 라 불리기도 했다.
6,이렇게 닉을 다양하게 썼기 때문에 여러 이름으로 불린다.
7,"랄로, 사 쵸, 그린 데이, 본명 김 찬 호 등등... 배 그를 플레이 하던 시절 여성 목소리 변조를 할 때는 찬미라는 별명도 붙었었다."
8,육군 야전부대 중사의 잇 템인 스포츠 선글라스를 쓰고 있으며 [15] 이것은 랄로의 아이덴티티. 여기에 걸걸한 네 이 티브 경상도 김해 사투리를 사용하는데 특유의 썰 능력까지 겹쳐지면 무슨 30-40 대 짬 중사 아저씨의 방송을 보는 듯한 착각을 불러일으킨다.
9,피닉스 박은 랄로를 보고 김흥국이라고 했을 정도. 가끔 송출 실수를 하거나 거액의 후원을 받았을 때 쌩얼을 공개하는 경우가 있다.
10,과거에 랄로의 쌩얼을 본 사람들은 두 번의 코인 실패 후에 눈이 과거보다 더 슬퍼졌다 고... 그리고 가끔 하와이 안 셔츠를 입고 캠 운 켤 때가 있다.
11,선글라스와 더불어 독특한 패션감각의 소유자인 듯. 또 한 투 네이션 룰렛 후원을 받아 이승 우의 머리 색으로 염색을 한 적이 있다.
12,링크 실제 염색 색깔은 이승 우의 머리 색깔인 핑크색보다는 오렌지색에 가깝게 염색이 되었다.
13,"참고로 위의 삼위일체 조합을 갖추고 캠을 켤 때의 모습은 빼도 박도 못하는 에 테 몬 금발 양키 그 자체. 마이크를 켜기 전에는 영우나 자연처럼 타 PD 방에서 채팅으로 어 그로를 끄는 일이 많았으나, 마이크를 켜고 방송을 본격적으로 하게 된 이후 정신병자 그 자체의 본 모습을 보여주게 되었다."
14,"정신병자, 랄친놈이라 불릴 정도로 입 담, 드립 수준이 매우 출중해서 팟수들을 웃기는 데 능한 PD 였으며, 성대 모사도 잘해 팟수들의 배꼽을 잡게 만들었던 전력이 있다."
15,트위 치로 넘어온 현재는 방송 자체가 이전보다 잔잔 해진 면이 있으나 20대가 맞나
16,"싶은 아재스럽다 못해 시대를 역행하는 입담과 일상 이야기도 웃기게 만드는 썰 풀기 능력, 뜬금없는 헛소리와 망언 제조 능력은 아직 건재하여 트위치 시청자들을 웃기기에 충분하다."
17,랄로는 정해진 방송 시간이 없다.
18,"본인이 원할 때 방송을 켜는 식이며, 심하면 몇 주 가까이 잠수를 타는 경우도 있다."
19,그래서 생 방을 보고 싶으면 트위치 알림 설정을 해 놓는 게 좋다.
20,보통 비트 코인 시세가 떡 락하여 손해를 보면 수금을 위해 방송하러 온다.
21,이길 수 있다면 구두 밑창이라도 핥겠다.
22,그러니까 내가 누군가를 이제 좋아한다는 사실이 그 사람에게는 상처가 될 수도 있잖아요...
23,"일 왜 함? 방송 왜 함? 파멸적인 코 인 상승 그래프를 창에 띄우며 이후 3억을 잃고 잠적한다 자위가 섹스보다 좋은 점, 할 수 있다!"
24,나한 텐 이게 클럽이야!
25,"이게 유흥이라고! 원 딜 로 봇을 가며 남 탓 할 수도 있지! 우리는 남이니까... 가족이 아니니까... 컽! 유연한 사고, 남 탓하지 않기 유연한 남 탓, 사고하지 않기 아니 무지 몽매나 무매 몽 지나 뭐.. 어?! 야만의 몽둥이나.. 무야~ 호~ 시청자들이 랄로가 쓴 사자 성어가 틀렸다고"
26,"지적하자 아무 말이나 뱉어서 둘러대며 불편해? 불편하면 시 팔 자세를 고쳐 앉아~ 보는 자세가 잘못된 거 아니에요,,,"
27,편하게 들 보세요!
28,"유입 ㅈ 같다, 닥쳐 라 하는 애들도 다 유입이야."
29,트위치 유입들이 사쿠란 보 유입들보고 막 몽둥이 들고 자경단을 하고 있어요.
30,왜냐면 걔들도 트위치 유입됐을 때 카카오 자경단들한테 뚜드려 맞았거든.
31,그러지 마세요.
32,그럴 필요가 있느 냔 말이야.
33,이 세상은 모든 것이 유입이야.
34,유입으로 이뤄 져 있어요.
35,"우리가 태어난 이상, 우리도 유입인 거야 이 지구에서. 지구 뉴 비잖아요"
36,우리. 지구에 유입이 됐잖아요.
37,근데 지구에 원래 이제 있던 고인물들이 ' 어? 유입 왔네?
38,' 하면서 배척합니까?
39,안하죠~
40,그럼 지구 망해~ 잘 자라게끔 도와주잖아요.
41,"여러분들도 유입들 좀 눈치 없고 그럴 수 있지만 잘 모른다고 욕하고 지랄 하지 말고, 좀 이렇게 챙겨 주면서, 보듬어 주면서 같이 재밌게 보면 되잖아요."
42,지구 유입론인섹이 개인 방송에서 밝히길 원래 CJ 엔 투스의 연습생으로 입단했으나 자신은 프로할 재목이 아닌 것 같다며 팀을 나갔다고
43,한다.
44,"랄로가 직접 증언하기를, 같은 연습생이었던 캬하하가 나가는 것을 보고 본인도 따라 나갔다고"
45,한다.
46,참고로 CJ 입단 당시 인섹이 역에 와서 마중을 나와 줬다고
47,한다.
48,"인섹은 부정하고 있지만 인섹이 자신을 보자마자 "" 생각보다 잘 생기셨네요."
49,"""라고 말했다고."
50,랄로 본인은 지금 생각해 보면 그냥 ' 생각보다 그나마 사람처럼 생겼네.
51,' 라는 뉘앙스가 아니었을까
52,싶다고
53,한다.
54,"랄로는 CJ 연습생 시절 산책을 하다 롱판다와 대화했는데, 뜬금없이 롱판다가 랄로에게 프로에 대해 진지하게 생각하고 있냐고 물었다고"
55,한다.
56,그러자 랄로는 ‘ 프로 할 생각이 있으니까 들어왔죠.
57,’ 라고 답했는데 ‘ 나는 나갈 거야. 난 별로 생각 없어. ’라고 했다고...
58,다음 날 경기가 있는데 하여튼 굉장히 자유로 워 보였다고
59,한다.
60,또 한 롱판다는 아침에 숙소 컴퓨터로 어 쌔신 크리드를 즐기다가 [16] 인 섹에게 들켜 황급히 알트탭을 눌렀다고
61,한다.CJ
62,연습생을 때려친 후 일주일 만에 임프한테 러브 콜이 와서 MVP 연습생으로 입단 했다고
63,한다.
64,"임프가 랄로를 연습생으로 데려올 때 한 말이 "" 오면 우승시켜 주겠다."
65,""" 그런데 랄로 본인은 그게 롤 챔스 우승인 줄 알았는데 롤 드컵 우승이었다는 것을 나중에 가서 깨달았다고"
66,한다.
67,그럴 줄 알았으면 안 나가고 남아서 숙소 밥이라도 짓게 바짓가랑이 한 번 붙잡았을 거라고 한다.
68,참고로 랄로보다 앞서 MVP 연습생으로 있었던 사람이 피닉스 박. [17] 애니 비아를 잘 다뤘던 피닉스 박에 이어 똑같이 애니 비아를 잘 다루는 랄로가 오자 코치가 한 말이 ‘ 왜 연습생 오는 애들은 애니 비아 밖에 안하냐?
69,’... 아쉽게도 MVP 연습생 생활을 하다 다 데에게 밀려 나 짐을 쌌다.
70,"내부 스크림에서 블루 팀의 이지 훈 [18] 과 다 데가 맞붙었는데, 다 데가 제드로 박살을 내버렸다고."
71,"어떻게 보면 안타까운데, 다 데와 랄로는 똑같이 CJ에서 나와 MVP로 들어간 상황이라 당시엔 나름 친분이 있었다고"
72,한다.
73,"냉정한 프로의 세계 MVP 연습생 시절 본인 자리 기준 왼쪽에 댄 디가 있었고 오른쪽에 옴 므, 뒤편에 임프와 마 타 듀오가 있었다고"
74,한다.
75,봇듀오는 맨날 서로 투닥거렸는데 스크림만 하면 봇 라인 전을 다 이겼다고
76,한다.
77,지금 와서 보니 뒤에 앉아 있던 사람들이 세체봇이었다고 회상했다.
78,"MVP는 흡연실을 갖고 있었는데, 흡연자들은 스크림 하기 전에 거기서 한 대씩 피고 오면 갑자기 잘 해졌다고.MVP에서"
79,코치와 감독이 뒤에서 지켜보며 솔 랭을 하던 중 로비에서 큐를 잡다가 이재석에게 귓말이 왔다고
80,한다.
81,귓 말 내용은 ‘ 야 대리 매물 있냐?
82,’ 황급히 메시지 창을 닫았지만 이미 늦은 상황... 아아.. 랄 사장 CJ와 MVP 중 숙소사정이라든지 대우가 좋았던 곳은 대기업이 운영하는 CJ 엔 투스였다고
83,한다.
84,MVP에서는 밥을 먹을 때마다 스타 크래프트 팀이 있는 곳으로 가서 식 판 통에 담겨 있는 밥을 가져 와야 했다고
85,한다.
86,식사추진 CJ는 밥도 맛있었다고
87,한다.
88,재밌게도 CJ에서 같이 생활했던 인섹과 MVP 연습생 선배(?) 인 피닉스 박을 카카오 TV에서도 PD 사이로 만나게 되었다.
89,실제로 두 스트 리머들과 배그 같은 게임을 하며 자주 합방을 했다.
90,여담으로 같은 CJ 연습생 생활을 했었다고
91,"알려 져 있는 캬하하가, Greenday의 닉네임의 김 찬 호가 랄로 인 줄은 몰랐다고"
92,밝혔다.
93,"랄로라는 이름으로 방송을 하는 사람은 알고 있었지만, 선글라스 때문에 그게 동일 인물인 걸 약 세 달 전 (2020 년 10월 )에야 알았다고..."
94,캬 하하 유 튜브 영상 누구야! - 롤 할 때 팀원이나 적 팀이 못하면 걸쭉한 사투리 톤으로 내뱉는다.
95,너 나가 쯧! - 트수가 방송 도중 열받게 하면 블랙할 때 사용한다.
96,머 선 129 - 방송 중 어이없는 일을 겪으면 “ 이게 머선 일이고” 라며 탄식하는 것에서 파생된 유행어이다.
97,자 드가자~ - 한 타를 열 때 사용한다.
98,트위치에 널리 퍼져 트위치 전용 밈이 되었다.
99,마루 쉐~ - 반려 견인 마루를 부를 때 어이 마루 쉐~ 라고 부른다.
100,서 운하네.. - 마음대로 되지 않거나 욕을 먹었을 때 사용한다.
101,"불만 없제? - 롤에서 상대의 스펠이 빠졌을 때 나, 턴을 소모하면서 체력이 빠졌을 때, 그것을 확인하면 사용한다."
102,오 소이 새끼야 - 적이 쓰는 논 타 겟팅 스킬을 피할 때 사용한다.
103,느리다는 뜻의 일본어 오 소이와 이 새끼야를 붙인 적절한 개 드립이다.
104,숨도 못 쉬 겠제~ - 경기 초반 솔 킬 을 1~2 회 따며 라인 전에서 매우 유리할 때 사용한다.
105,"네에~ - 도 네이션으로 헛소리가 나올 때, 혹은 귀찮거나 무시할 때 사용한다."
