,sentences
0,트위치의 인터넷 방송 스트 리머 이자 유 튜버. 게임을 주 콘텐츠로 삼고 있으며 좀 비고를 주로 플레이 하나 2019년 말부터 수위가 있는 트위치 저챗을 주력으로 밀고 있다.
1,처음에는 마인 크래프트로 인터넷 방송을 시작하다가 이후 좀 비고 컨텐츠를 주력으로 하고 있다.
2,"어린 시청자층 많은 "" 카 오"" 본 계정이 있고, 요즘은 "" 매운맛 카 오"" 라는 트위치 방송과 유 튜브 채널을 주력으로 밀고 있다."
3,( 영상을 올린지 하루만에 연령제한과 경고를 먹을 정도로 수위가 높다.
4,그런데 신기하게 19 금은 안 걸린다.
5,"그러나 최근 유 튜브와 트위치가 정지되었으며, 트위치는 3/29에 정지가 풀렸다.)"
6,트위치 방송 중 화장실을 갈 때 매니저들이 디 코 방에서 사운드를 채우는 ' 화장실의 요정' 이라는 문화가 있다.
7,"유 튜브 업 로드 : 평일 오후 5시 , 주말 오후 1시 생방송 : 원래는 유 튜브에서 월, 수, 금, 토, 일 오후 7시 방송이였지만, 현재는 트위치에서 주로 생방송을 하고 있다."
8,( 매일 저녁 7시 -9시 )2020 년 3월 26일 유 튜브 매운맛 카 오 채널이 정지를 당했다.2020
9,년 5월 15일 트위치( 임시) 정지를 당했다.22
10,시즌 래더 도중 카 오의 동생에게 한 유저가 삭전을 신청하였고 카 오는 대리 삭을 받아 주어 삭전을 하였지만 패배하고 회피 했다고
11,한다.
12,삭전 당사자는 리 삭을 신청했고 현재까지 도 회피하며 유 튜브엔 영상이 올라 오진 않지만 트위치는 잘 킨다 카 오는 유치원 시절 때 정력 왕이였다고
13,한다.
14,카 오는 그냥 문란한 것 같다.
15,카 오의 성감대는 전신이다.
16,유 튜브와 트위치에서 매운맛 카 오 계정이 정지를 당했다.
17,( 트위치 정지 풀림 3/29) 옛날에 딸딸이를 아버지 어머니께 들킨 적이 있다고
18,했다.1
19,일 18 딸을 할 정도로 성욕이 대단하다.
20,[7] 그래서 별명이 1118이다.
21,꼬잉의 몸을 만진 성 추행한 적이 있다.
22,출처 카 오는 첫 경험이 중 3이다라고 하지만 사실은 한번도 해본적이 없다고 카 오가 직접 밝혔다.
23,카 오의 집은 생각보다 더럽다고
24,한다.
25,출처 유 튜브 가입 일 : 2015. 9. 10 첫 좀비고 영상 업 로드 : 2016. 11. 9. 퐁퐁 냥 냥 가스 환불사건 : 2017. 5. 2 구독자 만명 이벤트 : 2017. 7. 11 좀 비고 잠시 휴 방 : 2018. 6. 9 좀 비고 복귀 : 2018. 8. 20고 정 아웃트로 첫 사용 : 2018. 9. 1고 정 인트로 첫 사용 : 2018. 9. 11 유 빈( 로드 찡) 저격 : 2018. 11. 24 유 튜브 구독자 10만 돌파 : 2019. 10. 29[6 ]2020 년 3월 26일 정지 2020년 5월 15일 트위치( 임시) 정지
